,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,274.31,275.32,277.92,254.28,160.13,233.93,349.01,294.35,214.79,200.92,175.9,175.9,99.48,99.48
1,Revenue Growth (YoY),71.31%,17.69%,-20.37%,-13.61%,-25.45%,16.43%,98.41%,67.34%,115.92%,101.98%,-,-,-,-
2,Cost of Revenue,-493.01,157.98,177.21,157.81,90.07,135.22,237.33,204.17,121.01,119.91,99.26,99.26,51.89,51.89
3,Gross Profit,767.32,117.33,100.71,96.47,70.06,98.71,111.68,90.18,93.78,81.01,76.64,76.64,47.59,47.59
4,"Selling, General & Admin",-75.6,25.21,26.16,24.24,40.62,20.15,19.31,18.13,36.62,18.18,14.36,14.36,13.97,13.97
5,Research & Development,-330.19,106.57,130.2,93.42,103.19,81.35,72.26,55.93,102.87,59.86,49.81,49.81,39.23,39.23
6,Other Operating Expenses,1154,0.49,0.48,0.47,0.18,0.71,4.98,-2.8,15.27,-14.62,0.89,0.89,0.42,0.42
7,Operating Expenses,745.56,133.46,158.95,117.21,143.93,103.39,95.98,68.19,155.27,62.77,66.03,66.03,53.91,53.91
8,Operating Income,21.76,-16.13,-58.24,-20.74,-73.87,-4.68,15.69,21.99,-61.5,18.24,10.61,10.61,-6.32,-6.32
9,Interest Expense,-9.85,-1.64,-2.56,-2.46,-5.76,-9.68,-8.52,-7.28,-5.8,-4.46,-3.39,-3.39,-0.12,-0.12
10,Interest & Investment Income,6.66,4.02,4.54,1.29,1.31,1,0.67,0.48,0.45,0.55,0.38,0.38,0.65,0.65
11,Currency Exchange Gain (Loss),-,-0.2,0.2,-,4.11,-5.69,5.69,-,-31.84,15.63,-7.82,-7.82,0.08,0.08
12,Other Non Operating Income (Expenses),8.92,-4.07,-1.35,1.32,-3.73,4.52,-0.78,0.71,27.92,-28.58,-0.03,-0.03,-0.04,-0.04
13,EBT Excluding Unusual Items,27.49,-18.01,-57.42,-20.59,-77.95,-14.53,12.75,15.9,-70.77,1.4,-0.24,-0.24,-5.75,-5.75
14,Gain (Loss) on Sale of Investments,-3.88,0.26,0.84,2.78,0.69,-,-,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,0.01,-0.01,-,-0.07,-,-,-,-0.5,-,-,-,-,-
16,Asset Writedown,5.05,-5.05,0.54,-0.54,1.59,-1.59,0.23,-0.23,1.72,-1.72,-,-,-0.07,-0.07
17,Other Unusual Items,-20.99,3.48,5.23,12.29,12.72,24.14,6.81,-,40.94,-12.23,6.11,6.11,7.76,7.76
18,Pretax Income,7.66,-19.31,-50.82,-6.07,-63.02,8.03,19.79,15.67,-28.6,-12.56,5.87,5.87,1.94,1.94
19,Net Income,7.66,-19.31,-50.82,-6.07,-63.02,8.03,19.79,15.67,-28.6,-12.56,5.87,5.87,1.94,1.94
20,Net Income to Common,7.66,-19.31,-50.82,-6.07,-63.02,8.03,19.79,15.67,-28.6,-12.56,5.87,5.87,1.94,1.94
21,Net Income Growth,-,-,-,-,-,-,237.12%,166.92%,-,-,-,-,-,-
22,Shares Outstanding (Basic),409,390,206,607,475,378,317,392,247,408,-,-,387,387
23,Shares Outstanding (Diluted),409,390,206,607,475,378,317,392,247,408,-,-,387,387
24,Shares Change (YoY),-13.86%,3.28%,-35.17%,54.93%,92.40%,-7.35%,-,-,-36.25%,5.30%,-,-,-,-
25,EPS (Basic),0.02,-0.05,-0.25,-0.01,-0.13,0.02,0.06,0.04,-0.12,-0.03,-,-,0.01,0.01
26,EPS (Diluted),0.02,-0.05,-0.25,-0.01,-0.13,0.02,0.06,0.04,-0.12,-0.03,-,-,0.01,0.01
27,Free Cash Flow,-,89.22,42.96,-84.98,-200.13,-267.37,-29.45,176.36,-134.88,-27.6,-55.71,-55.71,-82.33,-82.33
28,Free Cash Flow Per Share,-,0.23,0.21,-0.14,-0.42,-0.71,-0.09,0.45,-0.55,-0.07,-,-,-0.21,-0.21
29,Gross Margin,279.72%,42.62%,36.24%,37.94%,43.75%,42.20%,32.00%,30.64%,43.66%,40.32%,43.57%,43.57%,47.84%,47.84%
30,Operating Margin,7.93%,-5.86%,-20.96%,-8.16%,-46.13%,-2.00%,4.50%,7.47%,-28.63%,9.08%,6.03%,6.03%,-6.36%,-6.36%
31,Profit Margin,2.79%,-7.01%,-18.29%,-2.39%,-39.36%,3.43%,5.67%,5.32%,-13.32%,-6.25%,3.34%,3.34%,1.95%,1.95%
32,Free Cash Flow Margin,-,32.40%,15.46%,-33.42%,-124.98%,-114.29%,-8.44%,59.92%,-62.80%,-13.74%,-31.67%,-31.67%,-82.76%,-82.76%
