,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,28106,34440,18872,16605,15629,20890,24026,-,-,-,-,-,-,-,-
1,Market Cap Growth,64.87%,64.87%,-21.45%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,26807,33141,17660,15436,14155,19415,24292,-,-,-,-,-,-,-,-
3,Last Close Price,68.55,84.00,46.03,40.50,38.12,50.95,58.60,-,-,-,-,-,-,-,-
4,PE Ratio,-,-502.54,-,-,-,-,1614.35,-,-,-,-,-,-,-,-
5,PS Ratio,25.54,31.84,19.50,17.93,15.67,20.14,22.00,-,-,-,-,-,-,-,-
6,PB Ratio,12.13,14.86,8.14,7.13,6.59,8.82,9.91,-,-,-,-,-,-,-,-
7,P/TBV Ratio,14.95,14.95,8.19,7.18,6.65,8.92,10.06,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-123.40,-32.59,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-147.20,-34.51,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,24.78,30.63,18.25,16.66,14.19,18.71,22.24,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-2566.86,-,-,-,-,614.58,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-451.80,-,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-115.47,-30.30,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.10,0.15,0.16,0.16,0.47,2.43,2.12,2.12,-,-,1.17,0.35,0.35
15,Debt / EBITDA Ratio,-,1.53,-,-,-,-,22.81,7.40,4.90,-,-,-,4.77,-,-
16,Debt / FCF Ratio,-,-,-1.50,-0.70,-,-,-,-,-18.34,-,-,-,-,-,-
17,Asset Turnover,-,0.38,0.37,0.33,0.18,0.33,-,-,-,-,-,-,0.56,-,
18,Inventory Turnover,-,-,0.75,0.85,0.83,0.57,1.33,-,-,-,-,-,-,2.60,-
19,Quick Ratio,-,-,3.18,2.67,2.29,2.30,1.85,0.70,-,0.64,-,-,-,1.53,1.53
20,Current Ratio,-,-,4.95,4.28,3.98,3.80,2.48,1.16,-,1.22,-,-,-,2.19,2.19
21,Return on Equity (ROE),1.32%,-3.32%,-8.65%,-1.02%,-10.52%,2.27%,20.65%,17.29%,-,-,-,-,1.99%,-,
22,Return on Assets (ROA),-,-1.38%,-4.80%,-1.66%,-5.20%,-0.42%,-,-,-,-,-,-,-2.21%,-,
23,Return on Capital (ROIC),2.14%,-1.54%,-5.36%,-1.89%,-5.85%,-0.47%,3.12%,4.87%,-,-,-,-,-3.01%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-1.12%,-,-,-,-,-,-,-
25,Earnings Yield,-0.24%,-0.20%,-0.74%,-0.67%,-0.26%,-0.09%,0.06%,-,-,-,-,-,-,-,-
26,FCF Yield,-,-0.81%,-3.07%,-3.72%,-1.53%,-1.06%,-,-,-,-,-,-,-,-,
27,Payout Ratio,0.00%,-,-,-,-,-,116.14%,41.22%,44.80%,-,-,68.65%,68.65%,13.55%,13.55%
28,Buyback Yield / Dilution,-3.20%,13.86%,-3.28%,35.17%,-54.93%,-92.40%,7.35%,-,-,36.25%,-5.30%,-,-,-,-
29,Total Shareholder Return,-3.20%,13.86%,-3.28%,35.17%,-54.93%,-92.40%,7.35%,-,-,36.25%,-5.30%,-,-,-,-
