,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2018,Q1 2018,Q2 2017,Q1 2017
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,3111,665.02,12359,-,1433,-,-,-
1,Cash & Short-Term Investments,3111,665.02,12359,-,1433,-,-,-
2,Cash Growth,117.04%,-,-,-,-,-,-,-
3,Accounts Receivable,32551,20448,24399,-,30658,-,-,-
4,Other Receivables,121200,92435,47018,-,49557,-,-,-
5,Receivables,153750,112883,71417,-,80216,-,-,-
6,Inventory,4637,5635,16753,-,11318,-,-,-
7,Other Current Assets,1167,565.95,1541,-,67,-,-,-
8,Total Current Assets,162665,119748,102070,-,93035,-,-,-
9,"Property, Plant & Equipment",436.71,450.9,493.46,-,1447,-,-,-
10,Long-Term Investments,1000,1000,1000,-,1000,-,-,-
11,Other Long-Term Assets,3299,3430,3873,-,8325,-,-,-
12,Total Assets,167400,124629,107436,-,103806,-,-,-
13,Accounts Payable,128.55,128.55,167.05,-,442.13,-,-,-
14,Accrued Expenses,47206,8408,356.62,-,12212,-,-,-
15,Short-Term Debt,20297,13051,16732,-,4150,-,-,-
16,Current Income Taxes Payable,76.72,2.41,15.65,-,97.61,-,-,-
17,Other Current Liabilities,68997,72156,59411,-,58462,-,-,-
18,Total Current Liabilities,136706,93745,76682,-,75365,-,-,-
19,Long-Term Unearned Revenue,1543,1790,1791,-,2368,-,-,-
20,Other Long-Term Liabilities,1017,1017,1017,-,1013,-,-,-
21,Total Liabilities,139266,96552,79490,-,78746,-,-,-
22,Common Stock,26722,26722,26722,-,22084,-,-,-
23,Additional Paid-In Capital,-,-,-,-,1937,-,-,-
24,Retained Earnings,1413,1355,1225,-,1039,-,-,-
25,Treasury Stock,-,-,-,-,-921.52,-,-,-
26,Comprehensive Income & Other,-,-,-,-,921.52,-,-,-
27,Shareholders' Equity,28135,28077,27947,-,25061,-,-,-
28,Total Liabilities & Equity,167400,124629,107436,-,103806,-,-,-
29,Total Debt,20297,13051,16732,-,4150,-,-,-
30,Net Cash (Debt),-17186,-12386,-4373,-,-2717,-,-,-
31,Net Cash Per Share,-6431.65,-,-,-,-,-,-,-
32,Filing Date Shares Outstanding,2.67,-,-,-,-,-,-,-
33,Total Common Shares Outstanding,2.67,-,-,-,-,-,-,-
34,Working Capital,25959,26003,25388,-,17670,-,-,-
35,Book Value Per Share,10528.80,-,-,-,-,-,-,-
36,Tangible Book Value,28135,28077,27947,-,25061,-,-,-
37,Tangible Book Value Per Share,10528.80,-,-,-,-,-,-,-
38,Buildings,-,-,1419,-,-,-,-,-
39,Machinery,-,-,1581,-,-,-,-,-
