,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2018,Q1 2018,Q2 2017,Q1 2017
,Period Ending,"Feb '25 Feb 25, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,22981,22446,17903,19507,14796,-,-,-,-
1,Enterprise Value,40167,34832,20620,22223,17513,-,-,-,-
2,Last Close Price,8600.00,8400.00,6614.10,7206.41,5466.20,6865.44,7226.78,5572.94,5633.52
3,PE Ratio,50.21,44.64,99.51,147.95,102.37,-,-,-,-
4,PS Ratio,0.26,0.20,0.22,0.26,0.25,-,-,-,-
5,PB Ratio,0.82,0.80,0.64,0.70,-,-,-,-,-
6,P/TBV Ratio,0.80,0.80,0.64,0.70,-,-,-,-,-
7,P/FCF Ratio,2.05,-,2.81,-,2.78,-,-,-,-
8,P/OCF Ratio,2.05,-,2.81,-,2.78,-,-,-,-
9,EV/Sales Ratio,0.45,0.31,0.25,0.30,0.30,-,-,-,-
10,EV/EBIT Ratio,71.69,93.17,3488.24,-,437.68,-,-,-,-
11,EV/FCF Ratio,3.18,-,3.24,-,3.30,-,-,-,-
12,Debt / Equity Ratio,0.72,0.72,0.46,0.60,-,0.17,-,-,-
13,Debt / FCF Ratio,1.85,-,2.05,-,-,-,-,-,-
14,Asset Turnover,1.14,-,-,-,-,-,-,-,
15,Inventory Turnover,8.07,31.36,-,-,-,-,-,-,-
16,Quick Ratio,1.15,1.15,1.21,1.09,-,1.08,-,-,-
17,Current Ratio,1.19,1.19,1.28,1.33,-,1.23,-,-,-
18,Return on Equity (ROE),4.66%,-,-,-,-,-,-,-,
19,Return on Assets (ROA),0.70%,-,-,-,-,-,-,-,
20,Return on Capital (ROIC),2.28%,-,-,-,-,-,-,-,
21,Return on Capital Employed (ROCE),1.83%,1.22%,0.02%,-,-,0.58%,-,-,-
22,Earnings Yield,1.99%,2.24%,1.00%,0.68%,0.98%,-,-,-,-
23,FCF Yield,48.78%,-,35.59%,-,35.91%,-,-,-,-
