,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2018,Q1 2018,Q2 2017,Q1 2017
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Revenue,41658,15062,36796,17480,12046,7979,20530,26066
1,Revenue Growth (YoY),245.82%,88.78%,79.24%,-32.94%,-,-,-,-
2,Cost of Revenue,40260,14364,35845,16774,11039,7127,19765,25175
3,Gross Profit,1398,698.02,950.8,705.87,1008,851.79,764.71,890.65
4,"Selling, General & Admin",990.19,658.23,1036,694.41,967.37,853.29,774.95,754.33
5,Operating Expenses,990.19,658.23,1036,694.41,967.37,853.29,774.95,754.33
6,Operating Income,408.23,39.78,-85.62,11.46,40.29,-1.5,-10.24,136.32
7,Interest & Investment Income,0.86,0.45,163.91,164.07,45.08,45.61,66.89,79.84
8,Other Non Operating Income (Expenses),-,24.07,-54.46,-24.46,-63.92,-31.96,-24.46,-26.26
9,Pretax Income,409.09,64.3,23.83,151.06,21.45,12.16,32.19,189.9
10,Income Tax Expense,81.82,12.89,15.66,35.1,17.07,8.82,11.33,43.23
11,Net Income,327.27,51.41,8.17,115.96,4.38,3.33,20.86,146.67
12,Net Income to Common,327.27,51.41,8.17,115.96,4.38,3.33,20.86,146.67
13,Net Income Growth,7373.49%,1441.97%,-60.82%,-20.94%,-,-,-,-
14,Shares Outstanding (Basic),3,-,-,-,-,-,-,-
15,Shares Outstanding (Diluted),3,-,-,-,-,-,-,-
16,EPS (Basic),122.47,-,-,-,-,-,-,-
17,EPS (Diluted),122.47,-,-,-,-,-,-,-
18,Free Cash Flow,-,2895,-,6031,-2554,-2554,4390,4390
19,Gross Margin,3.36%,4.63%,2.58%,4.04%,8.37%,10.68%,3.72%,3.42%
20,Operating Margin,0.98%,0.26%,-0.23%,0.07%,0.33%,-0.02%,-0.05%,0.52%
21,Profit Margin,0.79%,0.34%,0.02%,0.66%,0.04%,0.04%,0.10%,0.56%
22,Free Cash Flow Margin,-,19.22%,-,34.50%,-21.20%,-32.01%,21.38%,16.84%
23,EBIT,408.23,39.78,-85.62,11.46,40.29,-1.5,-10.24,136.32
24,EBIT Margin,0.98%,0.26%,-0.23%,0.07%,0.33%,-0.02%,-0.05%,0.52%
25,Effective Tax Rate,20.00%,20.05%,65.70%,23.24%,79.59%,72.58%,35.20%,22.77%
26,Revenue as Reported,41658,15062,36796,17480,12046,7979,20530,26066
