,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,190.5,652.39,675.43,337.36,724.35,700.58,794.55,2138,2888,886.3,1908,2047,702.7,635.97,-,613.34,-,130.63,130.63
1,Short-Term Investments,-,-,-,-,2193,-,-,-,2036,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1836,1556,1619,1748,1757,1607,745.11,1406,100,-,-,0.14,10,10,-,-,-,14.07,14.07
3,Cash & Short-Term Investments,2026,2026,2208,2294,4278,2482,2308,1540,5581,2988,886.3,1908,2047,712.7,645.97,613.34,613.34,144.7,144.7,144.7
4,Cash Growth,-52.63%,-18.34%,-4.30%,49.01%,-23.34%,-16.94%,160.37%,-19.29%,172.57%,319.23%,37.20%,211.02%,233.80%,392.54%,346.43%,323.88%,-,-,-,-
5,Accounts Receivable,-,253.6,198.08,224.53,195.9,160.49,150.2,158.89,240.29,228.38,481.09,1164,514.3,172.78,157.05,-,250.37,-,150.36,150.36
6,Other Receivables,-,13.1,69.68,15.53,73.13,14.69,76.36,13.52,75.66,21.03,62.84,39.24,35.01,8.99,8.07,-,10.43,-,5.39,5.39
7,Receivables,-,266.71,267.76,240.06,269.03,175.18,226.56,172.41,315.95,249.41,543.93,1204,549.31,181.77,165.11,-,260.8,-,155.75,155.75
8,Inventory,-,163.3,171.84,182.54,197.13,229.53,245.55,229.62,197.3,429.39,404.69,462.49,243.35,155.32,145.02,-,126.32,-,67.41,67.41
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2
10,Other Current Assets,-,2382,2188,2162,67.6,2053,2547,4307,112.29,3296,4986,3604,139.4,162.27,157.9,-,14.5,-,9.62,9.62
11,Total Current Assets,-,4839,4836,4879,4812,4939,5326,6249,6206,6962,6821,7178,2979,1212,1114,-,1015,-,377.68,377.68
12,"Property, Plant & Equipment",-,707.69,708.14,704.85,704.75,687.64,662.59,478.18,476.17,579.28,539.82,379.18,197.95,139.87,135.51,-,75.36,-,42.14,42.14
13,Other Intangible Assets,-,45.51,51.61,53.54,54.68,56.1,57.06,41.42,41.59,33.97,22.02,22.04,22.18,22.32,4.38,-,4.49,-,4.55,4.55
14,Long-Term Deferred Tax Assets,-,166.45,162.31,168.2,164.4,140.63,140.63,142.78,154.69,5.27,46.85,5.27,6.83,2.31,1.65,-,1.95,-,1.76,1.76
15,Long-Term Deferred Charges,-,17.11,18.49,15.34,19.83,30.15,30.1,32.05,30.84,27.39,9.71,6.17,6.26,3.79,3.54,-,2.88,-,2.27,2.27
16,Other Long-Term Assets,-,21.3,20,34.54,34.15,28.31,42.44,0,41.68,0.25,16.82,0.25,67.82,5.34,23.12,-,1.27,-,10.56,10.56
17,Total Assets,-,5797,5796,5855,5790,5882,6259,6943,6951,7609,7456,7591,3280,1386,1282,-,1101,-,438.96,438.96
18,Accounts Payable,-,373.23,392.02,492.67,475.63,473.97,512.24,1052,1034,1815,1906,1500,411.24,213.97,202.77,-,182.99,-,55.82,55.82
19,Accrued Expenses,-,6.85,11.56,12.14,17.66,10.92,15.24,11.78,109.22,124.11,138.31,200.43,25.35,11.82,13.33,-,21.29,-,11,11
20,Short-Term Debt,-,1,1,1,3,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,4.49,4.04,4.41,4.41,9.86,9.86,10.26,10.26,-,7.95,2.46,2.15,1.57,1.55,-,-,-,-,-
22,Current Income Taxes Payable,-,5.57,7.57,6.22,1.51,8.03,9.34,119.24,129.44,-7.01,53.42,518.57,112.2,34.5,24.53,-,66.65,-,29.17,29.17
23,Current Unearned Revenue,-,23,11.63,13.96,13.12,27.57,25.19,49.64,32.25,16.21,27.56,44.57,99.53,15.96,14.29,-,11.09,-,7,7
24,Other Current Liabilities,-,125.73,88,38.12,32.17,40.11,392.67,48.61,41.47,53.79,9.98,13.87,6.85,2.43,1.51,-,1.43,-,1.39,1.39
25,Total Current Liabilities,-,539.87,515.83,568.53,547.51,572.47,966.55,1293,1358,2004,2144,2280,657.33,280.26,257.98,-,283.44,-,104.38,104.38
26,Long-Term Leases,-,4.02,6.28,5.99,8.17,25.23,27.86,31.85,34.26,44.49,35.41,1.85,2.49,1.43,2.03,-,-,-,-,-
27,Long-Term Unearned Revenue,-,3.34,3.34,3.7,3.7,4.2,4.2,4.44,4.44,-,-,-,-,-,-,-,-,-,0.07,0.07
28,Long-Term Deferred Tax Liabilities,-,71.74,68.8,71.16,68.84,58.01,58.01,55.32,67.4,11.38,3.56,14.13,14.13,7.95,7.69,-,5.78,-,0.66,0.66
29,Other Long-Term Liabilities,-,30.61,30.94,30.85,55.61,70,70.45,67,67.91,-,-,-,-,-,-,-,-,-,-,-
30,Total Liabilities,-,649.57,625.18,680.23,683.83,729.91,1127,1452,1532,2060,2183,2296,673.95,289.64,267.7,-,289.22,-,105.11,105.11
31,Common Stock,-,127.08,127.08,127.08,127.08,127.08,127.08,90.77,90.77,90.77,61.33,61.33,61.33,46,46,-,46,-,46,46
32,Additional Paid-In Capital,-,1050,1050,1050,1050,1050,1050,1087,1087,1087,1116,1116,1116,75.57,75.57,-,75.57,-,75.57,75.57
33,Retained Earnings,-,3958,3989,3994,3924,3969,3949,4309,4236,4324,4069,4116,1430,975.17,893.39,-,691.27,-,214.03,214.03
34,Comprehensive Income & Other,-,15.51,8.79,7.89,7.87,8.73,8.73,8.36,8.02,50.65,27.2,1.87,-0.71,-0.7,-0.45,-,-1.15,-,-1.75,-1.75
35,Total Common Equity,5151,5151,5175,5179,5109,5156,5136,5495,5422,5552,5274,5295,2606,1096,1015,811.69,811.69,333.85,333.85,333.85
36,Minority Interest,-,-3.79,-3.6,-4.3,-3.75,-3.64,-3.44,-3.62,-3.16,-3.1,-,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,5147,5147,5171,5175,5106,5152,5132,5491,5419,5549,5274,5295,2606,1096,1015,811.69,811.69,333.85,333.85,333.85
38,Total Liabilities & Equity,-,5797,5796,5855,5790,5882,6259,6943,6951,7609,7456,7591,3280,1386,1282,-,1101,-,438.96,438.96
39,Total Debt,9.51,9.51,11.32,11.4,15.58,37.09,39.72,44.11,46.53,46.49,43.37,4.31,4.64,3,3.59,-,-,-,-,-
40,Net Cash (Debt),2017,2017,2197,2283,4262,2444,2268,1496,5534,2941,842.93,1903,2043,709.7,642.38,613.34,613.34,144.7,144.7,144.7
41,Net Cash Growth,-52.68%,-17.49%,-3.12%,52.65%,-22.98%,-16.89%,169.06%,-21.42%,170.92%,314.45%,31.22%,210.32%,233.05%,390.47%,343.95%,323.88%,-,-,-,-
42,Net Cash Per Share,15.71,15.85,17.46,17.89,33.09,19.30,17.78,11.77,43.47,23.16,6.63,14.98,19.27,7.45,6.75,6.42,6.42,1.52,1.52,1.52
43,Filing Date Shares Outstanding,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,95.31,95.58,95.31,94.91,95.31,95.31
44,Total Common Shares Outstanding,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,127.08,95.31,95.31,95.58,95.31,94.91,95.31,95.31
45,Working Capital,-,4299,4320,4310,4264,4367,4360,4956,4848,4958,4677,4898,2322,931.8,856.02,-,731.52,-,273.3,273.3
46,Book Value Per Share,40.53,40.53,40.72,40.75,40.21,40.57,40.41,43.24,42.66,43.69,41.50,41.67,20.51,11.50,10.64,8.52,8.52,3.50,3.50,3.50
47,Tangible Book Value,5106,5106,5123,5126,5055,5100,5078,5454,5380,5518,5252,5273,2584,1074,1010,807.2,807.2,329.31,329.31,329.31
48,Tangible Book Value Per Share,40.18,40.18,40.31,40.33,39.78,40.13,39.96,42.91,42.34,43.42,41.32,41.49,20.34,11.27,10.60,8.47,8.47,3.46,3.46,3.46
49,Buildings,-,-,510.2,-,12.54,-,317.64,-,167.28,-,113.43,-,58.42,-,58.42,-,30.02,-,30.02,30.02
50,Machinery,-,-,259.41,-,741.92,-,238.66,-,231.38,-,392.06,-,108.23,-,81.18,-,58.85,-,27.88,27.88
