,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5067,4687,5074,4281,4354,5119,5274,5542,7222,7652,7750,10734,17297,8783,-,-,-,-,-,-,-
1,Market Cap Growth,-8.44%,-8.44%,-3.78%,-22.75%,-39.71%,-33.11%,-31.95%,-48.37%,-58.25%,-12.87%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3046,2666,2874,1994,1906,2671,3003,4043,4277,4708,6907,8831,16587,8073,-,-,-,-,-,-,-
3,Last Close Price,39.87,36.88,39.54,32.95,33.51,39.40,40.59,42.65,51.64,54.72,55.42,75.13,121.06,61.47,-,-,-,-,-,-,-
4,PE Ratio,25.23,23.31,56.07,47.52,27.06,-,53.09,16.60,17.45,-,2.16,3.14,5.18,11.89,-,-,-,-,-,-,-
5,PS Ratio,9.14,8.44,8.59,7.83,8.52,10.17,14.84,12.59,8.89,1.24,1.10,1.53,2.52,5.53,-,-,-,-,-,-,-
6,PB Ratio,0.98,0.91,0.99,0.83,0.84,1.00,1.02,1.08,1.32,1.41,1.40,2.04,3.27,3.37,-,-,-,-,-,-,-
7,P/TBV Ratio,0.92,0.92,0.99,0.84,0.85,1.01,1.03,1.09,1.32,1.42,1.40,2.04,3.28,3.40,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-132.51,-,-,-,-,-,-,-,-,2.75,4.46,18.44,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,59.30,-,-8.67,-8.22,-6.01,-,-,-,1.81,2.47,4.01,12.99,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.49,4.80,4.87,3.64,3.73,5.31,8.45,9.18,5.26,0.76,0.98,1.26,2.41,5.08,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,11.29,9.94,46.63,68.13,60.47,-,133.60,18.81,47.25,-,1.83,-,4.21,9.16,-,-,-,-,-,-,-
12,EV/EBIT Ratio,14.28,12.50,438.20,-,-117.09,-,-195.27,-,70.14,-,1.83,-,4.22,9.23,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-75.04,-,-,-,-,-,-,-,-,2.26,4.28,16.95,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,-,-,-,-,-
15,Debt / EBITDA Ratio,0.04,0.01,0.05,0.62,0.10,-,0.69,1.06,0.31,-,0.06,-,0.00,0.00,0.01,0.01,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-0.25,-,-,-,-,-,-,-,-,0.01,0.00,0.01,0.00,0.01,-,-,-,-,-
17,Asset Turnover,-,0.11,0.08,0.09,0.13,0.07,0.05,0.07,0.02,0.10,0.24,4.03,1.56,0.56,-,-,-,-,1.40,-,
18,Inventory Turnover,-,-,2.04,1.65,1.58,2.64,1.03,0.64,1.10,7.33,-,3.24,13.68,5.60,2.13,-,-,-,-,2.05,-
19,Quick Ratio,-,-,4.25,4.80,4.46,8.30,4.64,2.62,1.32,4.34,1.62,0.67,1.36,3.95,3.19,3.14,-,3.08,-,2.88,2.88
20,Current Ratio,-,-,8.96,9.37,8.58,8.79,8.63,5.51,4.83,4.57,3.47,3.18,3.15,4.53,4.32,4.32,-,3.58,-,3.62,3.62
21,Return on Equity (ROE),5.08%,1.57%,3.49%,5.47%,-3.54%,1.54%,8.74%,3.69%,-6.39%,18.79%,14.82%,271.51%,98.23%,31.00%,52.37%,40.69%,276.68%,97.11%,102.89%,-,
22,Return on Assets (ROA),-,1.36%,-0.45%,0.57%,-1.20%,0.17%,-0.22%,0.95%,-1.38%,6.74%,-4.27%,144.84%,58.17%,16.12%,-,-,-,-,57.20%,-,
23,Return on Capital (ROIC),8.67%,1.53%,-0.50%,0.64%,-1.35%,0.20%,-0.27%,1.21%,-1.82%,9.31%,-6.05%,199.06%,73.15%,20.31%,41.47%,28.85%,208.45%,83.83%,75.21%,-,
24,Return on Capital Employed (ROCE),-,-,0.12%,-,-0.31%,-,-0.29%,-,1.08%,-,67.21%,-,73.99%,33.33%,73.19%,81.52%,-,96.69%,-,60.04%,30.02%
25,Earnings Yield,3.97%,4.29%,1.78%,2.10%,3.70%,2.77%,1.88%,6.03%,5.73%,39.79%,46.28%,31.80%,19.30%,8.41%,-,-,-,-,-,-,-
26,FCF Yield,-,-0.75%,-1.34%,-15.49%,-18.75%,-26.19%,-25.70%,-7.50%,40.73%,48.83%,36.40%,22.41%,5.42%,-,-,-,-,-,-,-,
27,Dividend Yield,1.98%,-,-,2.43%,-,1.02%,-,-,-,6.53%,-,-,-,3.05%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,238.88%,-,-,-,1608.86%,97.88%,0.03%,-,-,121.66%,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,0.20%,0.32%,-0.45%,1.34%,-0.43%,-1.17%,0.25%,-0.34%,0.01%,-20.11%,-33.37%,-33.48%,-32.98%,-11.00%,-0.34%,0.20%,-0.18%,-,-,-,-
