,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1344,1744,1360,1872,1136,3008,2608,2944,15984,4864,3392
1,Market Cap Growth,-6.84%,-6.84%,19.72%,-37.77%,-56.44%,2.17%,-83.68%,-39.47%,371.23%,126.87%,211.76%
2,Enterprise Value,2350,2609,2475,2535,1939,3431,2911,3228,15774,4834,3249
3,Last Close Price,0.84,1.09,0.81,1.12,0.63,1.66,1.40,1.58,8.46,2.57,1.78
4,PE Ratio,2.05,2.66,2.45,3.51,1.35,4.16,7.04,8.72,38.96,17.61,13.91
5,PS Ratio,0.65,0.84,0.72,1.13,0.56,1.46,1.38,1.68,9.60,4.19,3.73
6,PB Ratio,0.42,0.55,0.44,0.71,0.41,1.21,1.20,1.58,8.86,3.35,2.51
7,P/TBV Ratio,0.55,0.55,0.44,0.71,0.41,1.21,1.20,1.58,8.86,3.35,2.51
8,P/FCF Ratio,28.87,-,-12.05,-,-,-,-,12.50,53.85,34.19,-
9,P/OCF Ratio,5.06,5.06,5.79,-,5.56,7.75,3.84,4.43,27.34,12.12,20.17
10,EV/Sales Ratio,1.13,1.25,1.31,1.54,0.96,1.66,1.54,1.84,9.47,4.17,3.58
11,EV/EBITDA Ratio,2.17,2.40,2.58,2.91,1.61,2.83,2.81,3.89,22.06,11.07,8.56
12,EV/EBIT Ratio,2.59,2.85,3.17,3.51,1.84,3.19,3.26,4.65,27.26,12.99,10.28
13,EV/FCF Ratio,50.48,-,-21.92,-,-,-,-,13.71,53.14,33.98,-
14,Debt / Equity Ratio,0.37,0.37,0.33,0.52,0.32,0.40,0.30,0.26,0.25,0.14,0.18
15,Debt / FCF Ratio,25.31,-,-8.93,-,-,-,-,2.03,1.52,1.44,-
16,Return on Capital Employed (ROCE),26.03%,26.03%,22.69%,26.64%,35.46%,36.97%,29.01%,25.84%,22.46%,19.68%,21.97%
17,Earnings Yield,48.85%,37.64%,40.84%,28.49%,74.04%,24.04%,14.20%,11.46%,2.57%,5.68%,7.19%
18,FCF Yield,3.46%,2.67%,-8.30%,-26.71%,-29.23%,-5.82%,4.62%,8.00%,1.86%,2.92%,-6.96%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-28.36%,
20,Total Shareholder Return,5.95%,-,-,-,-,-,-,-,-,-,-28.36%
