,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,772,784,478,821,1115,1335,1666,1727,1115,1201,1531,Upgrade
1,Market Cap Growth,-4.48%,-4.48%,-57.14%,-38.53%,-33.09%,-22.70%,49.45%,43.88%,-27.20%,-18.16%,3.31%,Upgrade
2,Enterprise Value,68,-165,-76,147,1145,1128,1403,1030,937,770,1700,Upgrade
3,Last Close Price,0.63,0.64,0.37,0.64,0.87,1.04,1.15,1.19,0.72,0.78,0.90,Upgrade
4,PE Ratio,6.29,-,9.39,-,-,7.61,6.90,7.28,13.01,-,10.85,Upgrade
5,PS Ratio,0.17,0.18,0.11,0.17,0.18,0.19,0.25,0.28,0.23,0.23,0.23,Upgrade
6,PB Ratio,0.24,0.23,0.14,0.25,0.33,0.37,0.44,0.48,0.31,0.35,0.43,Upgrade
7,P/TBV Ratio,0.24,0.24,0.15,0.26,0.35,0.39,0.47,0.50,0.33,0.37,0.45,Upgrade
8,P/FCF Ratio,9.31,-,2.45,-,1.50,-54.06,-,-,2.28,-,2.11,Upgrade
9,P/OCF Ratio,3.95,-,1.63,1.08,1.23,9.11,-,-,1.85,-,1.74,Upgrade
10,EV/Sales Ratio,0.02,-,-,0.03,0.19,0.16,0.21,0.17,0.19,0.14,0.26,Upgrade
11,EV/EBITDA Ratio,0.87,-,-,-9.48,-,2.38,2.65,1.87,2.63,2.41,3.44,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,3.73,3.91,3.06,6.34,6.86,6.61,Upgrade
13,EV/FCF Ratio,0.82,-,-,-,1.54,-45.65,-,-,1.92,-,2.34,Upgrade
14,Debt / Equity Ratio,0.06,0.06,0.10,0.16,0.18,0.26,0.15,0.19,0.13,0.23,0.14,Upgrade
15,Debt / FCF Ratio,2.37,-,1.86,-,0.83,-38.21,-,-,0.98,-,0.68,Upgrade
16,Return on Capital Employed (ROCE),-,-3.33%,-,-,-,7.37%,9.01%,8.73%,3.88%,3.00%,6.49%,Upgrade
17,Earnings Yield,15.89%,15.64%,10.65%,-32.59%,-10.36%,13.14%,14.49%,13.73%,7.69%,3.60%,9.21%,Upgrade
18,FCF Yield,10.74%,10.57%,40.81%,74.03%,66.51%,-1.85%,-22.33%,17.97%,43.79%,41.97%,47.48%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-0.11%,-0.87%,-1.55%,Upgrade,
20,Total Shareholder Return,4.76%,-,-,-,-,-,-,-,-0.11%,-0.87%,-1.55%,Upgrade
