,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,793,792,908,1030,1741,3238,5333,9732,10221,-,-
1,Market Cap Growth,-23.04%,-23.04%,-47.87%,-68.21%,-67.36%,-66.73%,-47.83%,-,-,-,-
2,Enterprise Value,268,29,-46,-225,101,1166,2831,6754,12303,-,-
3,Last Close Price,1.96,1.96,2.26,2.57,4.35,8.10,13.44,24.95,26.35,-,-
4,PS Ratio,4.35,4.26,4.74,5.69,10.57,28.56,141.07,-,-,-,-
5,PB Ratio,0.50,0.50,0.49,0.45,0.65,1.06,1.56,2.55,2.51,-,-
6,P/TBV Ratio,0.96,0.96,0.85,0.78,1.05,1.58,2.20,3.44,3.24,-,-
7,EV/Sales Ratio,1.44,0.16,-,-,0.61,10.28,74.89,-,-,-,-
8,Debt / Equity Ratio,0.26,0.26,0.19,0.18,0.12,0.06,0.05,0.04,0.04,-2.98,-1.59
9,Earnings Yield,-85.07%,-85.15%,-93.23%,-83.68%,-54.95%,-30.78%,-16.17%,-16.00%,-19.33%,-,-
10,FCF Yield,-48.39%,-48.43%,-49.87%,-48.35%,-39.85%,-25.82%,-14.60%,-6.41%,-4.48%,-,-
11,Buyback Yield / Dilution,-0.25%,-0.48%,-0.03%,-0.67%,-1.90%,-3.29%,-103.55%,-505.86%,-205.45%,-0.40%,-
12,Total Shareholder Return,-0.25%,-0.48%,-0.03%,-0.67%,-1.90%,-3.29%,-103.55%,-505.86%,-205.45%,-0.40%,-
