,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,22895081,21167151,21787906,18444043,15507142,15636649,13967825,12870516,11658905,9144239,11201693,9235681,15590927,20764905,15862176,15587638,9425793,9578314,6405879,5598545,3404654,Upgrade
1,Market Cap Growth,35.37%,35.37%,55.99%,43.30%,33.01%,71.00%,24.69%,39.36%,-25.22%,-55.96%,-29.38%,-40.75%,65.41%,116.79%,147.62%,178.42%,176.85%,46.84%,-13.71%,-21.54%,-44.09%,Upgrade
2,Last Close Price,31800.00,28893.98,30417.30,24657.96,27763.73,21387.15,19104.60,17603.75,15657.15,12018.28,14722.39,12138.46,20491.16,27341.58,23558.22,23150.48,13709.95,13931.80,9171.63,7728.76,4696.22,Upgrade
3,PE Ratio,22.02,20.36,21.97,18.75,18.74,23.19,23.48,23.58,17.45,11.06,12.54,8.82,14.84,19.06,15.22,18.00,12.86,18.71,12.68,11.76,7.80,Upgrade
4,PS Ratio,6.88,6.36,6.76,6.01,5.96,6.63,6.02,5.91,4.28,2.98,3.58,2.66,4.59,5.77,4.43,4.97,3.60,4.84,3.99,3.69,2.23,Upgrade
5,PB Ratio,2.19,2.03,2.17,1.73,1.81,1.88,1.72,1.63,1.45,1.16,1.40,1.18,2.05,2.83,3.10,3.24,1.98,2.16,1.44,1.30,0.77,Upgrade
6,P/FCF Ratio,-,-1.61,-,-,-2.88,-,-,-,1.25,1.37,3.79,99.21,-,-,-,-,-1.73,-,-,-,3.76,Upgrade
7,P/OCF Ratio,-,-1.61,-,-,-2.89,-,-,-,1.24,1.36,3.74,74.44,-,-,-,-,-1.74,-,-,-,3.65,Upgrade
8,Debt / Equity Ratio,1.96,1.96,2.20,1.53,1.12,1.10,0.98,0.75,0.69,0.88,1.38,1.32,1.91,2.05,2.52,1.87,1.77,1.51,0.88,0.45,0.32,Upgrade
9,Debt / FCF Ratio,-,-1.55,-,-,-1.79,-,-,-,0.59,1.04,3.73,110.67,-,-,-,-,-1.55,-,-,-,1.55,Upgrade
10,Asset Turnover,0.10,0.11,0.15,0.15,0.17,0.18,0.13,0.13,0.15,0.11,0.19,0.14,0.14,0.21,0.24,0.30,0.27,0.22,0.25,0.24,Upgrade,
11,Quick Ratio,1.48,1.48,1.42,1.59,1.70,1.83,1.92,2.20,2.26,2.01,1.60,1.67,1.48,1.41,1.36,1.43,1.45,1.50,1.84,2.69,3.24,Upgrade
12,Current Ratio,1.49,1.49,1.44,1.61,1.71,1.85,1.93,2.21,2.28,2.02,1.62,1.67,1.49,1.42,1.36,1.43,1.45,1.53,1.85,2.70,3.27,Upgrade
13,Return on Equity (ROE),8.86%,8.59%,13.02%,13.10%,8.72%,10.67%,7.89%,6.22%,6.31%,8.35%,14.47%,15.15%,14.37%,25.66%,23.68%,27.98%,12.35%,12.96%,13.78%,9.28%,Upgrade,
14,Return on Assets (ROA),2.84%,2.94%,5.20%,5.78%,4.15%,5.53%,4.42%,3.35%,2.77%,3.31%,5.32%,4.80%,4.14%,7.40%,7.43%,9.38%,5.00%,7.01%,9.23%,5.87%,Upgrade,
15,Earnings Yield,4.54%,4.91%,4.55%,5.33%,5.34%,4.31%,4.44%,4.44%,5.95%,9.32%,8.49%,11.96%,7.11%,5.52%,6.69%,5.67%,7.97%,5.54%,8.12%,8.77%,13.26%,Upgrade
16,FCF Yield,-57.58%,-62.28%,-70.66%,-68.19%,-34.74%,-29.30%,-4.24%,18.09%,80.12%,73.23%,26.42%,1.01%,-34.80%,-14.91%,-36.26%,-34.73%,-57.80%,-48.59%,-25.09%,27.02%,26.59%,Upgrade
17,Dividend Yield,1.56%,1.73%,-,-,-,2.44%,-,-,-,7.24%,-,3.58%,-,2.39%,-,4.51%,-,7.49%,-,19.13%,-,Upgrade
18,Payout Ratio,79.76%,-,372.87%,-,-,-,-,145.40%,184.70%,-,-,0.00%,53.94%,0.01%,0.01%,75.37%,47.39%,-,150.49%,-,149.98%,Upgrade
19,Buyback Yield / Dilution,-36.93%,-36.93%,-33.89%,-33.89%,0.00%,-,-,-,-,-,-49.88%,-49.88%,-49.88%,-49.88%,-,0.02%,0.10%,0.16%,0.16%,0.16%,-41.42%,Upgrade
20,Total Shareholder Return,-35.38%,-35.20%,-33.89%,-33.89%,0.00%,2.44%,-,-,-,7.24%,-49.88%,-46.30%,-49.88%,-47.50%,-,4.53%,0.10%,7.65%,0.16%,19.29%,-41.42%,Upgrade
