,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Interest and Dividend Income,650269,541476,441663,390405,467361,317077,331490,322903,427003,375245,402357,467690,470302,405255,324852,280529,264032,188148,144707,160004,Upgrade
1,Total Interest Expense,318143,270933,148106,103016,116784,121039,122105,126984,176069,193800,172103,208753,299763,190908,150089,106431,82454,63833,26468,34295,Upgrade
2,Net Interest Income,332125,270544,293557,287390,350577,196038,209384,195919,250934,181445,230253,258936,170539,214347,174763,174098,181578,124314,118239,125709,Upgrade
3,Brokerage Commission,187258,193003,253469,214676,176010,224021,139690,132394,194647,168028,236141,282899,365622,369633,360716,294526,214644,149006,150533,107282,Upgrade
4,Trading & Principal Transactions,-24976,-21512,-26348,-24601,-10123,-12757,-12504,-12758,-15072,-16795,-17876,-22359,-50133,-15295,-12595,-13901,-30437,-8174,-9767,-7935,Upgrade
5,Asset Management Fee,3111,2927,2730,2674,2582,2468,2437,2526,2577,2383,2179,2186,2288,2189,2052,2047,2045,1866,1765,1899,Upgrade
6,Underwriting & Investment Banking Fee,6128,1670,51253,1024,14011,5589,669.32,1866,4103,1116,44142,4449,14457,14715,1740,15638,3040,30954,2361,1387,Upgrade
7,Gain on Sale of Investments (Rev),307781,402623,338037,267152,198074,251266,107690,167741,266748,300444,452765,351003,181847,276711,401908,558059,365122,140028,163541,156746,Upgrade
8,Other Revenue,25191,-6351,4426,-15381,429.6,20943,3215,906.48,-11180,-90650,48397,-42671,71575,22516,-9852,11382,-1691,2552,-25145,19072,Upgrade
9,Revenue,836618,842904,917123,732934,731562,687568,450582,488593,692758,545970,996001,834444,756194,884815,918733,1041848,734301,440547,401526,404158,Upgrade
10,Revenue Growth (YoY),14.36%,22.59%,103.54%,50.01%,5.60%,25.94%,-54.76%,-41.45%,-8.39%,-38.30%,8.41%,-19.91%,2.98%,100.84%,128.81%,157.78%,104.24%,25.07%,-3.00%,54.80%,Upgrade
11,Salaries & Employee Benefits,-,61042,98472,39296,104171,52957,63769,36076,120012,35420,51147,28247,108700,36443,11484,34881,51887,28670,31311,28975,Upgrade
12,Cost of Services Provided,260640,199886,208880,203257,134225,183338,139980,153328,105271,181415,190681,237082,212374,263581,239985,177613,173006,118782,114795,103843,Upgrade
13,Other Operating Expenses,-1802,-6270,-10388,-2471,1409,-6975,-12626,-2129,1144,-2344,-6715,-2301,-11930,-2104,-1371,377.92,2284,-1360,-162.85,-367.24,Upgrade
14,Total Operating Expenses,258838,260666,303374,246378,245512,234306,196345,192177,230600,218238,238807,266501,311725,300290,252252,215046,229704,149194,149442,135806,Upgrade
15,Operating Income,577781,582238,613749,486556,486049,453262,254237,296417,462158,327732,757194,567943,444469,584525,666481,826802,504597,291353,252084,268353,Upgrade
16,Other Non-Operating Income (Expenses),4658,-4525,3532,-904.64,-589.77,1355,590.86,53.2,160.66,1731,2144,4227,-3888,118123,-59731,13784,-68149,-2470,154.92,1306,Upgrade
17,EBT Excluding Unusual Items,582439,577713,617282,485651,485460,454618,254828,296470,462319,329463,759338,572170,440581,702647,606749,840587,436448,288884,252239,269659,Upgrade
18,Gain (Loss) on Sale of Investments,-297800,-302429,-227401,-139891,-260337,-188177,-58650,-141981,-303013,-123573,-410599,-218298,-161565,-305047,-254730,-438886,-265122,-113767,-64484,-143551,Upgrade
19,Pretax Income,284639,275284,389881,345760,225123,266441,196178,154489,159306,205890,348738,353872,279016,397600,352019,401700,171326,175117,187755,126108,Upgrade
20,Income Tax Expense,57590,52891,76524,68905,45838,52334,38967,30733,33975,40799,69418,71126,55394,79148,68835,79895,34022,33070,37633,25129,Upgrade
21,Net Income,227050,222394,313357,276855,179285,214106,157212,123756,125331,165091,279320,282746,223622,318452,283184,321805,137304,142047,150122,100979,Upgrade
22,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,25500,-,-,-,57373,-,-,-,18527,-,-,-,Upgrade
23,Net Income to Common,227050,222394,313357,276855,179285,214106,157212,123756,99831,165091,279320,282746,166249,318452,283184,321805,118777,142047,150122,100979,Upgrade
24,Net Income Growth,26.64%,3.87%,99.32%,123.71%,43.05%,29.69%,-43.72%,-56.23%,-43.95%,-48.16%,-1.36%,-12.14%,62.87%,124.19%,88.64%,218.69%,7.84%,26.10%,35.69%,23.20%,Upgrade
25,Shares Outstanding (Basic),720,704,704,526,526,526,526,526,526,526,526,526,526,351,351,351,351,351,351,351,Upgrade
26,Shares Outstanding (Diluted),720,704,704,526,526,526,526,526,526,526,526,526,526,351,351,351,351,351,351,351,Upgrade
27,Shares Change (YoY),36.93%,33.89%,33.89%,-0.00%,-,-,-,-,-,49.88%,49.88%,49.88%,49.88%,-,-0.02%,-0.10%,-0.16%,-0.16%,-0.16%,41.42%,Upgrade
28,EPS (Basic),315.36,315.91,445.13,526.55,340.98,407.21,299.00,235.37,189.87,313.98,531.24,537.75,316.19,907.79,807.26,917.35,338.59,404.93,427.87,287.56,Upgrade
29,EPS (Diluted),315.36,315.91,445.13,526.55,340.98,407.21,298.63,235.37,189.87,313.98,531.24,537.75,315.89,907.79,807.00,917.35,338.28,404.93,427.87,287.56,Upgrade
30,EPS Growth,-7.51%,-22.42%,49.06%,123.71%,79.59%,29.69%,-43.79%,-56.23%,-39.89%,-65.41%,-34.17%,-41.38%,-6.62%,124.19%,88.61%,219.01%,5.98%,26.30%,35.91%,-12.88%,Upgrade
31,Free Cash Flow,1340307,-5383574,-9175129,34877,-870938,-2566710,-1984094,840618,3117662,354269,5028035,-1803947,-619339,-2511659,-491066,526104,-3275349,-2173039,-525651,1320343,Upgrade
32,Free Cash Flow Per Share,1861.61,-7647.44,-13033.39,66.33,-1656.42,-4881.59,-3773.52,1598.76,5929.44,673.78,9562.75,-3430.90,-1177.91,-7159.84,-1399.85,1499.74,-9336.85,-6194.56,-1498.17,3760.03,Upgrade
33,Dividend Per Share,500.000,-,-,-,522.000,-,-,-,652.174,-,217.391,-,217.391,-,434.783,-,608.696,-,434.783,-,Upgrade
