,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,526871,478973,505317,622665,627455,393716,444966,422933,387968,454067,593927,675352,957947,890890,598717,478973,455025,356356,333844,282115,225117,Upgrade
1,Market Cap Growth,21.65%,21.65%,13.56%,47.23%,61.73%,-13.29%,-25.08%,-37.38%,-59.50%,-49.03%,-0.80%,41.00%,110.53%,150.00%,79.34%,69.78%,102.13%,22.17%,-1.13%,-53.98%,-65.69%,Upgrade
2,Enterprise Value,756787,550475,567842,583382,541489,422791,470607,470643,486118,808085,989237,932649,1267101,1229657,1014483,816692,749387,775730,737996,676577,548648,Upgrade
3,Last Close Price,11000.00,10000.00,10550.00,13000.00,12632.14,7926.43,8958.21,8514.64,7472.95,8746.12,11440.08,13008.47,18226.72,16950.85,11391.70,9113.36,8459.12,6624.83,6206.32,5244.65,4185.04,Upgrade
4,PE Ratio,32.16,19.73,15.84,14.44,23.28,6.93,11.45,-,7.49,-,8.95,9.65,16.50,27.32,33.85,39.53,38.91,-,114.07,-99.01,-,Upgrade
5,PS Ratio,0.49,0.30,0.33,0.38,0.39,0.25,0.33,0.28,0.22,0.23,0.24,0.29,0.42,0.42,0.35,0.32,0.32,0.26,0.24,0.19,0.13,Upgrade
6,PB Ratio,0.81,0.74,0.79,0.98,0.95,0.60,0.70,0.69,0.60,0.73,0.96,1.09,1.57,1.53,1.06,0.86,0.81,0.64,0.60,0.50,0.41,Upgrade
7,P/TBV Ratio,0.84,0.84,0.90,1.12,1.09,0.69,0.80,0.79,0.69,0.85,1.11,1.27,1.82,1.80,1.26,1.02,0.96,0.76,0.71,0.60,0.49,Upgrade
8,P/FCF Ratio,-,-,-9.57,-,-,3.14,1.66,1.44,-,2.35,-24.99,-,11.36,-111.25,-,2.45,-,12.08,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-12.37,-,-,2.85,1.56,1.38,-,2.20,-30.96,-,10.82,141.58,-,2.20,-,7.33,-,-,-,Upgrade
10,EV/Sales Ratio,0.47,0.34,0.38,0.36,0.34,0.27,0.35,0.31,0.28,0.40,0.40,0.40,0.56,0.58,0.60,0.54,0.52,0.56,0.52,0.45,0.32,Upgrade
