,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,11317,23936,51532,21660,63710,50072,29426,4488,17558,44289,14551,36568,101697,30653,-,70536,56263,10183,37939,16504,Upgrade
1,Short-Term Investments,391797,454348,472320,515649,506300,401250,330355,211305,154800,347520,460270,339284,286984,249700,-,30000,30000,-,-,-,Upgrade
2,Cash & Short-Term Investments,403115,478284,523852,537309,570010,451322,359781,215793,172358,391809,474821,375852,388681,280353,-,100536,86263,10183,37939,16504,Upgrade
3,Cash Growth,-29.28%,5.97%,45.60%,148.99%,230.71%,15.19%,-24.23%,-42.59%,-55.66%,39.76%,-,273.85%,350.58%,2653.19%,-,509.16%,16.77%,-48.15%,-50.68%,-58.98%,Upgrade
4,Accounts Receivable,236487,189391,264372,106433,133421,257566,215165,110197,94378,266744,181686,130004,67643,244025,-,322387,238842,454339,497614,374424,Upgrade
5,Other Receivables,8232,8672,7313,11899,10427,14447,11897,6440,7232,1636,6336,4977,4999,3088,-,19337,18841,3281,3524,5495,Upgrade
6,Receivables,244719,198063,271685,118331,143848,272012,227062,116637,101610,268380,188021,134981,72642,247113,-,341724,257684,457621,501138,379919,Upgrade
7,Inventory,434603,336317,273192,318442,261109,302540,306635,422504,571096,563268,682892,576156,608552,413550,-,413927,418297,406265,353663,430449,Upgrade
8,Prepaid Expenses,6726,1958,3895,6139,6627,1479,3226,2057,2796,1612,2374,1241,990.44,1557,-,4032,4658,5247,3999,4258,Upgrade
