,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,509660,298763,447695,344040,419332,421151,407278,311204,210142,571438,662414,565057,705141,409751,584224,410561,287683,237081,505355,358346,Upgrade
1,Revenue Growth (YoY),21.54%,-29.06%,9.92%,10.55%,99.55%,-26.30%,-38.52%,-44.93%,-70.20%,39.46%,13.38%,37.63%,145.11%,72.83%,15.61%,14.57%,-7.16%,-29.91%,-29.25%,35.38%,Upgrade
2,Cost of Revenue,474089,265815,406373,313367,376376,381902,399306,313477,211475,525244,619105,503836,654605,384406,531951,377996,273828,219283,452493,343320,Upgrade
3,Gross Profit,35570,32948,41322,30673,42956,39249,7972,-2273,-1333,46194,43309,61221,50536,25345,52273,32565,13855,17798,52862,15026,Upgrade
4,"Selling, General & Admin",31749,22242,31020,25650,25652,22607,23335,16810,17176,28740,18830,21930,29764,13884,36453,28875,25473,13294,36745,17284,Upgrade
5,Operating Expenses,31749,22242,31020,25650,25652,22607,23335,16810,17176,28740,18830,21930,29764,13884,36453,28875,25473,13294,36745,17284,Upgrade
6,Operating Income,3821,10706,10301,5023,17304,16641,-15362,-19083,-18509,17454,24479,39291,20772,11461,15820,3690,-11618,4504,16117,-2258,Upgrade
7,Interest Expense,-6032,-5739,-5687,-8618,-9952,-5769,-4072,-5385,-9868,-11223,-7628,-6817,-10615,-4526,-4534,-4489,-7935,-5886,-6646,-5937,Upgrade
8,Interest & Investment Income,4652,5414,6063,7334,4254,8010,9794,58417,15801,133.67,7785,4699,6150,-,837.27,1288,13719,522.88,3.41,1111,Upgrade
9,Currency Exchange Gain (Loss),292.87,659.74,-776.31,566.54,-6086,586.28,-266.79,266.79,6535,1733,1159,-1159,1365,-120.23,-227.93,227.93,387.59,79.36,-6.79,6.79,Upgrade
10,Other Non Operating Income (Expenses),4360,-1147,265.89,809.69,5390,-333.91,2108,-350.01,2941,-5246,1077,-687.7,2410,513.8,100.79,2400,4378,1200,432.67,587.35,Upgrade
11,EBT Excluding Unusual Items,7094,9894,10166,5116,10911,19134,-7799,33866,-3101,2852,26873,35326,20081,7329,11996,3116,-1068,420.31,9900,-6490,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-,868.18,-,-,-,390.34,-,-,-,523.82,-,-,-,272.35,173.73,1.09,-1.09,Upgrade
13,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-182.87,-,-,Upgrade
14,Pretax Income,7094,9894,10166,5116,11779,19134,-7799,33866,-2710,2852,26873,35326,20605,7329,11996,3116,-795.45,411.17,9901,-6491,Upgrade
15,Income Tax Expense,2686,1979,2301,1023,-246.4,-,497.24,-90.76,-1559,570.32,5375,7374,1957,1466,2404,623.12,-909.74,118.81,730.89,60.04,Upgrade
16,Net Income,4408,7915,7865,4093,12025,19134,-8296,33957,-1152,2281,21498,27952,18648,5863,9592,2492,114.28,292.36,9170,-6551,Upgrade
17,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,4799,-,-,-,3987,-,-,-,374.06,-,-,-,Upgrade
18,Net Income to Common,4408,7915,7865,4093,12025,19134,-8296,33957,-5951,2281,21498,27952,14661,5863,9592,2492,-259.78,292.36,9170,-6551,Upgrade
19,Net Income Growth,-63.35%,-58.64%,-,-87.95%,-,738.76%,-,21.48%,-,-61.09%,124.13%,1021.44%,16217.26%,1905.44%,4.60%,-,646.22%,-,-26.40%,-,Upgrade
20,Shares Outstanding (Basic),48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,Upgrade
21,Shares Outstanding (Diluted),48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,Upgrade
22,Shares Change (YoY),-,-,-,0.09%,-,0.78%,-,-0.17%,-,-0.77%,-,-0.16%,-,-,-,1.41%,-,-,0.68%,-1.82%,Upgrade
23,EPS (Basic),92.02,165.25,164.21,85.45,251.06,399.49,-173.20,709.60,-124.24,48.00,448.84,583.11,306.10,122.41,200.26,51.91,-5.42,6.10,191.46,-138.38,Upgrade
24,EPS (Diluted),92.02,165.25,164.21,85.45,251.06,399.49,-173.20,709.60,-124.24,48.00,448.84,583.11,306.10,122.41,200.26,51.91,-5.42,6.10,191.46,-138.38,Upgrade
25,EPS Growth,-63.35%,-58.64%,-,-87.96%,-,732.26%,-,21.69%,-,-60.79%,124.13%,1023.20%,-,1905.44%,4.60%,-,-,-,-26.89%,-,Upgrade
26,Free Cash Flow,-165683,11484,-110514,-53556,99804,15146,19629,-9378,242900,41411,-139485,48297,26011,-119051,129054,-44022,125659,-15460,-9942,-70759,Upgrade
27,Free Cash Flow Per Share,-3459.13,239.77,-2307.31,-1118.15,2083.70,316.22,409.81,-195.97,5071.27,871.33,-2912.17,1007.53,543.06,-2485.54,2694.38,-916.91,2623.51,-322.77,-207.56,-1494.61,Upgrade
28,Dividend Per Share,-,-,-,-,500.000,-,-,-,400.000,-,-,-,200.000,-,-,-,250.000,-,-,-,Upgrade
29,Dividend Growth,-,-,-,-,25.00%,-,-,-,100.00%,-,-,-,-20.00%,-,-,-,-,-,-,-,Upgrade
30,Gross Margin,6.98%,11.03%,9.23%,8.92%,10.24%,9.32%,1.96%,-0.73%,-0.63%,8.08%,6.54%,10.83%,7.17%,6.19%,8.95%,7.93%,4.82%,7.51%,10.46%,4.19%,Upgrade
31,Operating Margin,0.75%,3.58%,2.30%,1.46%,4.13%,3.95%,-3.77%,-6.13%,-8.81%,3.05%,3.70%,6.95%,2.95%,2.80%,2.71%,0.90%,-4.04%,1.90%,3.19%,-0.63%,Upgrade
32,Profit Margin,0.86%,2.65%,1.76%,1.19%,2.87%,4.54%,-2.04%,10.91%,-2.83%,0.40%,3.25%,4.95%,2.08%,1.43%,1.64%,0.61%,-0.09%,0.12%,1.81%,-1.83%,Upgrade
33,Free Cash Flow Margin,-32.51%,3.84%,-24.69%,-15.57%,23.80%,3.60%,4.82%,-3.01%,115.59%,7.25%,-21.06%,8.55%,3.69%,-29.05%,22.09%,-10.72%,43.68%,-6.52%,-1.97%,-19.75%,Upgrade
34,EBITDA,8690,15623,15838,10919,23686,23207,-8806,-12464,-12561,23731,31429,45311,27530,18370,22791,9964,-5671,10384,21872,3709,Upgrade
35,EBITDA Margin,1.70%,5.23%,3.54%,3.17%,5.65%,5.51%,-2.16%,-4.01%,-5.98%,4.15%,4.74%,8.02%,3.90%,4.48%,3.90%,2.43%,-1.97%,4.38%,4.33%,1.03%,Upgrade
36,D&A For EBITDA,4869,4917,5537,5896,6382,6566,6556,6619,5947,6277,6950,6020,6758,6909,6971,6274,5947,5880,5755,5967,Upgrade
37,EBIT,3821,10706,10301,5023,17304,16641,-15362,-19083,-18509,17454,24479,39291,20772,11461,15820,3690,-11618,4504,16117,-2258,Upgrade
38,EBIT Margin,0.75%,3.58%,2.30%,1.46%,4.13%,3.95%,-3.77%,-6.13%,-8.81%,3.05%,3.70%,6.95%,2.95%,2.80%,2.71%,0.90%,-4.04%,1.90%,3.19%,-0.63%,Upgrade
