,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,542,454,542,1930,2148,2944,3716,-,-,-
1,Market Cap Growth,-76.45%,-76.45%,-74.78%,-34.46%,-42.21%,-,-,-,-,-
2,Enterprise Value,232,525,557,2299,2068,1990,3651,-,-,-
3,Last Close Price,0.87,0.68,0.78,2.74,3.04,4.17,4.97,-,-,-
4,PE Ratio,9.14,7.67,8.65,37.26,11.08,6.19,6.64,-,-,-
5,Forward PE,-,4.70,4.70,4.01,4.18,3.85,6.22,-,-,-
6,PS Ratio,0.05,0.04,0.05,0.16,0.19,0.26,0.30,-,-,-
7,PB Ratio,0.19,0.15,0.17,0.62,0.67,0.90,1.08,-,-,-
8,P/TBV Ratio,0.29,0.29,0.34,1.28,1.37,1.85,1.64,-,-,-
9,P/FCF Ratio,1.59,1.33,-,5.96,-,-,13.56,-,-,-
10,P/OCF Ratio,0.91,0.91,0.76,3.41,-,6.61,7.47,-,-,-
11,PEG Ratio,0.09,0.09,0.09,0.09,0.09,0.09,0.13,-,-,-
12,EV/Sales Ratio,0.02,0.05,0.05,0.20,0.18,0.18,0.30,-,-,-
13,EV/EBITDA Ratio,0.62,1.76,1.62,6.90,3.97,2.25,3.62,-,-,-
14,EV/EBIT Ratio,1.60,3.63,3.22,13.74,5.60,2.64,4.13,-,-,-
15,EV/FCF Ratio,0.68,1.54,-,7.10,-,-,13.32,-,-,-
16,Debt / Equity Ratio,0.22,0.22,0.25,0.46,0.31,0.29,0.14,0.21,0.28,-
17,Debt / FCF Ratio,2.01,2.01,-,4.42,-,-,1.81,-,0.71,-
18,Return on Capital Employed (ROCE),3.86%,3.86%,4.48%,4.48%,9.50%,18.72%,22.55%,23.12%,14.35%,-
19,Earnings Yield,10.94%,13.04%,11.56%,2.68%,9.03%,16.15%,15.06%,-,-,-
20,FCF Yield,62.89%,74.96%,93.24%,16.79%,-20.50%,0.32%,7.37%,-,-,-
21,Dividend Yield,3.70%,4.71%,-,-,-,-,-,-,-,-
22,Buyback Yield / Dilution,-,-,-,-2.49%,-38.33%,-34.97%,-,-,-,
23,Total Shareholder Return,3.70%,4.71%,-,-,-2.49%,-38.33%,-34.97%,-,-,-
