,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,4280,5365,5364,5503,4579,5020,4943,5177,3357
1,Revenue Growth (YoY),-20.20%,-2.51%,17.14%,9.62%,-7.36%,-3.02%,47.25%,-,-
2,Cost of Revenue,4076,5106,5044,5113,4091,4406,4391,4652,3025
3,Gross Profit,203.67,258.91,319.52,390.01,487.53,614.06,551.75,524.16,331.8
4,"Selling, General & Admin",378.92,408.34,399.93,448.89,325.5,331.37,307.83,336.87,216.06
5,Other Operating Expenses,-242.23,-217.04,-169.65,-124.53,-98.66,-99.62,-93.94,10.24,-
6,Operating Expenses,136.69,191.3,230.29,324.36,226.83,231.75,213.9,347.11,216.06
7,Operating Income,66.98,67.61,89.23,65.65,260.7,382.32,337.85,177.05,115.73
8,Interest Expense,-16.35,-21.75,-25.76,-21.22,-16.62,-10.43,-9.18,-16.01,-25.04
9,Interest & Investment Income,6.14,11.71,6.46,4.15,5.63,9.41,5.28,7.93,13.6
10,Other Non Operating Income (Expenses),-,-,-,-,-,-,-,94.18,41.21
11,EBT Excluding Unusual Items,56.77,57.57,69.93,48.58,249.71,381.3,333.95,263.14,145.5
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,0.5,-
13,Gain (Loss) on Sale of Assets,11.53,-0.74,6.62,9.55,13.57,5.13,6.95,7.2,3.87
14,Pretax Income,68.3,56.83,76.55,58.12,263.28,386.43,340.9,270.84,149.37
15,Income Tax Expense,20.8,24.18,24.82,28.93,49.62,92.58,74.06,72.46,41.27
16,Earnings From Continuing Operations,47.5,32.65,51.73,29.19,213.66,293.85,266.84,198.39,108.11
17,Minority Interest in Earnings,-13.62,-11.37,-16.2,-16.78,-54.53,-46.96,-57.7,-38.75,-32.76
18,Net Income,33.88,21.28,35.53,12.4,159.12,246.89,209.14,159.63,75.35
19,Net Income to Common,33.88,21.28,35.53,12.4,159.12,246.89,209.14,159.63,75.35
20,Net Income Growth,-4.65%,71.59%,-77.67%,-94.98%,-23.92%,54.66%,177.56%,-,-
21,Shares Outstanding (Basic),623,623,623,623,623,607,450,450,450
22,Shares Outstanding (Diluted),623,623,623,623,623,607,450,450,450
23,Shares Change (YoY),-,-,-,2.49%,38.33%,34.97%,-,-,-
24,EPS (Basic),0.05,0.03,0.06,0.02,0.26,0.41,0.46,0.35,0.17
25,EPS (Diluted),0.05,0.03,0.06,0.02,0.26,0.41,0.46,0.35,0.17
26,EPS Growth,-4.65%,71.59%,-77.67%,-95.10%,-45.00%,14.59%,177.56%,-,-
27,Free Cash Flow,325.18,-8.17,466.56,-166.72,-222.69,230.84,-7.61,477.79,182.97
28,Free Cash Flow Per Share,0.52,-0.01,0.75,-0.27,-0.36,0.38,-0.02,1.06,0.41
29,Dividend Per Share,0.030,-,-,-,-,-,-,-,-
30,Operating Margin,1.56%,1.26%,1.66%,1.19%,5.69%,7.62%,6.84%,3.42%,3.45%
31,Profit Margin,0.79%,0.40%,0.66%,0.23%,3.48%,4.92%,4.23%,3.08%,2.24%
32,Free Cash Flow Margin,7.60%,-0.15%,8.70%,-3.03%,-4.86%,4.60%,-0.15%,9.23%,5.45%
33,EBITDA,134.93,142.4,169.66,138.61,321.82,433.9,388.63,218.53,159.27
34,D&A For EBITDA,67.95,74.79,80.43,72.96,61.13,51.59,50.78,41.48,43.53
35,EBIT,66.98,67.61,89.23,65.65,260.7,382.32,337.85,177.05,115.73
