,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1140,865.74,1500,713.07,1024,1353,460.13,236.83,-
1,Trading Asset Securities,-,-,-,-,-,50,178,439,-
2,Cash & Short-Term Investments,1140,865.74,1500,713.07,1024,1403,638.13,675.83,-
3,Cash Growth,-24.02%,21.41%,46.56%,-49.18%,60.43%,107.62%,-,-,-
4,Accounts Receivable,55.48,62.76,54.81,59.99,51.31,43.52,55.85,49.87,-
5,Other Receivables,338.66,417.65,359.3,324.89,320.11,303.58,293.1,279.56,-
6,Receivables,394.14,480.41,414.11,384.88,371.42,347.09,348.95,329.43,-
7,Inventory,845.88,801.29,686.45,853.77,848.31,641.09,628.49,444.96,-
8,Restricted Cash,2.76,2.6,6.71,7.03,9.51,4.91,-,-,-
9,Other Current Assets,293.14,313.49,457.37,536.8,417.46,227.63,205.17,138.84,-
10,Total Current Assets,2676,2464,3065,2496,2670,2624,1821,1589,-
11,"Property, Plant & Equipment",815.81,898.25,921.23,968.6,971.37,682.94,593.62,648.96,-
12,Goodwill,378.63,378.63,378.63,378.63,378.63,210.4,210.4,210.4,-
13,Other Intangible Assets,857.37,877.08,896.39,897.45,910.85,525.17,537.14,549.12,-
14,Long-Term Accounts Receivable,-,-,-,-,-,-,-,10.3,-
15,Long-Term Deferred Tax Assets,32.02,35.49,34.93,34.69,41.05,46.02,38,27.62,-
16,Other Long-Term Assets,57.14,59.6,62.06,65.83,71.01,70.71,52.83,5.18,-
17,Total Assets,4817,4713,5358,4841,5043,4159,3253,3041,-
18,Accounts Payable,615.67,391.77,431.6,334.15,312.59,119,105.02,145.71,-
19,Accrued Expenses,12.27,97.27,17.77,126.64,8.38,150.73,104.13,109.4,-
20,Short-Term Debt,373.93,441.45,1053,572.08,474.18,223.52,294.02,326.11,-
21,Current Portion of Leases,31.17,31.51,27.72,32.15,35.65,36.61,34.71,34.22,-
22,Current Income Taxes Payable,53.93,54.73,52.12,38.39,62.05,70.51,63.86,44.71,-
23,Current Unearned Revenue,137.38,155.67,157.83,183.56,234.34,287.23,333.61,269.12,-
24,Other Current Liabilities,103.11,39.28,163,119.04,481.93,78.5,89.96,71.43,-
25,Total Current Liabilities,1327,1212,1903,1406,1609,966.09,1025,1001,-
26,Long-Term Leases,233.16,257.24,245.63,263.74,290.36,144.92,81.3,110.64,-
27,Long-Term Unearned Revenue,152.63,157.25,151.81,134.05,132.33,101.63,92.25,88.27,-
28,Long-Term Deferred Tax Liabilities,188.76,193.24,198.31,204.2,211.1,138.83,142.84,146.84,-
29,Total Liabilities,1902,1819,2499,2008,2243,1351,1342,1346,-
30,Common Stock,5.18,5.18,5.18,5.18,5.18,5.18,-,-,-
31,Additional Paid-In Capital,426.22,444.89,444.89,463.57,600.52,600.52,-,-,-
32,Retained Earnings,1867,1833,1812,1776,1627,1605,1358,1149,-
33,Comprehensive Income & Other,403.41,410.43,409.41,415.78,412.68,376.56,379.48,379.49,-
34,Total Common Equity,2702,2693,2671,2661,2645,2587,1737,1528,-
35,Minority Interest,213.39,199.77,188.4,172.14,155.36,220.82,173.87,166.17,-
36,Shareholders' Equity,2915,2893,2859,2833,2800,2808,1911,1694,-
37,Total Liabilities & Equity,4817,4713,5358,4841,5043,4159,3253,3041,-
38,Total Debt,638.25,730.19,1326,867.97,800.19,405.04,410.04,470.97,-
39,Net Cash (Debt),501.82,135.55,174.05,-154.9,223.57,998.11,228.1,204.86,-
40,Net Cash Growth,188.32%,-,-22.15%,-,-1.98%,387.21%,-,-,-
41,Net Cash Per Share,0.81,0.22,0.28,-0.25,0.36,1.64,0.51,0.46,-
42,Filing Date Shares Outstanding,622.5,622.5,622.5,622.5,622.5,622.5,450,600,450
43,Total Common Shares Outstanding,622.5,622.5,622.5,622.5,622.5,622.5,450,450,450
44,Working Capital,1349,1252,1162,1090,1061,1658,795.42,588.37,-
45,Book Value Per Share,4.34,4.33,4.29,4.27,4.25,4.16,3.86,3.40,-
46,Tangible Book Value,1466,1438,1396,1385,1356,1851,989.61,768.5,-
47,Tangible Book Value Per Share,2.35,2.31,2.24,2.22,2.18,2.97,2.20,1.71,-
48,Buildings,-,225.03,-,335.81,-,189.33,213.02,243.3,-
49,Machinery,-,349.2,-,329.19,-,272.75,258.28,232.23,-
50,Construction In Progress,-,0.79,-,14.18,-,26.65,6.59,9.19,-
51,Leasehold Improvements,-,186.62,-,160.82,-,88.73,56.68,29.67,-
