,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Revenue,7310,7312,6852,6879,6220,7034,6809,6394,5606,4206,Upgrade
1,Revenue Growth (YoY),6.68%,6.29%,10.15%,-2.19%,-8.65%,10.01%,21.46%,52.03%,42.35%,12.81%,Upgrade
2,Cost of Revenue,4335,4391,4134,4178,3754,4287,4153,3929,3450,2609,Upgrade
3,Gross Profit,2975,2921,2718,2702,2466,2747,2657,2465,2156,1597,Upgrade
4,"Selling, General & Admin",1990,2004,1847,1906,1651,1890,1813,1704,1461,1119,Upgrade
5,Research & Development,350.05,298.05,304.86,243.48,252.56,231.78,229.57,196.13,195.72,120.9,Upgrade
6,Operating Expenses,2340,2302,2152,2149,1903,2122,2043,1900,1656,1240,Upgrade
7,Operating Income,635.23,618.65,565.69,552.18,562.45,624.94,613.84,564.97,499.56,357.54,Upgrade
8,Interest Expense,-60.98,-65.18,-45.54,-78.52,-45.75,-24.12,-17.01,-25,-17.74,-26.48,Upgrade
9,Interest & Investment Income,39.58,32.71,15.62,29.34,13.06,12.8,15.61,16.42,17.28,19.51,Upgrade
10,Earnings From Equity Investments,0.13,-0.16,-0.21,0.24,-0.9,0.9,-0.34,0.35,0.14,0.29,Upgrade
11,Other Non Operating Income (Expenses),8.73,7.69,9.02,7.8,6.57,6.94,6.61,6.39,5.79,5.37,Upgrade
12,EBT Excluding Unusual Items,622.69,593.71,544.59,511.02,535.43,621.47,618.71,563.12,505.03,356.23,Upgrade
13,Pretax Income,622.69,593.71,544.59,511.02,535.43,621.47,618.71,563.12,505.03,356.23,Upgrade
14,Income Tax Expense,51.37,43.34,44.03,35.25,36.27,43.48,43.31,39.42,35.67,24.59,Upgrade
15,Earnings From Continuing Operations,571.32,550.37,500.56,475.78,499.16,577.99,575.4,523.7,469.35,331.64,Upgrade
16,Minority Interest in Earnings,-,-,-,-,-,-,-,-0.1,-0.17,-0.07,Upgrade
17,Net Income,571.32,550.37,500.56,475.78,499.16,577.99,575.4,523.6,469.19,331.57,Upgrade
18,Net Income to Common,571.32,550.37,500.56,475.78,499.16,577.99,575.4,523.6,469.19,331.57,Upgrade
19,Net Income Growth,14.13%,15.68%,0.28%,-17.68%,-13.25%,10.39%,22.64%,57.92%,42.22%,16.34%,Upgrade
20,Shares Outstanding (Basic),1825,1827,1830,1830,1830,1830,1832,1830,1829,1828,Upgrade
21,Shares Outstanding (Diluted),1837,1836,1837,1836,1835,1837,1842,1838,1837,1834,Upgrade
22,Shares Change (YoY),0.04%,-0.01%,0.07%,-0.06%,-0.34%,-0.09%,0.28%,0.25%,0.21%,0.08%,Upgrade
23,EPS (Basic),0.31,0.30,0.27,0.26,0.27,0.32,0.31,0.29,0.26,0.18,Upgrade
24,EPS (Diluted),0.31,0.30,0.27,0.26,0.27,0.31,0.31,0.28,0.26,0.18,Upgrade
25,EPS Growth,14.13%,15.66%,0.19%,-17.64%,-12.96%,10.50%,22.33%,57.52%,41.92%,16.27%,Upgrade
26,Free Cash Flow,1301,675.03,1118,484.2,821.15,-169.03,-281.02,-566.46,603.63,96.51,Upgrade
27,Free Cash Flow Per Share,0.71,0.37,0.61,0.26,0.45,-0.09,-0.15,-0.31,0.33,0.05,Upgrade
28,Dividend Per Share,0.175,0.116,0.126,0.122,0.116,0.122,0.129,0.109,0.105,0.068,Upgrade
29,Dividend Growth,38.86%,-5.31%,8.89%,0%,-10.02%,11.79%,21.99%,60.41%,41.23%,17.79%,Upgrade
30,Operating Margin,8.69%,8.46%,8.26%,8.03%,9.04%,8.89%,9.01%,8.84%,8.91%,8.50%,Upgrade
31,Profit Margin,7.82%,7.53%,7.31%,6.92%,8.02%,8.22%,8.45%,8.19%,8.37%,7.88%,Upgrade
32,Free Cash Flow Margin,17.80%,9.23%,16.32%,7.04%,13.20%,-2.40%,-4.13%,-8.86%,10.77%,2.29%,Upgrade
33,EBITDA,886.81,855.85,641.27,754.32,641.84,794.34,679.27,695.89,539.82,493.47,Upgrade
34,D&A For EBITDA,251.58,237.2,75.58,202.14,79.39,169.4,65.42,130.92,40.26,135.94,Upgrade
35,EBIT,635.23,618.65,565.69,552.18,562.45,624.94,613.84,564.97,499.56,357.54,Upgrade
