,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,179385,187811,163469,170683,156235,159802,150168,284712,248611,202688,138801,Upgrade
1,Market Cap Growth,10.03%,10.03%,4.63%,6.81%,4.04%,-43.87%,-39.60%,40.47%,79.11%,74.28%,26.97%,Upgrade
2,Enterprise Value,184479,197528,176512,186428,173260,177753,164215,292142,248907,205076,139822,Upgrade
3,Last Close Price,97.90,102.50,88.28,91.29,82.52,83.51,77.67,145.83,126.79,102.79,70.07,Upgrade
4,PE Ratio,20.63,21.56,19.92,22.38,20.45,19.03,16.59,33.22,32.25,32.65,27.07,Upgrade
5,Forward PE,17.41,19.04,17.71,19.76,16.32,16.23,14.41,28.90,30.99,30.49,25.74,Upgrade
6,PS Ratio,1.57,1.65,1.48,1.59,1.52,1.55,1.38,2.77,2.67,2.66,2.20,Upgrade
7,PB Ratio,3.63,3.80,3.35,3.80,3.50,3.94,3.79,7.73,7.51,6.70,4.99,Upgrade
8,P/TBV Ratio,5.51,5.51,4.85,4.51,5.17,4.74,5.50,9.44,10.81,8.56,7.72,Upgrade
9,P/FCF Ratio,11.69,12.24,11.68,13.64,15.27,31.43,-,-,-,37.34,26.00,Upgrade
10,P/OCF Ratio,10.66,10.66,9.58,10.39,10.68,16.62,68.15,-361.70,-,22.55,17.74,Upgrade
11,PEG Ratio,1.12,1.18,1.69,3.36,1.62,1.04,0.75,1.20,1.58,1.57,2.50,Upgrade
12,EV/Sales Ratio,1.62,1.74,1.60,1.74,1.69,1.72,1.51,2.84,2.67,2.70,2.22,Upgrade
13,EV/EBITDA Ratio,12.39,14.59,15.10,17.10,15.84,15.87,14.20,27.24,25.94,25.60,20.55,Upgrade
14,EV/EBIT Ratio,18.94,20.28,19.09,21.35,19.84,19.20,16.89,31.78,30.11,30.86,25.39,Upgrade
15,EV/FCF Ratio,12.02,12.87,12.61,14.89,16.94,34.96,-,-,-,37.78,26.19,Upgrade
16,Debt / Equity Ratio,0.33,0.33,0.43,0.49,0.65,0.74,0.78,0.81,0.80,0.44,0.62,Upgrade
17,Debt / FCF Ratio,1.07,1.07,1.49,1.77,2.86,5.92,-,-,-,2.47,3.22,Upgrade
18,Return on Capital Employed (ROCE),15.73%,15.73%,14.84%,14.67%,14.80%,16.74%,17.93%,18.63%,18.85%,16.14%,14.54%,Upgrade
19,Earnings Yield,4.86%,4.64%,5.02%,4.47%,4.89%,5.26%,6.03%,3.01%,3.10%,3.06%,3.69%,Upgrade
20,FCF Yield,8.56%,8.17%,8.57%,7.33%,6.55%,3.18%,-2.35%,-2.32%,0.12%,2.68%,3.85%,Upgrade
21,Dividend Yield,2.41%,2.20%,2.14%,2.13%,2.26%,2.22%,2.54%,1.27%,1.32%,1.31%,1.58%,Upgrade
22,Buyback Yield / Dilution,-0.02%,-0.04%,0.01%,-0.07%,0.06%,0.34%,0.09%,-0.28%,-0.25%,-0.21%,-0.08%,Upgrade
23,Total Shareholder Return,2.40%,2.16%,2.15%,2.05%,2.32%,2.57%,2.62%,1.00%,1.07%,1.10%,1.50%,Upgrade
