,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1739,1733,1672,1756,1692,1533,1393,1407,1392,592.78,-,591.23,-,-,-
1,Cash & Short-Term Investments,-,1739,1733,1672,1756,1692,1533,1393,1407,1392,592.78,591.23,591.23,-,-,514.74
2,Cash Growth,-,2.77%,13.06%,20.01%,24.75%,21.57%,158.58%,135.62%,138.03%,-,-,14.86%,-,-,-,-
3,Accounts Receivable,-,155.56,132.99,128.34,64.47,57.09,68.68,54.45,37.34,56.9,42.73,-,59.01,-,-,-
4,Other Receivables,-,1.2,1.47,9.03,36.54,73.74,174.51,71.89,96.2,60.79,0.59,-,132.23,-,-,-
5,Receivables,-,156.76,134.46,137.37,101.02,130.83,243.19,126.34,133.54,117.69,43.32,-,191.24,-,-,-
6,Inventory,-,231.09,229.34,238.1,219.18,173.85,158.94,114.61,144.39,190.36,176.89,-,161.49,-,-,-
7,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,1.28,-,-,-,-,-
8,Other Current Assets,2373,177.03,123.78,53.59,35.66,26.76,30.8,38.1,33.92,38.3,161.95,-,63.9,-,-,-
9,Total Current Assets,2373,2304,2221,2101,2112,2024,1966,1672,1719,1738,976.21,-,1008,-,-,-
10,"Property, Plant & Equipment",-,108.71,112.66,112.74,111.13,113.34,101.95,107.85,110.43,108.39,89.4,-,83.7,-,-,-
11,Other Intangible Assets,-,9,6.84,3.98,5.16,4.43,4.55,4.87,4.35,4.94,5.4,-,6.18,-,-,-
12,Long-Term Deferred Tax Assets,-,7.61,6.96,6.6,6.11,2.84,2.8,2.89,4.9,0.68,1.45,-,1.61,-,-,-
13,Long-Term Deferred Charges,-,5.73,5.19,5.17,6.08,6.93,8.07,8.15,9.84,8.16,7.93,-,4.93,-,-,-
14,Other Long-Term Assets,201.42,1.63,1.63,1.63,1.29,1.29,1.78,208.9,214.03,239.57,217.87,-,3.61,-,-,-
15,Total Assets,2575,2437,2354,2231,2241,2153,2085,2005,2063,2100,1298,-,1108,-,-,-
16,Accounts Payable,-,223.04,174.74,174.94,97.36,160.82,75.68,91.47,72.82,108.62,77.25,-,53.67,-,-,-
17,Accrued Expenses,-,22.44,93.96,21.12,98.98,17.81,61.35,16.82,57.42,17.89,55.9,-,88.38,-,-,-
18,Short-Term Debt,-,-,-,-,-,-,-,-,50.08,50.07,50.07,-,-,-,-,-
19,Current Portion of Leases,-,2.26,2.24,1.92,1.85,1.42,0.5,1.05,2.08,2.74,2.91,-,3.11,-,-,-
