,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,10120,9711,7688,5895,5829,8164,7416,8299,9387,6801,6894,-,-,-,-,-,-
1,Market Cap Growth,18.95%,18.95%,3.67%,-28.97%,-37.91%,20.04%,7.56%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8387,7977,5960,4229,4142,6477,5883,6907,8032,5463,6356,-,-,-,-,-,-
3,Last Close Price,24.96,23.95,18.96,14.53,14.19,19.88,18.05,20.20,22.85,16.70,16.93,-,-,-,-,-,-
4,PE Ratio,36.71,35.33,33.43,35.26,43.26,72.35,154.04,265.86,112.58,-,28.99,-,-,-,-,-,-
5,Forward PE,30.25,30.95,33.12,37.50,41.91,62.87,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.80,4.62,4.12,3.81,4.42,6.75,6.86,7.89,8.20,5.68,5.40,-,-,-,-,-,-
7,PB Ratio,4.48,4.45,3.69,2.96,3.00,4.19,3.89,4.43,5.13,3.75,3.75,-,-,-,-,-,-
8,P/TBV Ratio,4.45,4.45,3.71,2.97,3.01,4.20,3.90,4.44,5.14,3.76,3.76,-,-,-,-,-,-
9,P/FCF Ratio,-,-,147.00,28.06,-,23.68,21.75,46.64,266.16,-190.77,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,72.63,21.78,-,21.19,18.54,36.13,97.28,197.18,159.22,-,-,-,-,-,-
11,EV/Sales Ratio,3.99,3.80,3.19,2.73,3.14,5.36,5.44,6.57,7.02,4.56,4.97,-,-,-,-,-,-
12,EV/EBITDA Ratio,25.05,23.71,25.91,32.64,36.41,70.26,204.83,347.05,116.85,-,24.34,-,-,-,-,-,-
13,EV/EBIT Ratio,28.83,27.42,32.30,48.76,56.64,119.42,-900.01,-620.67,197.47,-,26.31,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,113.98,20.13,-,18.78,17.25,38.82,227.74,-153.22,-,-,-,-,-,-,-
15,Debt / Equity Ratio,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.01,0.01,-,-,-
16,Debt / EBITDA Ratio,-,-,0.01,0.03,0.04,0.06,0.05,0.00,0.02,-,0.84,0.16,0.02,0.01,-,-,-
17,Debt / FCF Ratio,-,-,0.11,0.03,-,0.02,0.02,0.00,0.04,-1.47,-,-,-,0.06,-,-,-
18,Asset Turnover,0.99,1.07,0.87,0.62,0.70,0.61,0.52,0.46,0.49,0.69,-,-,-,-,-,-,
19,Inventory Turnover,-,-,8.57,6.77,4.86,6.35,6.35,6.10,5.81,5.83,5.04,-,-,-,-,-,-
20,Quick Ratio,-,-,5.46,5.20,6.38,6.51,7.52,8.46,8.84,6.24,5.82,2.44,-,3.50,-,-,-
21,Current Ratio,6.09,6.09,6.63,6.18,7.41,7.41,8.34,9.37,9.73,6.96,6.71,3.75,-,4.50,-,-,-
22,Return on Equity (ROE),15.55%,17.88%,13.93%,6.69%,7.89%,5.97%,7.78%,2.33%,-5.85%,3.14%,36.80%,25.89%,-,-,-,-,
23,Return on Assets (ROA),11.61%,11.92%,3.82%,2.83%,1.14%,1.93%,2.61%,0.79%,-6.09%,1.74%,-,-,-,-,-,-,
24,Return on Capital (ROIC),13.63%,13.98%,4.44%,3.24%,1.30%,2.17%,2.88%,0.87%,-6.75%,1.98%,18.52%,18.95%,-,-,-,-,
25,Return on Capital Employed (ROCE),13.31%,13.31%,8.83%,4.35%,3.75%,2.77%,-0.34%,-0.59%,2.22%,-,13.12%,32.73%,-,45.93%,-,-,-
26,Earnings Yield,2.72%,2.83%,2.99%,2.84%,2.31%,1.38%,0.65%,0.38%,0.89%,1.91%,3.45%,-,-,-,-,-,-
27,FCF Yield,-,0.68%,3.56%,4.55%,4.22%,4.60%,2.14%,0.38%,-0.52%,-0.22%,-,-,-,-,-,-,
28,Dividend Yield,0.21%,-,-,-,-,0.28%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,33.17%,-,-,-,-,4.73%,-,-,0.72%,0.08%,-,-,-,-
30,Buyback Yield / Dilution,3.27%,7.76%,-4.55%,18.68%,-14.76%,-8.39%,-9.22%,-33.54%,0.60%,-5.94%,-0.46%,-1.25%,2.35%,-,-,-,-
31,Total Shareholder Return,3.48%,7.76%,-4.55%,18.68%,-14.76%,-8.10%,-9.22%,-33.54%,0.60%,-5.94%,-0.46%,-1.25%,2.35%,-,-,-,-
