,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,618.12,642.79,495.77,345.29,369.24,325.62,264.32,236.39,250.13,294.18,359.01,289.94,334.48,325.99,278.28,227.62
1,Other Revenue,-,-1.75,1.75,-,13.32,-1.76,1.76,-,5.05,-,-,-,0,-,-,-
2,Revenue,618.12,641.04,497.52,345.29,382.56,323.86,266.08,236.39,255.18,294.18,359.01,289.94,334.49,325.99,278.28,227.62
3,Revenue Growth (YoY),61.58%,97.94%,86.98%,46.07%,49.92%,10.09%,-25.89%,-18.47%,-23.71%,-9.76%,29.01%,27.38%,-,-,-,-
4,Cost of Revenue,644.51,493.03,395.81,277.72,312.1,264.13,208.62,188.12,243.97,231.2,239.44,173.04,176.99,161.11,119.61,103.8
5,Gross Profit,-26.38,148.01,101.71,67.57,70.45,59.73,57.45,48.26,11.21,62.98,119.57,116.91,157.49,164.87,158.67,123.82
6,"Selling, General & Admin",-51.74,19.76,18.04,13.94,12.73,10.54,10.33,9.97,16.36,15.62,13.32,15.13,16.82,18.15,13.75,12.46
7,Research & Development,-124.59,45.84,40.29,38.47,42.66,34.99,34.33,31.84,43.81,36.74,34.5,34.57,39.83,43.74,25.25,23.77
8,Other Operating Expenses,33.23,-31.27,8.36,-10.32,5.02,-2.2,-8.18,-0.29,1.78,-0.92,0.65,0.12,10.33,-7.96,0.18,0.22
9,Operating Expenses,-142.79,33.82,66.72,42.26,60.42,43.33,36.08,41.84,61.95,51.17,46.39,49.75,68.1,54.86,39.34,36.56
10,Operating Income,116.41,114.19,34.99,25.31,10.04,16.4,21.37,6.43,-50.74,11.81,73.18,67.16,89.39,110.02,119.33,87.26
11,Interest Expense,-37.53,-,-12.04,-,-0.55,-,-8.09,-,-2.59,-,-2.04,-,-0.09,-0.04,-0.07,-0.06
12,Interest & Investment Income,-,37.63,-,11.93,49.37,31.24,-,7.6,16.34,0.84,-,1.2,2.19,2.18,2.68,2.62
13,Currency Exchange Gain (Loss),-,-1.63,1.63,-,-0.89,2.46,-2.46,-,11.19,-7.98,7.98,-,-2.75,1.6,0.3,-0.8
14,Other Non Operating Income (Expenses),0.85,-25.33,25.07,0.26,-31.22,-21.62,21.62,-,-14.74,9.91,4.55,0,1.28,-1.49,-0.04,-0.06
15,EBT Excluding Unusual Items,79.73,124.87,49.65,37.5,26.74,28.48,32.44,14.03,-40.54,14.58,83.66,68.36,90.03,112.27,122.21,88.95
16,Gain (Loss) on Sale of Assets,-,0,-0,-,0.02,-0.02,-0.06,0.02,-0.18,-,-,-,0.01,-0.01,-,0
17,Asset Writedown,8.49,-8.49,1.56,-1.56,0.78,-0.78,0.8,-0.8,2.63,-2.63,1.6,-1.6,0.79,-0.79,-,-
18,Other Unusual Items,-0.65,-19.18,19.84,-,14.16,-0.01,-,-,4.48,-,-,-,7.26,-7.82,7.67,3.91
