,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,98.16,129.05,127.19,138.5,145.79,217.02,237.51,246.79,238.64,183.43,Upgrade
1,Trading Asset Securities,13.03,12.96,40.28,7.44,10.23,7.99,6.8,16.84,7.83,17.1,Upgrade
2,Cash & Short-Term Investments,111.19,142,167.47,145.94,156.02,225.01,244.32,263.63,246.47,200.53,Upgrade
3,Cash Growth,-33.60%,-2.70%,7.34%,-35.14%,-36.14%,-14.65%,-0.87%,31.47%,23.11%,-4.91%,Upgrade
4,Accounts Receivable,288.31,273.08,285.09,339.27,387.24,402.01,398.47,420.8,498.4,431.8,Upgrade
5,Other Receivables,1.9,0.2,11.67,10.81,9.63,7.65,-,-,-,0.01,Upgrade
6,Receivables,402.58,338.87,374.67,405.18,458.07,487.34,475.14,491.47,571.9,504.76,Upgrade
7,Other Current Assets,84.74,82.51,120.2,96.29,108.07,73.88,88.92,61.75,63.99,60.73,Upgrade
8,Total Current Assets,598.51,563.38,662.34,647.41,722.15,786.22,808.37,816.86,882.35,766.03,Upgrade
9,"Property, Plant & Equipment",7.92,39.85,45.02,53.63,59.09,52.91,50.96,59.02,63.65,71.34,Upgrade
10,Long-Term Investments,-,-,12.34,14.15,16.71,19.96,23.89,-,-,-,Upgrade
11,Goodwill,1,1,1,1,1,5,18.7,76.7,76.7,76.7,Upgrade
12,Other Intangible Assets,5.53,5.53,16.8,16.8,16.8,21.5,21.5,21.5,21.5,21.5,Upgrade
13,Long-Term Accounts Receivable,-,-,0.96,2.37,5.33,11.54,16.53,29.9,46.73,65.01,Upgrade
14,Long-Term Deferred Tax Assets,22.06,21.69,19.13,17.5,15.51,14.2,12.1,9.01,6.05,-,Upgrade
15,Other Long-Term Assets,74.02,37.27,37.68,40.13,40.82,88.87,74.05,54.77,47.96,43.53,Upgrade
16,Total Assets,771.66,767.56,893.36,916.1,932.42,1019,1026,1068,1145,1044,Upgrade
17,Accounts Payable,17.21,13.91,52.75,33.11,22.15,34.92,28.35,44.99,56.31,35.22,Upgrade
18,Accrued Expenses,23.88,8.49,13.58,15.8,18.58,18.22,23.52,28.62,10.61,27.24,Upgrade
19,Short-Term Debt,-,0.07,1.59,1.54,1.2,1.21,1.26,0.76,0.54,2.29,Upgrade
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,7.88,7.88,0.08,Upgrade
21,Current Portion of Leases,5.42,10.71,10.44,10.56,10.3,4.31,4.83,11.06,13.05,13.45,Upgrade
22,Current Income Taxes Payable,10.41,9.35,7.5,8.1,8.08,7.54,9.49,9.61,13.56,12.73,Upgrade
23,Current Unearned Revenue,-,-,-,-,-,-,-,0.04,0.4,0.89,Upgrade
24,Other Current Liabilities,-,-,0.23,0.24,14.77,0.26,21.61,8.81,96.6,0.23,Upgrade
25,Total Current Liabilities,56.92,42.52,86.09,69.35,75.07,66.46,89.06,111.78,198.94,92.13,Upgrade
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,7.8,Upgrade
27,Long-Term Leases,-,-,5.42,10.32,15.48,8.9,-,-,4.07,10.33,Upgrade
28,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,0.04,Upgrade
29,Long-Term Deferred Tax Liabilities,1.27,1.25,3.3,3.34,4.61,4.75,5.44,5.41,5.37,5.28,Upgrade
30,Other Long-Term Liabilities,-,-,-,-,-,14.21,14.54,26.59,25.89,33.3,Upgrade
31,Total Liabilities,58.19,43.78,94.81,83.01,95.17,94.32,109.03,143.77,234.26,148.88,Upgrade
32,Common Stock,82.41,82.41,82.41,82.41,82.41,82.41,82.41,82.41,82.41,82.41,Upgrade
33,Additional Paid-In Capital,-,1035,1035,1035,1035,1035,1035,1035,1035,1035,Upgrade
34,Retained Earnings,-,-328.47,-236.64,-241.04,-214.9,-199.27,-189.68,-172.43,-163.28,-149.26,Upgrade
35,Comprehensive Income & Other,631.06,-65.08,-70.09,-30.37,-52.83,20.06,3.23,-8.01,-31.52,-61.18,Upgrade
36,Total Common Equity,713.48,723.79,810.61,845.92,849.61,938.13,930.89,936.9,922.53,906.9,Upgrade
37,Minority Interest,-,-,-12.06,-12.83,-12.36,-13.8,-13.83,-12.93,-11.85,-11.68,Upgrade
38,Shareholders' Equity,713.48,723.79,798.55,833.1,837.25,924.34,917.06,923.98,910.68,895.23,Upgrade
39,Total Liabilities & Equity,771.66,767.56,893.36,916.1,932.42,1019,1026,1068,1145,1044,Upgrade
40,Total Debt,5.42,10.78,17.45,22.42,26.98,14.42,6.09,19.7,25.53,33.95,Upgrade
41,Net Cash (Debt),105.77,131.23,150.02,123.52,129.04,210.59,238.23,243.94,220.94,166.58,Upgrade
42,Net Cash Growth,-29.49%,6.24%,16.25%,-41.34%,-45.83%,-13.67%,7.82%,46.43%,30.89%,-19.27%,Upgrade
43,Net Cash Per Share,0.03,0.03,0.04,0.03,0.03,0.05,0.06,0.06,0.05,-,Upgrade
44,Filing Date Shares Outstanding,4121,4121,4121,4121,4121,4121,4121,4121,4121,4121,Upgrade
45,Total Common Shares Outstanding,4121,4121,4121,4121,4121,4121,4121,4121,4121,4121,Upgrade
46,Working Capital,541.59,520.85,576.24,578.06,647.08,719.76,719.31,705.08,683.41,673.9,Upgrade
47,Book Value Per Share,0.17,0.18,0.20,0.21,0.21,0.23,0.23,0.23,0.22,0.22,Upgrade
48,Tangible Book Value,706.95,717.26,792.81,828.12,831.81,911.64,890.69,838.71,824.33,808.71,Upgrade
49,Tangible Book Value Per Share,0.17,0.17,0.19,0.20,0.20,0.22,0.22,0.20,0.20,0.20,Upgrade
50,Machinery,-,21.71,-,20.93,-,21.23,-,20.07,-,17.68,Upgrade
51,Leasehold Improvements,-,14.23,-,14.45,-,14.78,-,14.59,-,13.3,Upgrade
