,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,74,72,150,270,354,150,198,270,255,495,415
1,Market Cap Growth,-73.33%,-73.33%,-57.63%,80.00%,79.24%,-44.44%,-22.55%,-45.45%,-38.55%,0%,-31.97%
2,Enterprise Value,294,285,453,627,992,769,975,1077,1167,1475,1359
3,Last Close Price,0.12,0.12,0.25,0.45,0.59,0.30,0.40,0.54,0.51,0.99,0.83
4,PE Ratio,1.05,1.02,1.51,1.15,2.03,-2.83,-,-,-,-1.00,-
5,PS Ratio,0.23,0.22,0.48,0.76,1.04,0.43,0.61,0.74,0.67,1.14,0.82
6,PB Ratio,0.18,0.18,0.40,0.71,1.14,1.12,1.58,1.27,1.05,1.62,1.42
7,P/TBV Ratio,0.18,0.18,0.40,0.73,1.17,1.19,1.68,1.32,1.17,1.98,1.75
8,P/FCF Ratio,-,-,4.09,-,5.54,1.93,3.39,6.69,2.42,3.61,4.55
9,P/OCF Ratio,-,-,1.45,3.93,3.79,1.43,2.54,6.35,2.37,3.48,4.13
10,EV/Sales Ratio,0.92,0.89,1.44,1.78,2.91,2.19,3.04,2.94,3.08,3.41,2.68
11,EV/EBITDA Ratio,2.71,3.00,6.06,13.10,18.17,15.02,19.23,43.45,-,54.83,-
12,EV/EBIT Ratio,3.58,3.58,8.35,22.63,27.98,21.32,36.71,611.70,-,268.90,-
13,EV/FCF Ratio,-,-,12.36,-,15.54,9.88,16.75,26.68,11.10,10.75,14.91
14,Debt / Equity Ratio,0.91,0.91,1.04,1.27,1.76,6.13,6.71,4.53,4.49,4.11,4.01
15,Debt / FCF Ratio,-,-,10.70,-,8.52,10.54,14.39,23.94,10.38,9.18,12.82
16,Return on Capital Employed (ROCE),10.94%,10.60%,7.35%,3.33%,4.31%,3.98%,2.90%,0.16%,-,0.37%,-
17,Earnings Yield,95.16%,98.33%,66.14%,87.15%,49.30%,-35.40%,-38.63%,-23.40%,-15.83%,-99.60%,-110.22%
18,FCF Yield,-,24.43%,-8.83%,18.04%,51.87%,29.47%,14.95%,41.25%,27.71%,21.97%,
19,Buyback Yield / Dilution,-5.63%,-,-11.94%,-20.00%,-7.20%,-,-,-,-,-,-
20,Total Shareholder Return,-5.63%,-,-11.94%,-20.00%,-7.20%,-,-,-,-,-,-
