,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,99.93,67.35,128.59,124.98,130.83,99.61,101.78,212.08,205.82,240.8,54.1,53.31,-,-,-
1,Trading Asset Securities,37.85,17.06,13.61,64.24,15.39,59.34,105.7,-,43.58,9.31,-,-,-,-,-
2,Cash & Short-Term Investments,137.78,84.41,142.2,189.22,146.22,158.95,207.48,212.08,249.4,250.11,54.1,53.31,-,-,88.31
3,Cash Growth,-5.77%,-46.90%,-31.46%,-10.78%,-41.37%,-36.45%,283.53%,297.84%,-,-,-38.74%,-,-,-,-
4,Accounts Receivable,903.5,940.31,852.74,930.31,696.47,563.53,513.34,563.62,466.19,427.26,404.52,401.58,-,-,-
5,Other Receivables,24.8,28,22.27,28.99,27.61,23.75,16.75,14.01,17.02,17.99,18.06,12.56,-,-,-
6,Receivables,928.3,968.31,875.01,959.3,724.07,587.28,530.09,577.64,483.21,445.24,422.58,414.14,-,-,-
7,Inventory,439.38,373.91,335.09,281.98,372.1,277.08,261.2,242.05,251.69,237.21,178.17,168,-,-,-
8,Prepaid Expenses,-,0.08,-,0.02,-,0.2,-,0.07,-,2.31,-,0.23,-,-,-
9,Other Current Assets,17.29,13.99,9.77,8.12,19.69,17.64,21.16,12.02,24.58,36.04,39.1,10.35,-,-,-
10,Total Current Assets,1523,1441,1362,1439,1262,1041,1020,1044,1009,970.91,693.94,646.03,-,-,-
11,"Property, Plant & Equipment",367.02,311.77,293.15,285.68,267.68,255.28,205.73,202.22,185.91,176.36,164.91,139.96,-,-,-
12,Goodwill,-,-,-,-,-,-,-,-,1.3,1.3,-,-,-,-,-
13,Other Intangible Assets,117.43,116.01,41.34,39.79,38.22,38.68,39.15,39.61,39.24,38.62,38.09,38.16,-,-,-
14,Long-Term Deferred Tax Assets,4.66,5.02,3.44,3.94,3.14,7.35,5.85,9.09,5.82,5.87,5.91,7.26,-,-,-
15,Long-Term Deferred Charges,0.22,0.26,0.29,0.33,-,-,-,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,8.21,13.8,14.34,10.46,17.92,22.75,57.25,59.49,13.42,15.8,11.91,15.18,-,-,-
17,Total Assets,2020,1888,1715,1779,1589,1365,1328,1354,1255,1209,914.75,846.59,-,-,-
18,Accounts Payable,367.67,281.26,283.25,364.63,347.7,228.16,217.27,251.56,160.95,179.35,193.02,196.52,-,-,-
19,Accrued Expenses,67.01,79.7,52.09,96.14,55.11,59.46,41.43,60.06,44.18,43.46,35.29,51.59,-,-,-
20,Short-Term Debt,379.54,386.06,275.18,231.78,170.48,121.77,124.79,139.46,157.64,109.11,62.17,33.34,-,-,-
21,Current Portion of Long-Term Debt,45.74,34.71,35.57,8.99,11.69,2.66,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,3.11,-,2.8,-,1.98,-,1.1,-,-,-,-,-,-,-
23,Current Income Taxes Payable,14.01,0,18.23,7.07,17.33,-,8.78,0.17,9.61,0.13,13.07,3.78,-,-,-
24,Current Unearned Revenue,61.14,48.49,48.36,39.24,40.26,35.22,33.12,22.9,31.37,35.94,23.64,16.55,-,-,-
25,Other Current Liabilities,27.59,43.28,13.46,38.96,16.07,30,12.75,31.76,43.9,24.34,8.46,19.39,-,-,-
26,Total Current Liabilities,962.7,876.62,726.14,789.61,658.64,479.26,438.14,507.01,447.66,392.33,335.65,321.17,-,-,-
