,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3778,3683,4243,4027,3838,3222,3626,3203,2734,3022,3776,-,-,-,-,-
1,Market Cap Growth,14.30%,14.30%,17.03%,25.72%,40.37%,6.62%,-3.98%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4119,4052,4435,4110,3922,3228,3575,3115,2646,2886,3830,-,-,-,-,-
3,Last Close Price,23.61,23.02,26.52,25.17,23.99,20.14,22.66,19.88,16.97,18.57,23.20,-,-,-,-,-
4,PE Ratio,31.05,30.29,31.59,30.50,31.60,35.44,45.82,42.63,29.96,31.64,46.30,-,-,-,-,-
5,Forward PE,24.59,28.85,28.85,27.81,28.22,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.31,2.25,2.54,2.61,2.54,2.55,3.20,3.02,2.67,3.17,4.28,-,-,-,-,-
7,PB Ratio,3.81,3.67,4.36,4.21,4.12,3.69,4.33,3.79,3.29,3.76,4.65,-,-,-,-,-
8,P/TBV Ratio,4.21,4.21,4.97,4.42,4.31,3.87,4.55,3.98,3.45,3.96,4.89,-,-,-,-,-
9,P/FCF Ratio,-,-15.24,-,-,-,-,-,-,-16.07,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-60.03,-,-,-55.18,-,-,-74.56,-34.67,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.52,2.48,2.65,2.66,2.60,2.55,3.15,2.94,2.58,3.02,4.34,-,-,-,-,-
12,EV/EBITDA Ratio,23.37,23.54,24.64,23.87,24.94,31.10,42.34,38.40,28.67,31.41,49.81,-,-,-,-,-
13,EV/EBIT Ratio,27.18,26.68,27.54,26.45,27.66,36.00,50.11,44.67,32.29,34.96,56.39,-,-,-,-,-
14,EV/FCF Ratio,-17.04,-16.76,-,-,-,-,-,-,-15.55,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.46,0.46,0.46,0.35,0.31,0.26,0.19,0.19,0.17,0.20,0.14,0.20,0.11,-,-,0.04
16,Debt / EBITDA Ratio,2.65,3.05,4.01,2.42,0.93,1.23,2.22,2.04,1.59,1.50,1.92,0.89,0.59,-,-,0.29
17,Debt / FCF Ratio,-,-1.93,-,-,-,-,-,-,-0.84,-,-,-,-0.92,-,-,-
18,Asset Turnover,0.78,0.93,0.57,1.39,1.13,0.87,0.64,1.04,0.94,0.82,0.82,-,-,-,-,
19,Inventory Turnover,3.11,2.92,3.74,2.44,5.44,3.94,3.50,2.69,4.37,3.61,3.32,3.34,-,-,-,-
20,Quick Ratio,1.11,1.11,1.20,1.40,1.45,1.32,1.56,1.68,1.56,1.64,1.77,1.42,1.46,-,-,-
21,Current Ratio,1.58,1.58,1.64,1.88,1.82,1.92,2.17,2.33,2.06,2.25,2.47,2.07,2.01,-,-,-
22,Return on Equity (ROE),9.09%,6.93%,9.79%,26.16%,16.54%,6.90%,5.95%,13.94%,11.66%,6.27%,22.08%,-,-,-,-,
23,Return on Assets (ROA),4.31%,2.58%,4.24%,10.39%,7.25%,2.41%,2.98%,3.42%,4.98%,2.67%,8.00%,-,-,-,-,
24,Return on Capital (ROIC),5.82%,3.43%,5.91%,15.08%,10.21%,3.24%,4.04%,4.60%,6.49%,3.62%,11.75%,-,-,-,-,
25,Return on Capital Employed (ROCE),14.33%,14.36%,15.93%,15.72%,14.33%,9.64%,8.05%,7.84%,9.67%,10.23%,8.32%,14.47%,12.98%,-,-,-
26,Earnings Yield,3.22%,3.30%,3.17%,3.28%,3.16%,2.82%,2.18%,2.35%,3.34%,3.16%,2.16%,-,-,-,-,-
27,FCF Yield,-6.40%,-6.56%,-7.99%,-5.01%,-3.87%,-3.80%,-1.94%,-4.04%,-6.22%,-2.41%,-2.52%,-,-,-,-,-
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,2.06%,-,0.86%,-,-,-,-,-
29,Payout Ratio,7.67%,13.93%,14.93%,8.40%,2.92%,3.52%,171.90%,8.60%,119.77%,4.65%,8.00%,2.08%,4.17%,12.13%,3.44%,4.87%
30,Buyback Yield / Dilution,0.71%,0.15%,2.07%,-2.13%,2.40%,-2.73%,-21.99%,-31.23%,-37.14%,-29.60%,-8.29%,-2.61%,-,-,-,-
31,Total Shareholder Return,0.71%,0.15%,2.07%,-2.13%,2.40%,-2.73%,-21.99%,-31.23%,-35.08%,-29.60%,-7.43%,-2.61%,-,-,-,-
