,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,390.24,409.01,250.76,568.57,424.62,285.39,215.42,325.3,294.38,210.58,180.96,268.53,221.34,212.71,168.48
1,Other Revenue,-8.2,8.2,-,16.14,-6.46,6.46,-,13.29,-6.26,6.26,-,-,-5.63,5.63,-
2,Revenue,382.03,417.22,250.76,584.71,418.16,291.85,215.42,338.58,288.12,216.84,180.96,268.53,215.7,218.34,168.48
3,Revenue Growth (YoY),-8.64%,42.95%,16.40%,72.69%,45.14%,34.59%,19.04%,26.09%,33.57%,-0.69%,7.41%,-,-,-,-
4,Cost of Revenue,297.02,331.3,188.08,444.95,319.35,235.47,169.17,269.98,220.86,172.47,144.72,220.97,162.2,164.45,128.64
5,Gross Profit,85.02,85.91,62.69,139.76,98.81,56.39,46.26,68.6,67.25,44.37,36.24,47.55,53.5,53.89,39.84
6,"Selling, General & Admin",38.32,43,26.37,39.47,31.02,25.9,19.74,29.04,23.25,19.43,15.67,15.43,18.7,18.12,14.7
7,Research & Development,15.38,16.03,12.16,21.31,12.89,11.66,12.04,10.05,14.6,9.75,5.25,9.57,11.04,9.29,6.89
8,Other Operating Expenses,-5.44,0.11,-0.54,-4.54,1.33,1.03,0.78,3.85,0.71,0.4,-2.26,3.81,0.16,-0.8,0.05
9,Operating Expenses,51.32,67.32,33.07,69.78,55.95,43.43,30.28,50.74,42.7,33.03,8.05,29.09,43.58,26.68,27.25
10,Operating Income,33.69,18.59,29.62,69.98,42.86,12.96,15.97,17.86,24.55,11.34,28.19,18.47,9.92,27.22,12.59
11,Interest Expense,-3.44,-2.55,-1.99,-1.85,-1.28,-1.13,-1.07,-1.44,-1.13,-0.89,-0.66,-1.21,-1.22,-0.96,-0.51
12,Interest & Investment Income,0.23,0.28,0.8,0.66,0.69,1.02,0.62,1.27,1.35,0.29,0.23,0.16,0.17,0.12,0.29
13,Currency Exchange Gain (Loss),-0.04,0.04,-,-0.01,0,-0,-,-0,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),0.63,-0.41,-0.44,-1.52,0.85,-0.71,-0.22,-7.78,1.54,-0.27,5.19,-2.44,0.56,2.23,0.24
15,EBT Excluding Unusual Items,31.07,15.95,27.99,67.26,43.14,12.14,15.3,9.9,26.32,10.48,32.95,14.97,9.42,28.6,12.61
16,Gain (Loss) on Sale of Investments,0.04,0.05,-0.05,0.05,-0.04,-0.05,0.1,-0.15,0.13,0.01,-,-0,-0.03,0.03,-
17,Gain (Loss) on Sale of Assets,0.11,-0.11,0,0.21,-0.09,-,-,0.07,-0.07,-0,0.08,-0.2,-0,-0.03,-0
18,Asset Writedown,-6.52,2.84,-2.84,-0.66,-3.39,0.86,-0.86,1.22,-1.25,0.15,-0.15,1.38,-1.39,1.15,-1.15
19,Other Unusual Items,-0.76,0.76,-,0.16,-0.12,0.12,-,11.5,0.06,-0.06,-,20.6,1.41,-1.41,-
20,Pretax Income,23.94,19.49,25.09,67.02,39.49,13.07,14.55,22.54,25.19,10.59,32.87,36.75,9.41,28.34,11.45
21,Income Tax Expense,1.49,2.78,1.99,7.96,4.11,-1.44,2.07,-5.95,1.64,0.04,4.21,3.99,-0.16,2.74,0.98
22,Earnings From Continuing Operations,22.45,16.71,23.1,59.06,35.39,14.51,12.48,28.5,23.55,10.55,28.66,32.77,9.58,25.6,10.47
23,Minority Interest in Earnings,0.18,0.12,0.01,-0.02,-0.03,0.03,0.06,-,-,-,-,-,-,-,-
24,Net Income,22.63,16.83,23.11,59.03,35.36,14.54,12.54,28.5,23.55,10.55,28.66,32.77,9.58,25.6,10.47
25,Net Income to Common,22.63,16.83,23.11,59.03,35.36,14.54,12.54,28.5,23.55,10.55,28.66,32.77,9.58,25.6,10.47
26,Net Income Growth,-36.02%,15.72%,84.34%,107.17%,50.17%,37.77%,-56.26%,-13.03%,145.94%,-58.78%,173.63%,-,-,-,-
27,Shares Outstanding (Basic),160,160,160,160,160,163,157,164,156,134,119,120,120,124,116
28,Shares Outstanding (Diluted),160,160,160,160,160,163,157,164,156,134,119,120,120,124,116
29,Shares Change (YoY),-0.15%,-2.07%,2.13%,-2.40%,2.73%,21.99%,31.23%,37.14%,29.60%,8.29%,2.61%,-,-,-,-
30,EPS (Basic),0.14,0.11,0.14,0.37,0.22,0.09,0.08,0.17,0.15,0.08,0.24,0.27,0.08,0.21,0.09
31,EPS (Diluted),0.14,0.11,0.14,0.37,0.22,0.09,0.08,0.17,0.15,0.08,0.24,0.27,0.08,0.21,0.09
32,EPS Growth,-35.92%,18.17%,80.50%,112.26%,46.18%,12.93%,-66.67%,-36.59%,89.77%,-61.93%,166.67%,-,-,-,-
33,Free Cash Flow,14.14,-161.1,-73.17,-21.6,-83.13,-23.95,-20,4.69,-31.13,-82.92,-60.75,101.95,-53.3,-19.86,-87.3
34,Free Cash Flow Per Share,0.09,-1.01,-0.46,-0.13,-0.52,-0.15,-0.13,0.03,-0.20,-0.62,-0.51,0.85,-0.44,-0.16,-0.75
35,Dividend Per Share,-,-,-,-,-,-,-,0.150,-,0.200,-,-,-,-,-
36,Gross Margin,22.25%,20.59%,25.00%,23.90%,23.63%,19.32%,21.47%,20.26%,23.34%,20.46%,20.03%,17.71%,24.80%,24.68%,23.65%
