,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5534,5604,5106,6678,7614,8988,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-37.66%,-37.66%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6007,6376,5921,7781,8718,10742,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,11.85,12.00,10.75,14.03,16.00,18.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,34.50,34.45,33.85,43.04,49.48,73.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,0.78,0.78,0.70,0.90,1.02,1.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.26,2.23,2.04,2.61,2.99,3.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.40,2.40,2.23,2.83,3.26,3.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,6.02,6.09,13.66,12.78,13.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,5.39,5.39,9.58,10.05,10.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.83,0.89,0.81,1.05,1.17,1.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,17.56,21.69,19.30,23.11,23.92,31.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,23.57,24.37,21.63,25.40,26.16,34.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,6.53,6.93,15.84,14.90,15.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.51,0.51,0.52,0.59,0.54,0.65,1.32,1.54,1.74,-,-,1.68,1.68,1.68,1.69,1.69,1.71,1.71,1.84,1.84
15,Debt / EBITDA Ratio,3.75,4.53,3.38,6.22,2.18,4.84,4.40,6.90,5.09,-,-,5.78,5.86,5.23,5.60,5.60,4.69,4.69,8.30,8.30
16,Debt / FCF Ratio,1.40,1.40,3.46,2.89,2.44,-,6.29,6.40,-,-,-,17.42,-,-,67.31,-17.94,-,-,-,-
17,Asset Turnover,1.04,1.10,0.97,0.95,1.02,1.15,0.96,-,-,-,-,0.60,0.60,1.16,1.19,1.31,1.37,0.97,-,
18,Inventory Turnover,2.35,2.44,2.62,2.30,2.26,2.29,2.54,2.10,-,-,-,-,1.08,1.11,2.46,2.45,2.63,2.65,1.81,-
19,Quick Ratio,0.69,0.69,0.64,0.66,0.64,0.67,0.55,0.52,0.54,-,-,-,0.52,0.52,0.55,0.55,0.53,0.53,0.47,0.47
20,Current Ratio,1.45,1.45,1.44,1.44,1.44,1.44,1.22,1.20,1.20,-,-,-,1.21,1.21,1.22,1.22,1.22,1.22,1.22,1.22
21,Return on Equity (ROE),5.54%,6.78%,3.52%,11.02%,5.63%,10.80%,7.33%,-,-,-,9.17%,15.38%,15.92%,9.87%,10.14%,18.48%,19.43%,6.67%,-,
22,Return on Assets (ROA),2.28%,1.95%,1.89%,3.09%,2.55%,2.98%,2.74%,-,-,-,-,3.45%,3.70%,3.27%,3.35%,4.47%,4.66%,2.58%,-,
23,Return on Capital (ROIC),4.19%,3.50%,3.34%,5.56%,4.79%,5.62%,4.85%,-,-,-,5.21%,5.93%,6.51%,5.88%,6.02%,8.05%,8.28%,4.52%,-,
24,Return on Capital Employed (ROCE),9.37%,9.62%,10.10%,11.25%,12.33%,11.26%,17.92%,17.87%,18.50%,-,-,-,24.28%,25.60%,28.63%,26.71%,26.49%,17.84%,10.23%,5.11%
25,Earnings Yield,2.94%,2.90%,2.95%,2.32%,2.02%,1.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,16.62%,16.41%,7.32%,7.82%,7.39%,1.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.99%,-,-,-,0.74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,102.33%,158.93%,68.88%,72.33%,101.12%,-,68.58%,115.87%,100.28%,71.60%,105.87%,127.14%,69.85%,69.85%,111.08%,111.08%,53.24%,53.24%,164.46%,164.46%
29,Buyback Yield / Dilution,-13.19%,-9.67%,-13.40%,-22.28%,-8.44%,-18.39%,-10.49%,10.85%,-9.50%,10.79%,-1.06%,-5.22%,-3.76%,-3.76%,1.90%,1.90%,-,-,-,-
30,Total Shareholder Return,-12.19%,-9.67%,-13.40%,-22.28%,-7.70%,-18.39%,-10.49%,10.85%,-9.50%,10.79%,-1.06%,-5.22%,-3.76%,-3.76%,1.90%,1.90%,-,-,-,-
