,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1842,1923,1714,1685,1905,2089,1768,1434,1887,1476,1530,989.06,989.06,1918,1918,2036,2036,1411,1411
1,Other Revenue,-21.91,21.91,-,36.81,-19.39,19.39,-,32.6,-12.23,4.59,7.63,16.45,16.45,-,-,32.24,32.24,-,-
2,Revenue,1821,1945,1714,1722,1885,2108,1768,1467,1875,1481,1537,1006,1006,1918,1918,2069,2069,1411,1411
3,Revenue Growth (YoY),-3.45%,-7.76%,-3.00%,17.39%,0.56%,42.36%,14.98%,45.88%,86.47%,-22.80%,-19.86%,-51.39%,-51.39%,35.95%,35.95%,-,-,-,-
4,Cost of Revenue,1623,1756,1534,1559,1653,1858,1555,1271,1638,1283,1343,796.81,796.81,1725,1725,1861,1861,1264,1264
5,Gross Profit,197.9,188.94,180.3,162.74,232.35,249.54,212.24,196.06,236.73,197.32,193.73,208.7,208.7,193.58,193.58,207.79,207.79,146.57,146.57
6,"Selling, General & Admin",131.17,117.48,121.56,108.5,140.43,149.45,114.79,113.42,123.23,106.96,98.92,99.81,99.81,93.41,93.41,89.63,89.63,78.34,78.34
7,Research & Development,2.32,2.54,2.46,4.25,2.97,2.68,2.99,3.61,3.2,2.89,2.72,2.65,2.65,2.63,2.63,2.23,2.23,1.85,1.85
8,Other Operating Expenses,4.96,5.61,4.44,6.62,-1.73,3.46,4.11,15.74,-1.4,1.3,3.82,5.43,5.43,4.17,4.17,-0.8,-0.8,1.26,1.26
9,Operating Expenses,134.28,133.8,126.85,73.29,156.68,161.8,131.85,130.07,137.01,122.44,112.01,115.76,109.93,107.2,107.2,95.06,95.06,86.82,86.82
10,Operating Income,63.61,55.14,53.45,89.45,75.67,87.74,80.39,65.99,99.72,74.88,81.72,92.94,98.76,86.37,86.37,112.73,112.73,59.75,59.75
11,Interest Expense,-15.23,-15.84,-17.89,-14.74,-20.17,-25.17,-28.09,-29.56,-27.48,-30.15,-32.13,-32.77,-32.77,-31.71,-31.71,-29.2,-29.2,-30.36,-30.36
12,Interest & Investment Income,1.7,1.56,1.28,1.32,1.82,1.05,1.43,1.05,0.83,0.69,0.61,0.62,0.62,0.81,0.81,0.82,0.82,0.4,0.4
13,Currency Exchange Gain (Loss),0.07,-0.07,-,-0.1,0.09,-0.09,-,-0.28,-0.06,0.06,-,0.09,0.09,-,-,-0.27,-0.27,-0.1,-0.1
