,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2015,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,-,4976,4268,5826,403.96,414.11,632.76,737.61,1005,104.39,93.03,-,154.22,66.73,66.73
1,Trading Asset Securities,-,-,1633,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,4976,4976,5901,5826,403.96,414.11,632.76,737.61,1005,104.39,93.03,154.22,154.22,66.73,66.73
3,Cash Growth,1131.92%,1101.74%,832.52%,689.82%,-59.79%,296.67%,580.20%,378.28%,551.49%,56.44%,39.41%,-,-,-,-
4,Accounts Receivable,-,93.5,92.56,126.22,137.85,134.55,229.92,219.15,267.92,185.78,155.51,-,134.95,109.55,109.55
5,Other Receivables,-,23.72,59.56,10.14,3.9,3.67,3.95,3.33,5.14,3.88,1.35,-,2.95,7.77,7.77
6,Receivables,-,117.22,152.12,136.36,141.75,138.23,233.87,222.49,273.06,189.66,156.86,-,137.9,117.32,117.32
7,Inventory,-,164.88,154.18,152.89,140.91,136.29,132.96,121.6,101.33,89.63,91.75,-,82.33,49.94,49.94
8,Other Current Assets,-,882.93,171.18,105.16,89.2,67.68,59.19,48.04,47.22,36.65,33.36,-,49.36,8.5,8.5
9,Total Current Assets,-,6142,6378,6220,775.82,756.3,1059,1130,1426,420.34,374.99,-,423.81,242.5,242.5
10,"Property, Plant & Equipment",-,546.67,544.93,535.8,534.79,481.35,440.21,431.28,420.26,420.25,421.55,-,404.98,278.07,278.07
11,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0.05
12,Other Intangible Assets,-,26.94,27.26,27.63,28,28.37,28.75,29.14,29.53,29.93,30.33,-,31.16,33.79,33.79
13,Long-Term Deferred Tax Assets,-,222.08,222.95,78.13,76.18,106.04,97.24,92.04,83.23,81.57,73.46,-,65.8,2.71,2.71
14,Long-Term Deferred Charges,-,3.8,3.55,2.12,1.82,9.43,2.24,2.67,1.79,1.7,1.54,-,1.16,97.76,97.76
15,Other Long-Term Assets,-,19.14,8.87,7.45,8.5,29.5,37.33,41.49,30.28,28.14,21.85,-,24.54,24.76,24.76
16,Total Assets,-,6960,7186,6871,1425,1411,1665,1726,1991,981.93,923.73,-,951.46,679.64,679.64
17,Accounts Payable,-,387.11,176.24,333.05,160.17,296.96,196.58,229.65,128.85,93.9,113.9,-,45.96,39.66,39.66
18,Accrued Expenses,-,53.6,278.81,26.88,257.88,34.4,242.38,22.22,244.81,178.52,124.93,-,139.81,22.62,22.62
19,Short-Term Debt,-,650.71,670.73,375.45,275.12,168.02,178.04,135.34,155.13,146.39,196.25,-,161.23,186.98,186.98
20,Current Portion of Long-Term Debt,-,271.68,271.53,303.44,174.37,-,-,96.03,30.47,24,-,-,0.02,77.16,77.16
21,Current Portion of Leases,-,-,33.64,-,46.13,-,59.93,-,68.82,66.42,65.12,-,24.23,3.15,3.15
22,Current Income Taxes Payable,-,222.88,255.22,76.24,0.01,3.15,-,10.07,4.96,2.13,2.01,-,1.54,2.25,2.25
23,Current Unearned Revenue,-,350.37,357.92,358.37,8.67,7.98,4.75,7.68,17.42,5.03,5.23,-,10.78,-,-
24,Other Current Liabilities,-,131.98,106.05,142.42,131.48,293.14,79.27,156.7,86.74,83.33,60.83,-,87.75,39.64,39.64
25,Total Current Liabilities,-,2068,2150,1616,1054,803.65,760.94,657.68,737.2,599.71,568.26,-,471.32,371.45,371.45
26,Long-Term Debt,-,613.83,169.9,69.91,183.92,154.96,244.94,247.95,239.96,205.98,50,-,50,15,15
27,Long-Term Leases,-,14.29,15.75,3.41,8.65,9.83,28.72,29.72,52.95,58.39,84.21,-,51.42,5.63,5.63
28,Long-Term Unearned Revenue,-,11.59,11.99,15.23,15.63,14.11,12.75,13.07,13.29,12.66,12.85,-,31.04,3.86,3.86
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.07,0.07,-,0.08,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,10.23,9.36,11.33,11.19,11.94,14.18,14.1,14.05,13.21,13.5,-,15.81,-,-
31,Total Liabilities,-,2718,2357,1716,1273,994.56,1062,962.52,1058,889.95,728.82,-,619.61,395.94,395.94
32,Common Stock,-,401,401,401,401,401,401,401,401,360.9,360.9,-,360.9,105,105
33,Additional Paid-In Capital,-,867.76,861.2,858.69,858.69,858.6,858.6,858.55,858.55,14.22,14.2,-,14.17,-,-
34,Retained Earnings,-,2956,3557,3896,-1109,-843.55,-656.76,-495.19,-328.45,-288.78,-183.68,-,-45.98,178.68,178.68
35,Comprehensive Income & Other,-,16.72,8.98,-0.32,1.13,0.38,0.13,-0.52,2.79,5.64,3.49,-,2.76,0.01,0.01
36,Shareholders' Equity,4242,4242,4829,5156,151.87,416.43,602.97,763.84,933.89,91.99,194.91,331.85,331.85,283.69,283.69
37,Total Liabilities & Equity,-,6960,7186,6871,1425,1411,1665,1726,1991,981.93,923.73,-,951.46,679.64,679.64
38,Total Debt,1550,1550,1162,752.21,688.19,332.8,511.62,509.04,547.33,501.19,395.57,286.91,286.91,287.92,287.92
39,Net Cash (Debt),3426,3426,4739,5074,-284.23,81.3,121.14,228.57,457.41,-396.79,-302.54,-132.69,-132.69,-221.19,-221.19
40,Net Cash Growth,-,4113.92%,3811.98%,2119.74%,-,-,-,-,-,-,-,-,-,-,-
41,Net Cash Per Share,9.07,8.54,11.83,12.65,-0.72,0.20,0.30,0.58,1.27,-1.09,-0.81,-0.38,-0.38,-2.15,-2.15
42,Filing Date Shares Outstanding,377.78,401,401,401,401,401,401,401,401,360.9,360.9,350.64,360.9,105,105
43,Total Common Shares Outstanding,377.78,401,401,401,401,401,401,401,401,360.9,360.9,350.64,360.9,105,105
44,Working Capital,-,4073,4228,4604,-278.01,-47.35,297.85,472.06,689.14,-179.37,-193.26,-,-47.51,-128.96,-128.96
45,Book Value Per Share,10.58,10.58,12.04,12.86,0.38,1.04,1.50,1.90,2.33,0.25,0.54,0.92,0.92,2.70,2.70
