,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,83933,76884,78484,72741,50354,56100,38496,29016,26221,-,-,-,-,-,-,-
1,Market Cap Growth,37.05%,37.05%,103.87%,150.69%,92.03%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,80507,73458,73745,67668,50272,56019,38375,28788,26618,-,-,-,-,-,-,-
3,Last Close Price,209.31,191.73,195.72,181.40,125.57,139.90,96.00,72.36,65.39,-,-,-,-,-,-,-
4,PE Ratio,22.95,-,-,-,11.47,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,14.20,13.20,13.42,12.53,8.53,99.84,64.09,40.89,37.17,-,-,-,-,-,-,-
6,PB Ratio,19.79,18.12,18.50,15.06,9.77,369.39,92.44,48.12,34.33,-,-,-,-,-,-,-
7,P/TBV Ratio,18.24,18.24,18.62,15.15,9.82,452.87,99.20,50.53,35.69,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,10.30,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,10.17,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,13.83,12.62,12.61,11.66,8.52,99.70,63.89,40.57,37.74,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,19.87,-,-,-,11.15,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,20.16,-,-,-,11.30,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,10.28,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.37,0.37,0.37,0.24,0.15,4.53,0.80,0.85,0.67,0.59,5.45,2.03,0.86,0.86,1.01,1.01
15,Debt / EBITDA Ratio,0.38,-,-,-,0.04,-,-,-,-,-,-,-,-,-,3.77,3.77
16,Debt / FCF Ratio,-,-,-,-,0.15,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,-,0.06,0.05,5.27,0.52,0.17,0.44,0.27,0.60,0.74,-,-,-,0.62,-,
18,Inventory Turnover,-,-,1.38,1.61,1.60,2.80,0.80,2.25,1.68,3.62,2.75,-,-,-,3.17,-
19,Quick Ratio,-,-,2.46,2.82,3.69,0.52,0.69,1.14,1.46,1.73,0.49,0.44,-,0.62,0.50,0.50
20,Current Ratio,-,-,2.97,2.97,3.85,0.74,0.94,1.39,1.72,1.93,0.70,0.66,-,0.90,0.65,0.65
21,Return on Equity (ROE),-43.54%,-53.00%,-27.15%,754.43%,-373.59%,-146.59%,-94.52%,-78.61%,-30.86%,-293.08%,-139.90%,-54.94%,-,8.70%,-,
22,Return on Assets (ROA),-,-14.18%,-12.87%,305.55%,-48.68%,-28.67%,-24.73%,-22.25%,-16.81%,-26.68%,-,-,-,4.15%,-,
23,Return on Capital (ROIC),-13.51%,-17.02%,-15.20%,375.67%,-86.87%,-47.30%,-35.13%,-30.03%,-24.10%,-42.95%,-38.14%,-14.53%,-,4.94%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,84.67%,-,-,-,-,-,-,-,-,-,7.33%,3.66%
25,Earnings Yield,4.29%,4.69%,4.84%,5.79%,8.72%,-1.39%,-1.44%,-1.63%,-1.54%,-,-,-,-,-,-,-
26,FCF Yield,-,5.47%,6.42%,9.71%,-1.24%,-1.48%,-1.66%,-1.51%,-,-,-,-,-,-,-,
27,Payout Ratio,0.00%,-,-,-,0.12%,-,-,-,-,-,-,-,-,-,80.87%,80.87%
28,Buyback Yield / Dilution,1.28%,4.06%,1.35%,0.70%,-0.97%,-9.10%,-12.15%,-7.88%,-13.28%,-4.38%,-252.58%,-263.90%,-,-,-,-
29,Total Shareholder Return,1.28%,4.06%,1.35%,0.70%,-0.97%,-9.10%,-12.15%,-7.88%,-13.28%,-4.38%,-252.58%,-263.90%,-,-,-,-
