,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5112,5145,4067,3850,3870,4601,4627,5537,5316,4953,5017
1,Market Cap Growth,33.61%,33.61%,5.10%,-16.32%,-16.37%,-16.89%,-12.96%,11.79%,5.97%,8.03%,39.82%
2,Enterprise Value,5613,5713,4965,4957,5605,5933,5836,5513,5304,4139,3975
3,Last Close Price,8.02,7.93,6.07,5.74,5.59,6.64,6.50,7.77,7.31,6.82,6.72
4,PE Ratio,3.14,3.15,3.57,6.34,8.69,20.73,13.64,7.87,7.40,9.33,9.35
5,Forward PE,3.79,5.55,4.91,2.30,4.03,6.95,5.64,5.49,5.78,7.79,7.09
6,PS Ratio,0.43,0.44,0.37,0.42,0.42,0.50,0.50,0.64,0.71,0.81,0.80
7,PB Ratio,0.78,0.79,0.68,0.75,0.77,0.96,0.96,1.18,1.18,1.26,1.31
8,P/TBV Ratio,0.80,0.80,0.69,0.76,0.78,0.97,0.98,1.20,1.20,1.28,1.33
9,P/FCF Ratio,8.87,8.93,6.53,4.14,15.07,-,-,-,-7.77,-,-
10,P/OCF Ratio,4.35,4.35,3.70,2.58,4.25,-,9.86,-,6.89,7.71,6.90
11,EV/Sales Ratio,0.48,0.48,0.45,0.55,0.61,0.64,0.63,0.64,0.71,0.68,0.64
12,EV/EBITDA Ratio,2.38,2.43,2.72,4.39,6.92,11.31,9.26,5.23,4.88,5.30,5.13
13,EV/EBIT Ratio,3.08,3.14,3.78,7.79,15.06,36.65,20.41,7.19,6.28,7.17,7.01
14,EV/FCF Ratio,9.74,9.91,7.97,5.33,21.83,-,-,-,-7.75,-,-
15,Debt / Equity Ratio,0.15,0.15,0.23,0.37,0.50,0.60,0.49,0.40,0.18,0.19,0.11
16,Debt / FCF Ratio,1.68,1.68,2.20,2.07,9.78,-,-,-,-1.21,-,-
17,Return on Capital Employed (ROCE),25.66%,25.66%,20.16%,10.97%,5.50%,2.33%,4.14%,12.47%,15.84%,13.14%,14.46%
18,Earnings Yield,31.90%,31.70%,27.99%,15.78%,11.50%,4.82%,7.33%,12.71%,13.51%,10.72%,10.70%
19,FCF Yield,11.27%,11.20%,15.31%,24.15%,6.64%,-11.31%,-26.38%,-19.18%,-12.88%,-18.32%,-15.48%
20,Dividend Yield,3.74%,1.89%,-,-,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,-0.02%,-0.04%,-,-,0.12%,0.01%,-0.02%,-0.17%,-0.23%,-0.06%,-13.06%
22,Total Shareholder Return,3.72%,1.85%,-,-,0.12%,0.01%,-0.02%,-0.17%,-0.23%,-0.06%,-13.06%
