,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,428.96,547.92,836.88,982.04,798.34,728.81,512.29,563.17,606.51,914.5
1,Trading Asset Securities,3.78,178.36,115.68,261.07,169.61,107.16,48.61,153.48,102.72,180.89
2,Cash & Short-Term Investments,432.75,726.28,952.57,1243,967.95,835.97,560.9,716.64,709.23,1095
3,Cash Growth,-54.57%,-41.58%,-1.59%,48.70%,72.57%,16.65%,-20.91%,-34.58%,-44.71%,-41.83%
4,Accounts Receivable,2510,2104,1718,1439,1923,1463,1773,1546,1594,1033
5,Other Receivables,11.33,32.26,27.73,41.67,44.29,30.47,59.38,20.7,9.18,13.83
6,Receivables,2521,2137,1746,1481,1967,1493,1832,1567,1603,1047
7,Inventory,1807,1799,1341,1368,1541,1541,1451,1028,720.58,805.53
8,Prepaid Expenses,13.42,12.49,12.63,5.7,-,-,-,-,47.75,-
9,Restricted Cash,145.18,178.04,152.34,190.65,120.97,125.68,147.72,55.78,50.52,123.91
10,Other Current Assets,259.65,268.05,213.58,199.1,243.47,172.51,202.67,78.26,53.33,82.46
11,Total Current Assets,5180,5120,4418,4487,4840,4169,4194,3446,3185,3154
12,"Property, Plant & Equipment",5343,5380,5508,5379,5372,4773,4596,3977,3178,2575
13,Long-Term Investments,36.25,6.24,5.93,5.93,6.05,6.01,6.8,6.31,6.23,6.23
14,Goodwill,-,43.44,-,43.44,-,43.44,-,43.44,-,43.44
15,Other Intangible Assets,86.34,41.44,84.97,42.31,74.73,29.92,58.44,8.64,52.35,5.51
16,Long-Term Deferred Tax Assets,3.98,3.66,3.68,19.51,-,-,-,-,-,-
17,Other Long-Term Assets,5.69,7.02,7.05,8.86,20.87,79.07,53.45,8.47,7.28,44.11
18,Total Assets,10655,10602,10028,9986,10313,9100,8909,7490,6428,5828
19,Accounts Payable,2288,2392,2001,2002,2039,1976,1997,1436,1161,1216
20,Accrued Expenses,639.79,619.66,519.74,484.82,576.9,519.49,499.62,546.2,430.12,358.1
21,Short-Term Debt,372.82,129.3,129.3,397,502.92,179.2,470.89,94.19,371.16,357
22,Current Portion of Long-Term Debt,125.51,749.63,1187,365.9,205.85,118.56,-,-,-,-
23,Current Portion of Leases,12.59,12.16,8.54,12.4,11.95,9.78,9.75,9.21,5.82,8.81
24,Current Income Taxes Payable,62.5,56.68,23.18,22.89,-,29.04,25.87,76.04,46.88,17.85
25,Current Unearned Revenue,45.12,48.22,60.77,49.32,44.23,59.29,41.76,86.31,46.14,49.33
26,Other Current Liabilities,507.63,679.35,726.54,662.4,1013,578.17,749.19,756.22,361.9,315.29
27,Total Current Liabilities,4054,4687,4657,3997,4394,3469,3795,3004,2423,2322
28,Long-Term Debt,370.43,332.41,455.05,1440,1717,1600,1067,570.97,320.29,-
29,Long-Term Leases,17.72,18.67,3.79,5.99,11.42,13.15,18.02,21.81,0.46,1.87
30,Long-Term Unearned Revenue,79.23,84.12,88.99,76.05,76.22,59.85,54.04,55.22,47.38,42.1
31,Long-Term Deferred Tax Liabilities,54.37,46.12,46.66,14.93,8.78,37.62,65.88,57.77,50.26,47.95
32,Total Liabilities,4576,5169,5251,5534,6208,5180,5000,3710,2842,2414
33,Common Stock,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
34,Additional Paid-In Capital,2188,2186,2186,2186,2186,2186,2184,2180,2172,2172
35,Retained Earnings,3869,3231,2525,2312,2077,2027,1997,1858,1518,1372
36,Comprehensive Income & Other,21.59,16.6,66.34,-46.02,-157.45,-292.75,-272.47,-258.86,-104.64,-130.1
37,Total Common Equity,6079,5434,4777,4452,4105,3920,3909,3780,3586,3414
38,Minority Interest,-0.11,-0.11,-0.16,-0.16,-0.18,-0.2,0.61,0.62,0.76,0.39
39,Shareholders' Equity,6079,5434,4777,4452,4105,3920,3909,3780,3586,3414
40,Total Liabilities & Equity,10655,10602,10028,9986,10313,9100,8909,7490,6428,5828
41,Total Debt,899.07,1242,1784,2222,2449,1921,1566,696.17,697.72,367.68
42,Net Cash (Debt),-466.32,-515.9,-831.58,-978.56,-1481,-1085,-1005,20.47,11.51,727.7
43,Net Cash Growth,-,-,-,-,-,-,-,-97.19%,-98.74%,-52.42%
44,Net Cash Per Share,-0.73,-0.81,-1.31,-1.54,-2.33,-1.70,-1.58,0.03,0.02,1.15
45,Filing Date Shares Outstanding,636.72,636.44,636.44,636.44,636.44,636.44,636.43,635.86,635.38,635
46,Total Common Shares Outstanding,636.72,636.44,636.44,636.44,636.44,636.44,636.43,635.86,635,635
47,Working Capital,1125,432.94,-238.34,490.58,445.46,699.27,399.68,442.08,761.09,832.24
48,Book Value Per Share,9.55,8.54,7.51,7.00,6.45,6.16,6.14,5.94,5.65,5.38
49,Tangible Book Value,5993,5349,4692,4366,4031,3847,3850,3728,3533,3365
50,Tangible Book Value Per Share,9.41,8.40,7.37,6.86,6.33,6.04,6.05,5.86,5.56,5.30
51,Land,-,1852,-,1608,-,1214,-,1125,-,693.01
52,Machinery,-,6800,-,5744,-,4590,-,3887,-,3044
53,Construction In Progress,-,162.96,-,1008,-,1600,-,1339,-,1021
