,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,264,160,194,144,132,156,168,182,144,134,154
1,Market Cap Growth,11.11%,11.11%,46.97%,-7.69%,-21.43%,-14.29%,16.67%,35.82%,-6.49%,-15.19%,-
2,Enterprise Value,53,-84,-29,-97,-70,-67,-47,-32,-55,-39,5
3,Last Close Price,0.66,0.40,0.45,0.34,0.30,0.35,0.37,0.40,0.30,0.28,0.33
4,PE Ratio,-,-53.00,-,-43.17,-,13.24,9.89,6.57,5.30,4.74,5.08
5,PS Ratio,0.92,0.56,0.73,0.59,0.54,0.56,0.60,0.59,0.50,0.48,0.56
6,PB Ratio,0.79,0.48,0.57,0.41,0.37,0.43,0.46,0.51,0.41,0.41,0.48
7,P/TBV Ratio,0.48,0.48,0.57,0.41,0.38,0.44,0.46,0.52,0.41,0.41,0.48
8,P/FCF Ratio,138.44,-,14.14,-,3.43,-,7.10,8.87,4.11,2.46,4.93
9,P/OCF Ratio,72.30,-,13.18,-,3.23,-,6.40,8.69,4.08,2.45,4.59
10,EV/Sales Ratio,0.19,-,-,-,-,-,-,-,-,-,0.02
11,EV/EBITDA Ratio,2.77,-,-,-,-,-,-,-,-,-,0.14
12,EV/EBIT Ratio,5.23,-,-,-,-,-,-,-,-,-,0.15
13,EV/FCF Ratio,27.80,-,-,-,-,-,-,-,-,-,0.17
14,Debt / Equity Ratio,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02
15,Debt / FCF Ratio,6.00,-,0.38,-,0.25,-,0.23,0.41,0.21,0.10,0.23
16,Return on Capital Employed (ROCE),2.98%,2.98%,2.79%,1.71%,-,5.82%,5.87%,6.79%,7.28%,12.07%,11.24%
17,Earnings Yield,-1.14%,-1.89%,-1.68%,-2.32%,-2.45%,7.56%,10.11%,15.22%,18.88%,21.08%,19.68%
18,FCF Yield,0.72%,1.19%,7.07%,26.37%,29.12%,2.12%,14.08%,11.27%,24.35%,40.66%,20.30%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.01%,-1.40%,-33.35%,
20,Total Shareholder Return,2.05%,-,-,-,-,-,-,-,0.01%,-1.40%,-33.35%
