,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,189,287,238,267,247,305,371,464,522,459,386,Upgrade
1,Market Cap Growth,7.61%,7.61%,-3.53%,-12.38%,-33.59%,-34.38%,-28.89%,1.27%,35.34%,-12.22%,-30.37%,Upgrade
2,Enterprise Value,109,201,-7,20,-10,429,412,662,787,838,800,Upgrade
3,Last Close Price,0.07,0.10,0.08,0.09,0.09,0.10,0.13,0.16,0.18,0.16,0.13,Upgrade
4,PE Ratio,-,-,-,-,-,-,-26.31,-,-,1.27,2.19,Upgrade
5,PS Ratio,-0.84,-0.84,-0.87,-1.51,-0.40,-0.82,57.76,-1.66,10.63,1.15,1.80,Upgrade
6,PB Ratio,0.19,0.28,0.21,0.20,0.18,0.21,0.20,0.27,0.28,0.23,0.21,Upgrade
7,P/TBV Ratio,0.28,0.28,0.21,0.20,0.18,0.21,0.20,0.27,0.28,0.23,0.21,Upgrade
8,P/FCF Ratio,6.91,-,4.64,36.44,1.69,2.22,-,-,1.53,-,-,Upgrade
9,P/OCF Ratio,6.91,-,4.64,36.44,1.69,2.22,-,-,1.53,-,-,Upgrade
10,EV/Sales Ratio,-,-,-,-,-,-,64.00,-,-,2.11,3.73,Upgrade
11,EV/EBIT Ratio,-,-,-,-,-,-,-35.47,-,-,2.20,4.08,Upgrade
12,EV/FCF Ratio,4.83,-,-,2.68,-,3.12,-,-,2.31,-,-,Upgrade
13,Debt / Equity Ratio,-,-,-,-,-,-,0.21,0.23,0.21,0.31,0.30,Upgrade
14,Debt / FCF Ratio,-,-,-,-,-,-,-,-,1.14,-,-,Upgrade
15,Return on Capital Employed (ROCE),-,-,-,-,-,-,-0.63%,-,-,16.00%,10.91%,Upgrade
16,Earnings Yield,-155.84%,-102.32%,-91.56%,-62.40%,-191.17%,-78.46%,-3.80%,-57.12%,10.18%,78.52%,45.61%,Upgrade
17,FCF Yield,14.48%,14.48%,21.55%,2.74%,59.30%,45.12%,-3.24%,73.98%,65.33%,-4.50%,-4.89%,Upgrade
