,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,4062,3684,3764,-,4594,3582,2803,3009,3813,2727,2714,3097,2867,3381,3104,2689,2998,3027,2086,2667,Upgrade
1,Other Revenue,-152.57,152.57,-,-,-153.86,153.86,-,307.8,-110.8,110.8,-,378.79,-190.83,190.83,-,314.34,-143.82,143.82,-,541.64,Upgrade
2,Revenue,3909,3836,3764,-,4440,3736,2803,3317,3702,2837,2714,3476,2676,3572,3104,3003,2854,3171,2086,3209,Upgrade
3,Revenue Growth (YoY),-11.95%,2.69%,34.28%,-,19.91%,31.67%,3.29%,-4.59%,38.36%,-20.57%,-12.56%,15.76%,-6.23%,12.67%,48.79%,-6.41%,25.63%,41.72%,-11.09%,48.27%,Upgrade
4,Cost of Revenue,3391,3400,3357,-,3986,3359,2571,3023,3329,2664,2564,3253,2288,3211,2771,2897,2362,2686,1832,2844,Upgrade
5,Gross Profit,517.94,436.29,407.1,-,453.2,376.85,232.36,293.28,373.8,173.3,150.19,222.99,387.89,361.17,333.11,106.52,491.49,484.98,253.58,364.41,Upgrade
6,"Selling, General & Admin",302.28,233.31,238.73,-,276.83,181.78,189.64,157.21,243.77,125.94,173.55,77.45,241.27,205.97,236.51,65.08,322.15,228.33,175.17,150.42,Upgrade
7,Research & Development,141.19,141.04,128.37,-,125.5,169.74,120.33,122.32,116.62,110.52,93.87,153.49,78.39,82.24,65.89,89.59,58.51,50.38,43.81,61.84,Upgrade
8,Other Operating Expenses,-104.27,15.04,13,-,-3.76,-7.33,-9.22,13.87,15.26,-7.4,-6.34,64.31,1,-6.74,2.34,61.33,2.48,6.13,-4.47,58.58,Upgrade
9,Operating Expenses,341.65,390,381.34,-,398.01,345.21,300.95,297.15,376.07,230.33,261.83,295.48,318.8,279.82,304.85,211.23,372.75,303.08,212.24,280.05,Upgrade
10,Operating Income,176.29,46.29,25.77,-,55.19,31.64,-68.59,-3.87,-2.28,-57.03,-111.64,-72.5,69.1,81.35,28.26,-104.72,118.74,181.9,41.35,84.36,Upgrade
11,Interest Expense,-5.98,-6.15,-6.62,-,-7.37,-8.46,-6.41,-12.78,-4.84,-3.9,-3.53,-3.91,-3.32,-3.21,-3.29,-4.93,-2.08,-2.88,-3.03,-3.51,Upgrade
12,Interest & Investment Income,113.52,130.64,140.78,-,143.29,131.94,133.52,193.03,179.66,120.02,101.75,152.98,86.75,135.3,194,206.18,164.63,173.24,88.35,168.38,Upgrade
13,Currency Exchange Gain (Loss),0.8,-0.8,-,-,-2.5,2.5,-,1.76,0.34,-0.34,-,0.9,-0.38,0.38,-,-0.23,0.68,-0.68,-,-2.74,Upgrade
14,Other Non Operating Income (Expenses),-2.06,-1.44,-2.04,-,2.12,-2.16,0.57,13.25,-3.24,-5.48,-8.22,-88.04,-2.07,78.45,-2.02,1.16,-1.87,1.82,-3.23,-1.92,Upgrade
15,EBT Excluding Unusual Items,282.56,168.54,157.88,-,190.72,155.46,59.1,191.39,169.65,53.26,-21.64,-10.57,150.07,292.27,216.94,97.47,280.1,353.39,123.44,244.57,Upgrade
16,Gain (Loss) on Sale of Investments,5.65,0.16,-,-,-0.9,1.44,-,-1.72,-0.03,0.44,1.1,-0.36,0.48,0.07,-0.11,0.31,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Assets,0.43,-0.05,0.39,-,0.06,3.87,4.48,0.53,5.56,-0.18,1.05,-0.16,0.99,-0.42,-,0.55,-0.21,-0,-,-0.2,Upgrade
18,Asset Writedown,0.74,-0.12,0.12,-,0.52,-0.13,0.13,-0.55,-0.4,-1.08,1.08,17.5,-19.28,5.4,-5.4,-3.77,-0.79,-0.13,0.13,-3.87,Upgrade
19,Other Unusual Items,-78.2,30.4,49.23,-,-0.18,0.18,-,27.05,30.15,1.94,-,198.54,-0.03,0.03,-,77.61,1.47,-1.47,-,62.09,Upgrade
20,Pretax Income,211.18,198.93,207.62,-,190.22,160.82,63.71,216.7,204.93,54.39,-18.4,204.95,132.23,297.35,211.43,172.17,280.57,351.79,123.57,302.6,Upgrade
21,Income Tax Expense,8.61,-2.25,7.89,-,-6.7,12.1,-5.93,0.83,-4.21,1.23,-9.11,37.86,7.51,17.82,4.42,-21.89,6.45,22.61,12.47,28.46,Upgrade
22,Earnings From Continuing Operations,202.57,201.18,199.73,-,196.91,148.72,69.65,215.88,209.14,53.16,-9.29,167.09,124.72,279.53,207.01,194.06,274.11,329.18,111.11,274.14,Upgrade
23,Minority Interest in Earnings,-75.42,-47.25,-36.88,-,-38.41,-6.91,12.22,-6.04,-30.39,35.56,33.15,30.01,22.51,-1.65,12.21,13.03,-15.61,-12.32,7.76,-0.27,Upgrade
24,Net Income,127.15,153.92,162.85,-,158.51,141.81,81.87,209.83,178.75,88.72,23.86,197.11,147.23,277.89,219.22,207.09,258.5,316.87,118.86,273.86,Upgrade
25,Net Income to Common,127.15,153.92,162.85,-,158.51,141.81,81.87,209.83,178.75,88.72,23.86,197.11,147.23,277.89,219.22,207.09,258.5,316.87,118.86,273.86,Upgrade
26,Net Income Growth,-19.78%,8.54%,98.92%,-,-11.32%,59.83%,243.12%,6.46%,21.41%,-68.07%,-89.12%,-4.82%,-43.04%,-12.30%,84.43%,-24.38%,33.68%,43.94%,-41.62%,24.19%,Upgrade
27,Shares Outstanding (Basic),1720,1630,1809,-,1721,1801,1637,1753,1722,1052,2386,1788,1741,1797,1686,1708,1741,1786,1698,1697,Upgrade
28,Shares Outstanding (Diluted),1720,1630,1809,-,1721,1801,1637,1753,1722,1052,2386,1788,1741,1797,1686,1708,1741,1786,1698,1697,Upgrade
29,Shares Change (YoY),-0.06%,-9.50%,10.51%,-,-0.01%,71.27%,-31.38%,-1.93%,-1.10%,-41.49%,41.50%,4.65%,0.01%,0.61%,-0.69%,0.66%,-3.78%,-1.41%,-6.18%,-3.83%,Upgrade
30,EPS (Basic),0.07,0.09,0.09,-,0.09,0.08,0.05,0.12,0.10,0.08,0.01,0.11,0.08,0.15,0.13,0.12,0.15,0.18,0.07,0.16,Upgrade
31,EPS (Diluted),0.07,0.09,0.09,-,0.09,0.08,0.05,0.12,0.10,0.08,0.01,0.11,0.08,0.15,0.13,0.12,0.15,0.18,0.07,0.16,Upgrade
32,EPS Growth,-19.74%,19.94%,80.00%,-,-11.31%,-6.68%,400.00%,8.55%,22.75%,-45.44%,-92.31%,-9.05%,-43.05%,-12.83%,85.71%,-24.88%,38.93%,46.00%,-37.78%,29.14%,Upgrade
33,Free Cash Flow,-291.36,281.54,-677.1,-,-91.75,344.63,-719.85,349,-179.69,-2.12,-456.98,1330,68.24,-313.38,93.65,156.84,-258.32,27.83,40.86,246.57,Upgrade
34,Free Cash Flow Per Share,-0.17,0.17,-0.37,-,-0.05,0.19,-0.44,0.20,-0.10,-0.00,-0.19,0.74,0.04,-0.17,0.06,0.09,-0.15,0.02,0.02,0.15,Upgrade
35,Dividend Per Share,-,-,-,-,-,-,-,0.250,-,-,-,0.300,-,-,-,0.300,-,-,-,0.170,Upgrade
36,Dividend Growth,-,-,-,-,-,-,-,-16.67%,-,-,-,0%,-,-,-,76.47%,-,-,-,13.33%,Upgrade
37,Gross Margin,13.25%,11.37%,10.81%,-,10.21%,10.09%,8.29%,8.84%,10.10%,6.11%,5.53%,6.41%,14.50%,10.11%,10.73%,3.55%,17.22%,15.30%,12.16%,11.36%,Upgrade
38,Operating Margin,4.51%,1.21%,0.68%,-,1.24%,0.85%,-2.45%,-0.12%,-0.06%,-2.01%,-4.11%,-2.09%,2.58%,2.28%,0.91%,-3.49%,4.16%,5.74%,1.98%,2.63%,Upgrade
39,Profit Margin,3.25%,4.01%,4.33%,-,3.57%,3.80%,2.92%,6.33%,4.83%,3.13%,0.88%,5.67%,5.50%,7.78%,7.06%,6.90%,9.06%,9.99%,5.70%,8.54%,Upgrade
40,Free Cash Flow Margin,-7.45%,7.34%,-17.99%,-,-2.07%,9.22%,-25.68%,10.52%,-4.85%,-0.07%,-16.84%,38.26%,2.55%,-8.77%,3.02%,5.22%,-9.05%,0.88%,1.96%,7.68%,Upgrade
41,EBITDA,282.5,158.67,131.98,-,163.9,140.69,40.12,104.84,89.85,48.83,-19.51,19.63,153.09,172.35,112.26,-20.72,192.62,262.15,115.22,158.24,Upgrade
42,EBITDA Margin,7.23%,4.14%,3.51%,-,3.69%,3.77%,1.43%,3.16%,2.43%,1.72%,-0.72%,0.56%,5.72%,4.82%,3.62%,-0.69%,6.75%,8.27%,5.52%,4.93%,Upgrade
43,D&A For EBITDA,106.21,112.38,106.21,-,108.71,109.05,108.71,108.71,92.13,105.86,92.13,92.13,84,91,84,84,73.88,80.25,73.88,73.88,Upgrade
44,EBIT,176.29,46.29,25.77,-,55.19,31.64,-68.59,-3.87,-2.28,-57.03,-111.64,-72.5,69.1,81.35,28.26,-104.72,118.74,181.9,41.35,84.36,Upgrade
45,EBIT Margin,4.51%,1.21%,0.68%,-,1.24%,0.85%,-2.45%,-0.12%,-0.06%,-2.01%,-4.11%,-2.09%,2.58%,2.28%,0.91%,-3.49%,4.16%,5.74%,1.98%,2.63%,Upgrade
46,Effective Tax Rate,4.08%,-,3.80%,-,-,7.53%,-,0.38%,-,2.26%,-,18.47%,5.68%,5.99%,2.09%,-,2.30%,6.43%,10.09%,9.41%,Upgrade
47,Revenue as Reported,3909,3836,3764,-,4440,3736,2803,3317,3702,2837,2714,3476,2676,3572,3104,3003,2854,3171,2086,3209,Upgrade
