,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,1168,1532,1268,-,-,1566,1507,2293,1634,1815,2087,2731,1206,1314,1586,1559,1184,1369,1395,1403,Upgrade
1,Trading Asset Securities,170.6,186.4,165.59,-,-,210.26,229.44,198.82,230.54,200.57,290.13,124.03,224.39,98.9,213.83,253.94,175,111,146,145,Upgrade
2,Cash & Short-Term Investments,1339,1718,1434,-,-,1776,1736,2492,1864,2015,2377,2856,1430,1413,1800,1813,1359,1480,1541,1548,Upgrade
3,Cash Growth,-,-3.27%,-17.41%,-,-,-11.87%,-26.96%,-12.74%,30.35%,42.60%,32.09%,57.48%,5.21%,-4.50%,16.77%,17.17%,23.71%,23.71%,19.90%,-2.66%,Upgrade
4,Accounts Receivable,5228,4815,4945,-,-,3350,3143,2903,3610,2877,2951,3144,4375,5059,4515,4321,4553,4209,3486,3781,Upgrade
5,Other Receivables,71.93,146.23,71.59,-,-,393.24,174.29,224.78,252.17,233.48,153.67,220.51,214.46,451.27,451.66,534.66,306.59,325.17,351.69,457.35,Upgrade
6,Receivables,5300,4961,5017,-,-,3743,3317,3127,3862,3111,3105,3364,4590,5511,4966,4855,4860,4534,3838,4238,Upgrade
7,Inventory,1377,1344,1322,-,-,1576,1438,1339,1321,1243,1278,1143,1032,1165,1029,1041,829.02,722.71,848.01,936.39,Upgrade
8,Prepaid Expenses,-,0.13,-,-,-,6.07,-,6.16,-,5.04,-,21.26,-,0.23,-,4.47,-,3.41,-,1.76,Upgrade
9,Other Current Assets,231.66,173.45,265.3,-,-,156.3,243.03,175.25,174.89,148.72,249.69,126.56,237.92,158.42,216.26,131.07,157.74,100.95,163.15,76.49,Upgrade
10,Total Current Assets,8247,8196,8038,-,-,7258,6734,7139,7222,6522,7009,7510,7290,8248,8011,7845,7206,6841,6390,6800,Upgrade
11,"Property, Plant & Equipment",3700,3672,3624,-,-,3438,3391,3417,3355,3342,3387,3407,3193,3136,2992,2872,2709,2710,2699,2705,Upgrade
12,Long-Term Investments,3567,3453,3745,-,-,3384,3591,3467,3430,2891,2878,2783,2649,2515,2669,2483,2568,2528,2486,2402,Upgrade
13,Goodwill,10.42,10.42,10.42,-,-,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,10.42,Upgrade
14,Other Intangible Assets,566.16,575.37,583.62,-,-,618.58,632.49,645.35,649.8,655.7,669.69,684.92,694.71,703.03,666.29,678.83,647.03,457.7,460.04,466.95,Upgrade
15,Long-Term Accounts Receivable,2.26,2.44,3.28,-,-,10.19,-,12.13,-,14.65,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Long-Term Deferred Tax Assets,351.58,344.15,322.08,-,-,248.9,243.86,254.46,238.43,225.07,216.66,198.1,240.35,235.03,222.39,213.22,171.84,157.75,156.02,156.76,Upgrade
17,Long-Term Deferred Charges,60.96,169.12,64.68,-,-,111.58,76,117.14,81.68,119.22,83.69,120.18,86.23,88.48,86.1,81.59,91.92,163.98,149.29,133.18,Upgrade
18,Other Long-Term Assets,360.73,225.43,343.34,-,-,230.6,268.55,217.11,269.28,199.68,216.69,146.54,314.59,312.21,373.9,277.67,306.48,279.02,242.79,245.81,Upgrade
19,Total Assets,16866,16649,16735,-,-,15310,14947,15280,15256,13980,14472,14861,14478,15247,15031,14461,13711,13148,12593,12921,Upgrade
20,Accounts Payable,5522,5381,5230,-,-,4675,4089,4371,4464,3920,3915,4204,3971,4626,4358,4134,3824,3716,3264,3656,Upgrade
