,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,63753,65988,64375,61011,56195,54244,50897,52610,45992,68431,Upgrade
1,Revenue Growth (YoY),-0.97%,8.16%,14.56%,12.48%,10.41%,3.11%,10.66%,-23.12%,-37.89%,-5.99%,Upgrade
2,Cost of Revenue,58419,59924,59056,57776,51506,48251,43694,49802,45919,59287,Upgrade
3,Gross Profit,5334,6064,5319,3235,4689,5993,7203,2808,73,9144,Upgrade
4,"Selling, General & Admin",3269,3660,3683,3978,3562,3746,3630,3247,3066,4540,Upgrade
5,Other Operating Expenses,-4134,-2807,-3366,-2642,-3834,-2327,-2540,-2246,-2533,-3295,Upgrade
6,Operating Expenses,-865,853,317,1336,-272,1419,1090,1001,533,1245,Upgrade
7,Operating Income,6199,5211,5002,1899,4961,4574,6113,1807,-460,7899,Upgrade
8,Interest Expense,-2570,-2433,-1866,-1668,-1309,-1252,-1245,-1285,-1273,-1108,Upgrade
9,Interest & Investment Income,177,202,217,240,146,118,141,173,155,307,Upgrade
10,Currency Exchange Gain (Loss),-74,162,175,161,-393,64,3,112,-143,-140,Upgrade
11,Other Non Operating Income (Expenses),-1,-3,-2,3,-7,62,-6,-6,-3,-29,Upgrade
12,EBT Excluding Unusual Items,3731,3139,3526,635,3398,3566,5006,801,-1724,6929,Upgrade
13,Gain (Loss) on Sale of Assets,144,-549,-418,-288,-103,-303,334,-75,11,-166,Upgrade
14,Asset Writedown,-807,-233,-326,733,-977,-1272,-1278,-180,-35,-407,Upgrade
15,Other Unusual Items,7,154,142,539,-,932,1524,2319,3225,-,Upgrade
16,Pretax Income,3576,2511,2924,1619,2318,2923,5586,2865,1477,6356,Upgrade
17,Income Tax Expense,1386,1000,1050,1004,1135,1362,2170,1203,788,2305,Upgrade
18,Earnings From Continuing Operations,2190,1511,1874,615,1183,1561,3416,1662,689,4051,Upgrade
19,Minority Interest in Earnings,-,-,-1,4,4,16,4,3,9,6,Upgrade
20,Net Income,2190,1511,1873,619,1187,1577,3420,1665,698,4057,Upgrade
21,Net Income to Common,2190,1511,1873,619,1187,1577,3420,1665,698,4057,Upgrade
22,Net Income Growth,16.92%,144.10%,57.79%,-60.75%,-65.29%,-5.29%,389.97%,-58.96%,-91.97%,-4.68%,Upgrade
23,Shares Outstanding (Basic),696,704,712,716,721,729,746,758,765,766,Upgrade
24,Shares Outstanding (Diluted),696,704,712,716,721,729,746,758,765,766,Upgrade
25,Shares Change (YoY),-2.14%,-1.71%,-1.22%,-1.80%,-3.40%,-3.74%,-2.46%,-1.09%,-0.17%,-,Upgrade
26,EPS (Basic),3.14,2.15,2.63,0.86,1.65,2.16,4.59,2.20,0.91,5.30,Upgrade
27,EPS (Diluted),3.10,2.15,2.60,0.86,1.60,2.16,4.59,2.20,0.91,5.25,Upgrade
28,EPS Growth,19.23%,148.34%,62.50%,-60.03%,-65.11%,-1.53%,403.87%,-58.17%,-91.98%,-4.72%,Upgrade
29,Free Cash Flow,1994,3100,-16307,-13414,2397,2932,-13153,15602,12052,-3381,Upgrade
30,Free Cash Flow Per Share,2.86,4.40,-22.91,-18.73,3.33,4.02,-17.63,20.59,15.76,-4.41,Upgrade
31,Dividend Per Share,2.500,2.500,2.500,2.500,2.500,2.600,2.400,2.000,3.000,3.000,Upgrade
32,Dividend Growth,0%,0%,0%,-3.85%,4.17%,30.00%,-20.00%,-33.33%,-50.00%,-50.00%,Upgrade
33,Operating Margin,9.72%,7.90%,7.77%,3.11%,8.83%,8.43%,12.01%,3.43%,-1.00%,11.54%,Upgrade
34,Profit Margin,3.44%,2.29%,2.91%,1.01%,2.11%,2.91%,6.72%,3.16%,1.52%,5.93%,Upgrade
35,Free Cash Flow Margin,3.13%,4.70%,-25.33%,-21.99%,4.27%,5.41%,-25.84%,29.66%,26.20%,-4.94%,Upgrade
36,EBITDA,29623,28476,28050,23328,21426,18124,14541,6854,4853,13318,Upgrade
37,D&A For EBITDA,23424,23265,23048,21429,16465,13550,8428,5047,5313,5419,Upgrade
38,EBIT,6199,5211,5002,1899,4961,4574,6113,1807,-460,7899,Upgrade
39,Revenue as Reported,63753,65988,64375,61011,56195,54244,50897,52610,45992,68431,Upgrade
40,Advertising Expenses,1319,-,1474,-,1382,-,1493,-,882,-,Upgrade
