,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,2368,2382,3064,3621,3710,4426,5275,5216,5578,6171,5737,Upgrade
1,Market Cap Growth,-34.23%,-34.23%,-17.41%,-18.18%,-29.66%,-15.15%,-5.43%,-15.48%,-2.78%,-19.20%,-25.40%,Upgrade
2,Enterprise Value,10720,10051,10524,9778,8109,9317,10261,8816,10042,10867,9536,Upgrade
3,Last Close Price,3.40,3.29,4.10,4.64,4.57,5.29,6.12,5.83,5.88,6.28,5.61,Upgrade
4,PE Ratio,11.86,11.87,17.50,27.72,34.79,29.51,16.37,14.70,33.58,17.66,6.25,Upgrade
5,Forward PE,-,38.17,38.17,38.17,38.17,38.17,38.17,38.17,38.17,38.17,38.17,Upgrade
6,PS Ratio,0.34,0.34,0.45,0.55,0.54,0.74,0.78,0.72,0.80,0.73,0.56,Upgrade
7,PB Ratio,0.34,0.34,0.45,0.52,0.49,0.61,0.62,0.57,0.60,0.64,0.59,Upgrade
8,P/TBV Ratio,0.36,0.36,0.48,0.55,0.50,0.63,0.64,0.58,0.62,0.65,0.61,Upgrade
9,P/FCF Ratio,8.57,8.62,-4.48,-,-,15.31,-8.00,-,2.87,9.69,-,Upgrade
10,P/OCF Ratio,0.78,0.78,0.91,1.14,1.15,1.67,2.50,2.81,2.69,3.23,2.65,Upgrade
11,PEG Ratio,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,Upgrade
12,EV/Sales Ratio,1.52,1.43,1.56,1.49,1.17,1.55,1.51,1.22,1.45,1.29,0.93,Upgrade
13,EV/EBITDA Ratio,2.94,3.19,3.60,3.63,3.07,4.34,4.87,5.90,12.20,8.14,4.06,Upgrade
14,EV/EBIT Ratio,17.06,16.24,19.92,27.03,20.02,18.01,14.89,15.95,106.05,-,6.05,Upgrade
15,EV/FCF Ratio,38.80,36.38,-15.40,-,-,32.23,-15.57,-,5.17,17.06,-,Upgrade
16,Debt / Equity Ratio,1.50,1.50,1.51,1.41,1.28,1.04,1.01,0.93,0.95,0.97,0.79,Upgrade
17,Debt / FCF Ratio,37.87,37.87,-15.02,-,-,25.90,-12.95,-,4.55,14.83,-,Upgrade
18,Return on Capital Employed (ROCE),3.86%,3.80%,3.34%,2.33%,2.52%,3.79%,4.34%,3.36%,0.56%,-,9.39%,Upgrade
19,Earnings Yield,8.48%,8.43%,5.71%,3.61%,2.87%,3.39%,6.11%,6.80%,2.98%,5.66%,16.01%,Upgrade
20,FCF Yield,11.67%,11.60%,-22.30%,-43.03%,-17.53%,6.53%,-12.50%,3.28%,34.85%,10.32%,7.21%,Upgrade
21,Dividend Yield,7.40%,8.24%,6.30%,5.65%,6.45%,5.23%,5.27%,5.27%,5.98%,7.03%,11.55%,Upgrade
22,Buyback Yield / Dilution,1.92%,2.14%,1.71%,1.22%,1.80%,3.40%,3.74%,2.46%,1.09%,0.17%,-,Upgrade
23,Total Shareholder Return,9.32%,10.38%,8.01%,6.87%,8.25%,8.63%,9.01%,7.73%,7.07%,7.19%,11.55%,Upgrade
