,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,1400,1367,1345,1675,1446,1553,573.79,931.45,-,574.7,-
1,Trading Asset Securities,125.72,190.23,300.83,316.4,80.18,50.09,-,50.08,-,-,-
2,Cash & Short-Term Investments,1526,1557,1646,1992,1526,1603,573.79,981.52,-,574.7,937.24
3,Cash Growth,-0.01%,-2.86%,186.86%,102.94%,-,178.96%,-38.78%,-,-,-,-
4,Accounts Receivable,457.38,534.02,442.46,438.49,527.03,508,391.85,399.86,-,409.54,-
5,Other Receivables,35.31,35.67,32.88,30.04,34.31,36.91,31.48,34.27,-,26.48,-
6,Receivables,492.69,569.69,475.34,468.54,561.34,544.91,423.34,434.13,-,436.03,-
7,Inventory,862.05,752.87,792.78,674.64,843.09,879.65,1090,1157,-,1070,-
8,Other Current Assets,99.24,74.77,78.14,77.99,67.28,60.45,91.56,52.45,-,76.57,-
9,Total Current Assets,2980,2955,2992,3213,2998,3088,2179,2626,-,2158,-
10,"Property, Plant & Equipment",221.76,229.74,237.5,244.8,246.62,255.88,267.87,273.67,-,254.34,-
11,Long-Term Investments,36.45,36.45,36.45,36.45,36.45,36.45,36.45,36.45,-,36.45,-
12,Other Intangible Assets,18.98,19.9,20.43,21.34,22.25,22.23,23.06,23.95,-,22.92,-
13,Long-Term Accounts Receivable,-,61.53,-,56.48,-,33.15,-,22.52,-,22.53,-
14,Long-Term Deferred Tax Assets,80.74,68.17,55.53,45,48.78,42.29,38.98,36.28,-,37.48,-
15,Long-Term Deferred Charges,0.58,0.68,0.79,0.89,0.99,1.11,1.21,1.31,-,8.41,-
16,Other Long-Term Assets,61.75,0.53,53.8,0.53,31.49,-,53.41,0.19,-,0,-
17,Total Assets,3400,3372,3397,3619,3384,3479,2600,3020,-,2540,-
18,Accounts Payable,658.42,642.79,524.23,656.03,503.8,551.73,688.29,887.01,-,609.5,-
19,Accrued Expenses,58.24,60.34,53.41,96.03,77.4,72.24,51.01,96.58,-,62.83,-
20,Short-Term Debt,2,2,-,7,7,14.28,14.28,16.28,-,24,-
21,Current Portion of Leases,5.56,7.03,6.08,6.19,6.49,8.77,11.42,10.14,-,7.56,-
22,Current Income Taxes Payable,2.07,-,1.26,-,2.66,-,12.14,-,-,-,-
23,Current Unearned Revenue,559.66,467.33,623.99,691.91,654.4,771.41,968.46,1132,-,964.32,-
24,Other Current Liabilities,167.77,175.62,128.56,151.93,123.5,118.93,84.04,96.49,-,41.34,-
25,Total Current Liabilities,1454,1355,1338,1609,1375,1537,1830,2238,-,1710,-
26,Long-Term Leases,2.78,4.16,3.55,3.67,3.9,3.09,7.71,6.4,-,12.97,-
27,Long-Term Unearned Revenue,193.84,230.09,20.95,155.22,209.02,142.06,154.24,162.64,-,260.17,-
28,Long-Term Deferred Tax Liabilities,1.94,2,2.28,2.58,1.56,1.83,0.09,2.61,-,-,-
29,Other Long-Term Liabilities,-,-,206.35,-,-,-,-,-,-,-,-
30,Total Liabilities,1652,1591,1571,1771,1590,1684,1992,2410,-,1983,-
31,Common Stock,400,400,400,400,400,400,300,300,-,300,-
32,Additional Paid-In Capital,1372,1372,1374,1374,1379,1379,305.12,304.32,-,303.22,-
33,Retained Earnings,-54.76,-24.24,23.27,44.59,-5.91,-5.12,-14.93,-13.98,-,-63.91,-
34,Total Common Equity,1717,1748,1797,1818,1774,1774,590.2,590.34,-,539.31,528.53
35,Minority Interest,30.68,32.76,29.2,29.78,20.9,21.38,17.95,19.54,-,17.64,-
36,Shareholders' Equity,1748,1780,1826,1848,1794,1795,608.15,609.88,-,556.95,540.76
37,Total Liabilities & Equity,3400,3372,3397,3619,3384,3479,2600,3020,-,2540,-
38,Total Debt,10.34,13.18,9.63,16.86,17.4,26.13,33.41,32.81,-,44.54,70.22
39,Net Cash (Debt),1515,1544,1636,1975,1509,1577,540.38,948.71,-,530.16,867.02
40,Net Cash Growth,0.46%,-2.08%,202.81%,108.18%,-,197.47%,-37.67%,-,-,-,-
41,Net Cash Per Share,3.46,4.34,3.84,7.80,2.43,9.47,1.27,3.14,-,1.98,3.18
42,Filing Date Shares Outstanding,400,400,400,400,400,400,300,300,357.82,300,273.06
43,Total Common Shares Outstanding,400,400,400,400,400,400,300,300,357.82,300,273.06
44,Working Capital,1526,1600,1655,1604,1622,1551,349.21,387.17,-,447.95,-
45,Book Value Per Share,4.29,4.37,4.49,4.55,4.43,4.43,1.97,1.97,-,1.80,1.76
46,Tangible Book Value,1698,1728,1776,1797,1751,1751,567.14,566.39,-,516.39,504.73
47,Tangible Book Value Per Share,4.25,4.32,4.44,4.49,4.38,4.38,1.89,1.89,-,1.72,1.68
48,Buildings,-,212.5,-,212.5,-,212.5,-,212.5,-,212.5,-
49,Machinery,-,183.72,-,183.13,-,161.09,-,159.39,-,151.76,-
50,Construction In Progress,-,-,-,-,-,28.11,-,28.11,-,8.8,-
