,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,84.92,347.28,78.98,575.75,274.77,486.63,330.05,460.61,531.13,560.74,340.22
1,Other Revenue,-,-,-,-,-0.22,0.22,-,1.81,-0.93,0.93,-
2,Revenue,84.92,347.28,78.98,575.75,274.55,486.84,330.05,462.42,530.19,561.67,340.22
3,Revenue Growth (YoY),-69.07%,-28.67%,-76.07%,24.51%,-48.22%,-13.32%,-2.99%,-,-,-,-
4,Cost of Revenue,58.26,291.97,60.24,456.43,214.49,391.59,276.93,361.25,428.47,457.48,286.87
5,Gross Profit,26.66,55.31,18.74,119.32,60.06,95.25,53.13,101.17,101.72,104.2,53.36
6,"Selling, General & Admin",40.25,56.6,34.68,51.58,43.62,47.79,39.99,59.06,37.65,50.14,30.61
7,Research & Development,45.62,37.42,37.88,39.63,32.3,34.39,28.17,26.13,42.11,45.3,28.6
8,Other Operating Expenses,-24.28,2.57,-5.49,0.26,-11.72,-4.93,-4.14,20.2,-6.77,-15.52,-0.84
9,Operating Expenses,64.35,112.15,61.42,86,74.45,89.41,65.44,103.97,77.9,88.09,58.6
10,Operating Income,-37.69,-56.84,-42.68,33.32,-14.39,5.84,-12.32,-2.8,23.82,16.1,-5.24
11,Interest Expense,-,-0.23,-0.04,-0.59,-,-0.3,-0.12,-0.7,-0.29,-0.32,-0.55
12,Interest & Investment Income,1.62,7.49,6.68,6.92,6.73,10.78,3.67,1.62,4.49,1.45,0.53
13,Other Non Operating Income (Expenses),2.95,-2.92,2.4,-0.97,2.99,-3.39,-0.06,-0.64,2.29,-3.03,-0.21
14,EBT Excluding Unusual Items,-33.11,-52.5,-33.64,38.68,-4.68,12.92,-8.84,-2.52,30.3,14.2,-5.46
15,Gain (Loss) on Sale of Investments,1.32,-0.59,0.83,1.22,0.1,0.09,-,0.08,-,-,-
16,Gain (Loss) on Sale of Assets,0.01,0.1,0.01,-0.04,-0.01,0.05,-,-0.13,-,-,-
17,Asset Writedown,-0.1,-0.18,0.07,0.31,0.11,-0.25,-0.16,-0.1,0.1,0.14,-0.14
18,Other Unusual Items,-11.99,11.99,-,17.33,-0.15,0.15,-,27.26,-0.01,0.01,-
19,Pretax Income,-43.87,-41.19,-32.73,57.49,-4.63,12.95,-9,24.59,30.39,14.35,-5.61
20,Income Tax Expense,-12.64,-13.5,-10.83,4.8,-5.39,1.96,-8.71,3.86,-0.95,-4.13,-3.36
21,Earnings From Continuing Operations,-31.23,-27.68,-21.9,52.69,0.76,10.99,-0.29,20.73,31.34,18.48,-2.25
22,Minority Interest in Earnings,0.7,-1.83,0.58,-2.19,-1.55,-2.55,0.71,0.39,-3.21,-4.93,-0.48
23,Net Income,-30.52,-29.51,-21.31,50.5,-0.79,8.44,0.42,21.12,28.13,13.55,-2.73
24,Net Income to Common,-30.52,-29.51,-21.31,50.5,-0.79,8.44,0.42,21.12,28.13,13.55,-2.73
25,Net Income Growth,-,-,-,139.13%,-,-37.72%,-,-,-,-,-
26,Shares Outstanding (Basic),438,356,426,253,620,167,424,303,358,268,273
27,Shares Outstanding (Diluted),438,356,426,253,620,167,424,303,358,268,273
28,Shares Change (YoY),-29.31%,113.52%,0.46%,-16.26%,73.30%,-37.82%,55.39%,-,-,-,-
29,EPS (Basic),-0.07,-0.08,-0.05,0.20,-0.00,0.05,0.00,0.07,0.08,0.05,-0.01
30,EPS (Diluted),-0.07,-0.08,-0.05,0.20,-0.00,0.05,0.00,0.07,0.08,0.05,-0.01
31,EPS Growth,-,-,-,185.55%,-,0.17%,-,-,-,-,-
32,Free Cash Flow,-16.35,-91.14,-338,493.17,-66.57,-154.89,-393.68,406.56,9.77,-98.71,-222.86
33,Free Cash Flow Per Share,-0.04,-0.26,-0.79,1.95,-0.11,-0.93,-0.93,1.34,0.03,-0.37,-0.82
34,Dividend Per Share,-,-,-,0.045,-,-,-,-,-,-,-
35,Gross Margin,31.39%,15.93%,23.73%,20.72%,21.88%,19.56%,16.10%,21.88%,19.19%,18.55%,15.68%
36,Operating Margin,-44.38%,-16.37%,-54.04%,5.79%,-5.24%,1.20%,-3.73%,-0.61%,4.49%,2.87%,-1.54%
