,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7044,6532,6108,6900,9600,10192,10980,-,-,-,-,-
1,Market Cap Growth,-35.91%,-35.91%,-44.37%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5559,5021,4501,5412,8112,8636,10458,-,-,-,-,-
3,Last Close Price,17.61,16.33,15.22,17.20,23.93,25.40,27.37,-,-,-,-,-
4,PE Ratio,-,-,-,-,163.90,-,188.95,-,-,-,-,-
5,PS Ratio,6.13,6.01,4.78,4.87,5.76,6.56,6.07,-,-,-,-,-
6,PB Ratio,4.10,3.74,3.43,3.78,5.19,5.68,6.12,-,-,-,-,-
7,P/TBV Ratio,3.85,3.85,3.54,3.88,5.34,5.82,6.27,-,-,-,-,-
8,P/FCF Ratio,136.98,-,-,-,-78.71,-,-,-,-,-,-,-
9,P/OCF Ratio,128.52,-,-,-,-81.47,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.78,4.62,3.53,3.82,4.87,5.56,5.78,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,186.83,-,241.27,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,651.70,-,719.56,-,-,-,-,-
13,EV/FCF Ratio,105.29,-,-,-,-66.51,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,-,0.08,0.13
15,Debt / EBITDA Ratio,-,-,-,-,0.08,-,0.38,-,0.69,-,0.42,16.41
16,Debt / FCF Ratio,0.22,-,-,-,-0.14,-,-,-,0.35,-,-,-
17,Asset Turnover,0.10,0.41,0.09,0.66,0.32,0.64,0.47,-,-,-,-,
18,Inventory Turnover,1.02,0.29,1.51,0.33,2.41,1.00,1.59,0.99,-,-,-,-
19,Quick Ratio,1.39,1.39,1.57,1.59,1.53,1.52,1.40,0.54,0.63,-,0.59,-
20,Current Ratio,2.05,2.05,2.18,2.24,2.00,2.18,2.01,1.19,1.17,-,1.26,-
21,Return on Equity (ROE),-7.08%,-6.14%,-4.77%,11.57%,0.17%,3.66%,-0.19%,-,-,13.47%,-,
22,Return on Assets (ROA),-2.78%,-4.20%,-3.04%,2.38%,-1.05%,0.48%,-1.10%,-,-,-,-,
23,Return on Capital (ROIC),-5.31%,-7.83%,-5.77%,4.53%,-1.98%,1.18%,-4.80%,-,-,6.64%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,0.62%,-,0.75%,-,-,-,1.31%,-
25,Earnings Yield,-1.15%,-0.47%,-0.02%,0.53%,0.61%,0.29%,0.53%,-,-,-,-,-
26,FCF Yield,0.73%,0.73%,-0.04%,-0.96%,-1.27%,-2.05%,-1.20%,-,-,-,-,-
27,Dividend Yield,0.26%,-,-,-,0.19%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,1.92%,-,-,7.44%,-,-
29,Buyback Yield / Dilution,2.63%,29.31%,-113.52%,-0.46%,16.26%,-73.30%,37.82%,-55.39%,-,-,-,-
30,Total Shareholder Return,2.89%,29.31%,-113.52%,-0.46%,16.44%,-73.30%,37.82%,-55.39%,-,-,-,-
