,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10573,7342,4518,778,499,557,430,232,208,101,104
1,Market Cap Growth,843.59%,843.59%,805.55%,39.82%,15.95%,139.87%,106.87%,130.16%,100.00%,-40.57%,-53.57%
2,Enterprise Value,10568,7311,4469,760,435,465,363,142,54,-43,-34
3,Last Close Price,7.76,5.76,3.60,0.62,0.52,0.58,0.52,0.29,0.26,0.13,0.12
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,-50.71
5,PS Ratio,21.04,15.86,9.99,2.09,1.24,0.88,0.73,0.66,0.99,0.43,0.37
6,PB Ratio,30.49,22.63,19.31,2.98,2.65,2.64,2.76,1.38,1.24,0.58,0.55
7,P/TBV Ratio,29.47,29.47,28.61,4.23,4.52,4.24,2.78,1.40,1.24,0.58,0.55
8,P/FCF Ratio,-,-,-,-,27.03,-,458.74,-,-,3.79,2.29
9,P/OCF Ratio,-,-,-,-,17.79,-,394.76,-,-,3.75,2.28
10,EV/Sales Ratio,22.83,15.79,9.88,2.04,1.08,0.73,0.61,0.41,0.26,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,512.99,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-5413.19,-,-,-,-
13,EV/FCF Ratio,-312.00,-,-,-,23.55,-,386.66,-,-,-,-
14,Debt / Equity Ratio,0.33,0.33,0.08,0.03,0.29,0.29,0.00,0.01,0.00,0.01,0.01
15,Debt / FCF Ratio,-,-,-,-,2.97,-,0.73,-,-,0.04,0.04
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-0.04%,-,-,-,-1.35%
17,Earnings Yield,-0.78%,-1.12%,-1.75%,-7.20%,-7.63%,-4.35%,-4.51%,-2.86%,-5.92%,-5.74%,-1.97%
18,FCF Yield,-0.32%,-0.46%,-1.27%,-1.07%,3.70%,4.27%,0.22%,-30.88%,-5.58%,26.38%,43.60%
19,Buyback Yield / Dilution,-19.86%,-10.92%,-30.40%,-20.81%,-19.39%,-17.19%,-0.64%,-,-,-,-0.05%
20,Total Shareholder Return,-19.86%,-10.92%,-30.40%,-20.81%,-19.39%,-17.19%,-0.64%,-,-,-,-0.05%
