,Fiscal Quarter,Current,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+16 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010",+16 Quarters
0,Market Capitalization,551749,182157,152717,180317,209756,229996,171117,193197,174797,160077,202396,211596,231836,266795,296235,314634,316474,331100,262900,269500,295900,Upgrade
1,Market Cap Growth,-20.80%,-20.80%,-10.75%,-6.67%,20.00%,43.68%,-15.45%,-8.70%,-24.60%,-40.00%,-31.68%,-32.75%,-26.74%,-19.42%,12.68%,16.75%,6.95%,17.16%,-20.62%,-0.85%,18.69%,Upgrade
2,Enterprise Value,830815,830815,648634,626948,656388,673813,557676,573771,644510,629790,676203,641173,584222,634283,663723,682123,590565,682819,730373,655079,631696,Upgrade
3,Last Close Price,11000.00,3446.40,2889.41,3411.59,3784.85,4150.06,3087.64,3486.05,3154.04,2888.44,3652.05,3818.05,4025.07,4632.02,5143.14,5462.59,4945.08,4828.53,3833.95,3930.20,4151.75,Upgrade
4,PE Ratio,16.81,6.87,7.88,15.22,17.04,10.92,10.37,13.31,33.95,30.53,30.41,-,8.40,8.43,5.01,3.31,2.75,2.94,3.01,4.80,4.96,Upgrade
5,PS Ratio,0.40,0.17,0.15,0.21,0.25,0.27,0.18,0.19,0.18,0.15,0.18,0.19,0.20,0.23,0.25,0.25,0.25,0.27,0.22,0.25,0.27,Upgrade
6,PB Ratio,1.50,0.61,0.54,0.66,0.75,0.81,0.62,0.71,0.64,-,0.77,0.79,0.84,0.96,-,1.06,1.06,1.04,0.91,1.13,1.30,Upgrade
7,P/TBV Ratio,0.78,0.78,0.69,0.81,0.91,0.99,0.76,0.88,0.80,-,0.97,0.99,1.04,1.18,-,1.29,1.30,1.27,1.14,1.41,1.63,Upgrade
8,P/FCF Ratio,-,-,-3.47,-,-,-,-,-,3.06,-1.70,-1.90,-,-,-,3.77,1.79,-,3.71,46.25,-,-,Upgrade
9,P/OCF Ratio,-,-,-7.35,-,-3.84,-,-,-,1.61,-6.13,-3.81,-,-,-,3.53,1.63,-,2.17,4.13,-,-2.67,Upgrade
