,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+16 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010",+16 Quarters
0,Cash & Equivalents,24224,33163,17916,28785,14130,17641,16639,8575,-,4991,10176,9991,29969,-,-,31541,17661,41941,9922,42358,Upgrade
1,Short-Term Investments,-,1157,1977,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1530,1530,1530,Upgrade
2,Cash & Short-Term Investments,24224,34320,19893,28785,14130,17641,16639,8575,-,4991,10176,9991,29969,-,31541,31541,17661,43471,11452,43888,Upgrade
3,Cash Growth,71.43%,94.54%,19.56%,235.68%,-,253.47%,63.52%,-14.17%,-,-,-67.74%,-68.32%,69.68%,-,175.41%,-28.13%,61.81%,593.53%,71.99%,-55.91%,Upgrade
4,Accounts Receivable,253098,259805,232866,225457,170658,194736,216209,211229,-,194214,184252,203137,206862,-,-,280555,214845,228788,215528,240344,Upgrade
5,Other Receivables,923.45,1460,951.17,872.14,947.84,799.23,1055,798.28,-,146.67,162.57,833.89,798.1,-,-,853,1356,818.07,382.55,1460,Upgrade
6,Receivables,254022,261265,233817,226329,171606,195535,217264,212028,-,194361,184415,203971,207661,-,-,281408,216201,229607,215911,241804,Upgrade
7,Inventory,427293,389090,308750,297528,297927,283124,221978,194454,-,298064,308348,345673,267241,-,-,259248,226221,226023,296909,217293,Upgrade
8,Prepaid Expenses,595.25,856.25,617.84,479.52,250.82,360.39,649.91,1127,-,287.97,486.16,-,78.48,-,-,573.19,176.26,96.88,453.95,677.69,Upgrade
9,Other Current Assets,71021,60403,38901,28985,50957,38738,38618,41436,-,57081,48733,42523,30145,-,-,11176,21169,29509,39131,22007,Upgrade
10,Total Current Assets,777155,745934,601980,582107,534871,535400,495149,457619,-,554785,552158,602157,535094,-,-,583947,481428,528706,563857,525670,Upgrade
11,"Property, Plant & Equipment",309192,293809,189958,196027,191591,194398,187989,200010,-,187100,176385,166750,144353,-,-,146068,144051,144009,144108,147399,Upgrade
12,Long-Term Investments,2622,2622,2622,2622,2622,2622,2622,2622,-,3600,3600,3600,3600,-,-,3600,3600,3600,3600,3600,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1799,1858,1918,1977,Upgrade
14,Other Intangible Assets,61934,62437,49138,49641,50144,50647,51150,51653,-,52660,52947,52960,52837,-,-,54366,54658,55299,44652,45199,Upgrade
15,Long-Term Deferred Tax Assets,600.18,617.71,926.89,926.89,751.26,751.26,1828,1828,-,2864,896.52,869.68,715.04,-,-,654.76,752.81,752.81,752.81,752.81,Upgrade
16,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,1344,-,-,-,-,-,-,-,Upgrade
17,Other Long-Term Assets,4840,4433,4807,6017,10234,10635,11376,5224,-,3079,3358,3536,2687,-,-,4741,3764,1004,1223,1487,Upgrade
18,Total Assets,1156344,1109853,849431,837341,790213,794453,750114,718957,-,804087,789344,829872,740630,-,-,793378,690054,735230,760110,726085,Upgrade
19,Accounts Payable,53938,52489,46676,47308,24125,35989,54905,31414,-,39500,9610,84039,48551,-,-,60263,45052,19769,17619,46823,Upgrade
20,Accrued Expenses,27481,20805,11871,18077,19850,16743,15484,24818,-,24520,22595,27909,26156,-,-,31394,22866,22693,22457,18634,Upgrade
21,Short-Term Debt,656495,628139,488399,460218,433749,431321,369936,352762,-,441128,450719,413909,372774,-,-,379728,269242,369471,449998,397331,Upgrade
22,Current Portion of Long-Term Debt,8177,17514,9375,12500,3125,6250,9375,12500,-,2436,5634,16211,3114,-,-,12835,3209,6418,9626,12835,Upgrade
23,Current Income Taxes Payable,-,654.4,174.8,167.2,269.77,-,2951,369.21,-,1515,1515,1030,1242,-,-,195.47,7070,7423,2342,-,Upgrade
24,Other Current Liabilities,6788,8824,2058,6984,2125,2491,2590,1762,-,1588,3910,1953,2968,-,-,3661,5319,1222,926.51,2551,Upgrade
25,Total Current Liabilities,752878,728425,558553,545256,483244,492793,455241,423625,-,510686,493982,545051,454804,-,-,488076,352758,426996,502969,478174,Upgrade
26,Long-Term Debt,106747,37325,18037,11388,23888,23888,23888,23888,-,31140,27629,9447,6466,-,-,6466,19301,19301,19301,19301,Upgrade
27,Long-Term Deferred Tax Liabilities,-,-,309.02,309.02,523.8,523.8,180.52,180.52,-,685.68,61.94,-,29.15,-,-,434.1,86.37,86.37,86.37,86.37,Upgrade
28,Other Long-Term Liabilities,-,60000,-,-,-,-,-,-,-,-,-,-,284.42,-,-,306.49,193,195.46,205.48,211.83,Upgrade
29,Total Liabilities,859625,825750,576899,556952,507655,517205,479309,447693,-,542511,521674,554498,461584,-,-,495283,372338,446579,522562,497773,Upgrade
30,Common Stock,183997,183997,183997,183997,183997,183997,183997,183997,-,183997,183997,183997,183997,-,-,183997,110000,110000,110000,110000,Upgrade
31,Additional Paid-In Capital,19920,19920,19920,19920,19920,19920,19920,19920,-,19920,19920,19920,19920,-,-,19920,19920,19920,19920,19920,Upgrade
32,Retained Earnings,92802,80186,68614,76472,78640,73331,66888,67346,-,57659,63753,71457,75129,-,-,93914,188110,158468,107364,98129,Upgrade
33,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,263.96,-314.89,263.74,263.83,262.03,Upgrade
34,Total Common Equity,296719,284103,272531,280388,282557,277248,270805,271263,-,261576,267670,275374,279046,-,298095,298095,317715,288652,237548,228311,Upgrade
35,Shareholders' Equity,296719,284103,272531,280388,282557,277248,270805,271263,-,261576,267670,275374,279046,-,298095,298095,317715,288652,237548,228311,Upgrade
36,Total Liabilities & Equity,1156344,1109853,849431,837341,790213,794453,750114,718957,-,804087,789344,829872,740630,-,-,793378,690054,735230,760110,726085,Upgrade
37,Total Debt,771418,682978,515810,484106,460761,461459,403198,389150,-,474704,483983,439567,382354,-,399029,399029,291752,395190,478925,429467,Upgrade
38,Net Cash (Debt),-747195,-648658,-495917,-455321,-446631,-443817,-386559,-380575,-,-469713,-473807,-429577,-352386,-,-367488,-367488,-274090,-351719,-467473,-385579,Upgrade
39,Net Cash Per Share,-18459.59,-16012.05,-12257.35,-11238.69,-11051.35,-10988.00,-9511.81,-9400.20,-,-11591.14,-11717.69,-10613.31,-8740.47,-,-8986.34,-8723.53,-6864.90,-8806.17,-11710.29,-9646.90,Upgrade
40,Filing Date Shares Outstanding,40.48,40.48,40.48,40.48,40.48,40.48,40.48,40.48,40.28,40.48,40.48,40.48,40.48,40.06,40.89,40.48,39.93,39.93,39.93,39.93,Upgrade
41,Total Common Shares Outstanding,40.48,40.48,40.48,40.48,40.48,40.48,40.48,40.48,40.28,40.48,40.48,40.48,40.48,40.06,40.89,40.48,39.93,39.93,39.93,39.93,Upgrade
