,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5057,5003,4208,5126,6264,6647,7171,6898,8316,4015,5203,6317,9026,-,-,-,-,-,-,-
1,Market Cap Growth,-24.74%,-24.74%,-41.33%,-25.68%,-24.68%,65.55%,37.82%,9.19%,-7.87%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3445,3387,2431,3279,4416,4798,5249,5008,6427,2071,3291,5904,8614,-,-,-,-,-,-,-
3,Last Close Price,17.56,17.37,14.61,17.30,21.14,22.43,24.20,22.99,27.72,13.39,17.11,20.78,29.69,-,-,-,-,-,-,-
4,PE Ratio,47.48,47.08,31.98,29.53,35.57,34.66,38.88,50.07,66.11,39.81,48.16,55.86,74.20,-,-,-,-,-,-,-
5,PS Ratio,11.10,11.00,8.43,8.43,9.45,9.34,10.54,11.89,16.15,8.58,10.32,11.53,16.70,-,-,-,-,-,-,-
6,PB Ratio,2.20,2.18,1.84,2.14,2.66,2.86,3.13,2.98,3.65,1.80,2.28,2.81,4.06,-,-,-,-,-,-,-
7,P/TBV Ratio,2.25,2.25,1.90,2.21,2.74,2.95,3.23,3.07,3.77,1.86,2.35,2.89,4.19,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,102.11,-,47.56,27.26,35.78,45.56,87.71,-,-,-,-,-,-,-
9,P/OCF Ratio,48.55,48.55,34.58,30.67,45.70,31.66,34.87,-,33.16,23.30,33.15,40.45,72.80,-,-,-,-,-,-,-
