,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,520.75,1023,1663,1694,1729,1730,1826,1858,1889,1944,1912,1860,272.23,184.29,-,105.52,-,231.31,231.31
1,Trading Asset Securities,1097,598.07,119.31,129.4,125.38,125.38,103.98,103.98,-,-,-,-,140.31,210.55,-,240,-,180,180
2,Cash & Short-Term Investments,1618,1621,1782,1824,1855,1856,1930,1962,1889,1944,1912,1860,412.54,394.85,345.52,345.52,411.31,411.31,411.31
3,Cash Growth,-12.79%,-12.66%,-7.63%,-7.05%,-1.83%,-4.53%,0.91%,5.50%,357.98%,392.31%,453.46%,438.28%,0.30%,-4.00%,-16.00%,-,-,-,-
4,Accounts Receivable,73.09,79.5,93.21,75.08,100.72,122.94,99.29,127.47,81.41,103.28,134.3,161.05,177.45,140.19,-,114.21,-,92.04,92.04
5,Other Receivables,8.7,4.37,5.23,2.66,11.7,9.65,11.52,1.35,11.39,2.92,6.83,3.09,8.69,7.12,-,2.11,-,5.16,5.16
6,Receivables,81.79,83.87,98.44,77.74,112.42,132.59,110.81,128.82,92.8,106.2,141.13,164.14,186.14,147.31,-,116.32,-,97.2,97.2
7,Inventory,155.09,180.16,167.61,173.8,132.77,124.56,122.05,114.7,96.94,115.87,90.92,89.5,95.71,111.2,-,134.59,-,85.89,85.89
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.98,8.98
9,Other Current Assets,22.4,16.27,14.25,23.59,19.21,29.8,35.53,21.21,16.31,16.08,18.42,15.67,7.82,7.49,-,7.23,-,4.62,4.62
10,Total Current Assets,1877,1901,2063,2099,2119,2143,2198,2227,2095,2182,2163,2129,702.21,660.84,-,603.65,-,608,608
11,"Property, Plant & Equipment",474.8,440.46,397.52,361.99,277.25,238.84,192.25,184.8,140.86,131.25,129.38,131.7,133.82,132.36,-,136.76,-,140.74,140.74
12,Other Intangible Assets,69.46,70.02,70.58,71.07,71.6,72.16,72.75,73.27,73.63,65.69,66.18,66.67,67.15,60.55,-,61.45,-,62.1,62.1
13,Long-Term Deferred Tax Assets,2.19,2.19,2.19,2.19,1.28,1.28,1.28,2.39,1.52,1.52,1.52,1.52,1.55,1.49,-,1.38,-,1.32,1.32
14,Long-Term Deferred Charges,1.12,1.19,-,1.33,1.7,1.16,0.43,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,12.67,13.93,9.26,11.03,27.86,36.38,15.98,11.47,1.72,1.72,1.24,1.24,-,6.8,-,-,-,-,-
16,Total Assets,2437,2429,2542,2547,2499,2493,2481,2499,2313,2382,2361,2330,904.73,862.05,-,803.25,-,812.16,812.16
17,Accounts Payable,88.95,85.2,91.73,117.69,87.92,95.16,60.19,82.62,26.55,45.28,39.13,36.13,37.56,40.33,-,36.88,-,47.91,47.91
