,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,95.56,100.37,138.06,108.97,138.87,210.28,193.29,166,106.07,111.34,128.25,121.41,141.96,155.41,120.98,170.22,128.28,146.93,146.93
1,Other Revenue,-3.43,3.43,-,11.61,-2.19,2.19,-,3.26,-0.79,0.79,-,0.87,-0.44,0.44,-,0.14,0.26,0.08,0.08
2,Revenue,92.13,103.81,138.06,120.58,136.69,212.47,193.29,169.25,105.28,112.13,128.25,122.28,141.52,155.85,120.98,170.36,128.54,147.01,147.01
3,Revenue Growth (YoY),-32.60%,-51.14%,-28.57%,-28.76%,29.83%,89.49%,50.72%,38.42%,-25.61%,-28.05%,6.01%,-28.22%,10.10%,6.01%,-17.71%,-,-,-,-
4,Cost of Revenue,77.43,69.88,85.71,76.14,74.38,116.03,131.01,126.11,66.11,87.49,90.08,90.95,89.27,109.23,68.87,89.84,61.76,73.47,73.47
5,Gross Profit,14.7,33.93,52.35,44.44,62.31,96.44,62.28,43.15,39.17,24.64,38.17,31.32,52.25,46.62,52.11,80.53,66.78,73.54,73.54
6,"Selling, General & Admin",16.97,13.34,15.48,9.28,21.58,14.89,16.34,-3.3,25.52,7.51,18.17,5.63,14.04,5.28,13.58,15.44,14.72,18.81,18.81
7,Research & Development,6.97,8.35,10.94,17.84,14.72,13.1,7.12,4.74,5.51,4.97,4.63,5.89,4.53,4.81,3.05,10.44,6.56,2.99,2.99
8,Other Operating Expenses,0.66,1.63,0.58,1.45,0.45,-1.8,1.21,9.69,-2.82,0.83,-3.74,9.68,-2.25,-0.83,-0.71,3.66,0.01,-0.26,-0.26
9,Operating Expenses,24.55,23.71,27.33,27.82,36.31,27.07,24.25,10.96,27.89,12.85,18.08,21.84,16.19,10.42,15.78,29.49,21.83,21.51,21.51
10,Operating Income,-9.85,10.21,25.02,16.62,26,69.37,38.03,32.19,11.28,11.78,20.09,9.48,36.06,36.2,36.33,51.04,44.94,52.03,52.03
11,Interest Expense,-0.06,-0.06,-0.06,-0.1,-0.07,-0.07,-0.06,-0.34,-,-,-,-,-,-,-,-0.17,-0.72,-0.7,-0.7
12,Interest & Investment Income,3.92,23.41,17.14,11.54,11.71,12.29,12.3,14.99,15.3,16.21,14.51,5.77,2.16,1.91,3.27,1.08,1.89,3.03,3.03
13,Currency Exchange Gain (Loss),-2.15,2.15,-,3.36,-3.93,3.93,-,4.78,-3.05,3.05,-,-3.62,1.69,-1.69,-,-6.17,-5.28,0.5,0.5
14,Other Non Operating Income (Expenses),1.09,-0.71,0.7,-3.6,3.28,0.35,-0.8,-4.77,4.58,0.61,-0.86,1.72,-1.96,0.12,0.25,0.26,-0.39,-0.02,-0.02
15,EBT Excluding Unusual Items,-7.05,35,42.79,27.82,36.98,85.87,49.47,46.84,28.12,31.66,33.74,13.36,37.94,36.54,39.84,46.04,40.45,54.85,54.85
16,Gain (Loss) on Sale of Investments,7.43,1.7,0.95,4.02,-,-,-,-0.04,0.04,-,-,0.07,-0.07,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.15,0.05,0.03,0.18,-0.02,0.02,-,0.04,-0.01,0.01,-,-0.07,0.07,-0.01,-0.07,-,-0.06,0.02,0.02
18,Asset Writedown,0.02,-0.02,-,-1.05,0.18,-0.18,-1.53,-0.66,0.1,-0.1,-,-0,-,-,-,-0.16,-,-0.1,-0.1
19,Other Unusual Items,1.45,-0.17,0.55,1.07,-,-,-,7.69,-0.05,0.05,-,11.58,-,-,-,2.79,-0.05,0.03,0.03
20,Pretax Income,1.7,36.56,44.32,32.03,37.14,85.71,47.94,53.88,28.21,31.61,33.74,24.93,37.95,36.53,39.78,48.68,40.33,54.81,54.81
21,Income Tax Expense,-4.47,5.45,6.94,0.43,5.66,12.59,8.02,6.64,4.06,5.18,5.78,2.63,6.59,5.06,3.25,10.13,2.86,8.78,8.78
22,Net Income,6.17,31.11,37.38,31.6,31.48,73.12,39.92,47.24,24.15,26.43,27.96,22.3,31.35,31.47,36.53,38.55,37.47,46.03,46.03
23,Net Income to Common,6.17,31.11,37.38,31.6,31.48,73.12,39.92,47.24,24.15,26.43,27.96,22.3,31.35,31.47,36.53,38.55,37.47,46.03,46.03
24,Net Income Growth,-80.41%,-57.45%,-6.37%,-33.11%,30.32%,176.59%,42.76%,111.87%,-22.97%,-16.00%,-23.45%,-42.16%,-16.32%,-31.63%,-20.64%,-,-,-,-
25,Shares Outstanding (Basic),291,283,288,288,287,295,285,271,300,293,280,208,221,210,219,220,214,217,217
26,Shares Outstanding (Diluted),291,283,288,288,287,295,285,271,300,293,280,208,221,210,219,220,214,217,217
27,Shares Change (YoY),1.14%,-3.83%,0.84%,6.27%,-4.25%,0.53%,1.97%,30.00%,35.86%,39.32%,27.62%,-5.25%,3.04%,-2.92%,1.17%,-,-,-,-
28,EPS (Basic),0.02,0.11,0.13,0.11,0.11,0.25,0.14,0.17,0.08,0.09,0.10,0.11,0.14,0.15,0.17,0.18,0.17,0.21,0.21
29,EPS (Diluted),0.02,0.11,0.13,0.11,0.11,0.25,0.14,0.17,0.08,0.09,0.10,0.11,0.14,0.15,0.17,0.18,0.17,0.21,0.21
30,EPS Growth,-80.63%,-55.75%,-7.14%,-37.06%,36.11%,175.14%,40.00%,62.98%,-43.30%,-39.71%,-40.01%,-38.95%,-18.79%,-29.58%,-21.55%,-,-,-,-
