,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Operating Revenue,666.52,826.89,895.76,684.28,458.76,612.13,1423,1972,1914,1298
1,Other Revenue,-,-3.58,3.58,-,7.02,-4.02,4.02,-,2.13,-
2,Revenue,666.52,823.31,899.33,684.28,465.79,608.12,1427,1972,1916,1298
3,Revenue Growth (YoY),43.10%,35.39%,-36.96%,-65.31%,-75.69%,-53.15%,-,-,-,-
4,Cost of Revenue,-1510,530.59,569.23,410.21,343.32,346.65,874.09,1182,1152,800.14
5,Gross Profit,2177,292.72,330.11,274.07,122.46,261.46,552.54,789.99,763.64,497.79
6,"Selling, General & Admin",-416.8,143.35,162.18,111.27,86.69,75.88,74.34,138.77,99.58,109.38
7,Research & Development,-383.95,146.33,132.58,105.04,71.43,83.59,62.45,57.24,64.45,41.78
8,Other Operating Expenses,2907,-29.33,3.43,5.69,8.8,3.36,5.9,4.67,8.58,-0.2
9,Operating Expenses,2092,256.83,311.62,226.11,163.47,153.81,155.99,202.08,179.68,160.21
10,Operating Income,84.42,35.89,18.48,47.96,-41,107.66,396.55,587.91,583.96,337.57
11,Interest Expense,-26.75,-0.78,-0.84,-0.76,-0.9,-0.67,-0.65,-1.09,-1.7,-0.93
12,Interest & Investment Income,2.38,11.53,7.55,7.67,5.11,2.8,4.23,2.02,0.14,0.2
13,Currency Exchange Gain (Loss),-,15.11,-15.11,-,208.59,-138.45,138.45,-,43.71,-0.57
14,Other Non Operating Income (Expenses),-40.78,30.62,30.52,-30.21,-154.68,75.06,-8.95,10.95,18.74,7.85
15,EBT Excluding Unusual Items,19.27,92.36,40.61,24.66,17.12,46.41,529.61,599.8,644.85,344.14
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-0.73,-0.46
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.02,-0.01,-,0,0.01
18,Asset Writedown,7.93,-7.72,-0.2,-,7.26,-6.96,15.09,-15.37,10.81,-1.58
19,Other Unusual Items,-,-44.02,30.07,13.95,13.88,-,-,-,17.11,-
20,Pretax Income,27.2,40.62,70.47,38.61,38.51,39.47,544.69,584.43,672.05,342.1
21,Income Tax Expense,-17.91,-16.85,1.43,4.65,-7.89,-3.43,72.79,81.01,72.11,55.11
22,Net Income,45.11,57.46,69.05,33.96,46.4,42.9,471.9,503.42,599.94,286.99
23,Net Income to Common,45.11,57.46,69.05,33.96,46.4,42.9,471.9,503.42,599.94,286.99
24,Net Income Growth,-2.78%,33.96%,-85.37%,-93.25%,-92.27%,-85.05%,-,-,-,-
25,Shares Outstanding (Basic),161,160,160,162,120,120,120,120,120,120
26,Shares Outstanding (Diluted),161,160,160,162,120,120,120,120,120,120
27,Shares Change (YoY),33.84%,33.08%,33.41%,34.92%,0.29%,-0.18%,-,-,-,-
28,EPS (Basic),0.28,0.36,0.43,0.21,0.39,0.36,3.93,4.20,5.00,2.39
29,EPS (Diluted),0.28,0.36,0.43,0.21,0.39,0.36,3.93,4.20,5.00,2.39
30,EPS Growth,-27.36%,0.65%,-89.03%,-95.00%,-92.29%,-85.03%,-,-,-,-
31,Free Cash Flow,-,182.28,105.08,167.15,-87.96,-212.58,61.64,514.11,106.59,60.86
32,Free Cash Flow Per Share,-,1.14,0.66,1.03,-0.73,-1.77,0.51,4.29,0.89,0.51
33,Gross Margin,326.55%,35.55%,36.71%,40.05%,26.29%,43.00%,38.73%,40.05%,39.85%,38.35%
34,Operating Margin,12.67%,4.36%,2.06%,7.01%,-8.80%,17.70%,27.80%,29.81%,30.48%,26.01%
35,Profit Margin,6.77%,6.98%,7.68%,4.96%,9.96%,7.05%,33.08%,25.52%,31.31%,22.11%
36,Free Cash Flow Margin,-,22.14%,11.68%,24.43%,-18.88%,-34.96%,4.32%,26.06%,5.56%,4.69%
37,EBITDA,93.07,44.54,31.08,56.6,-32.24,117.26,404.65,590.26,587.82,340.59
38,EBITDA Margin,13.96%,5.41%,3.46%,8.27%,-6.92%,19.28%,28.36%,29.93%,30.68%,26.24%
39,D&A For EBITDA,8.65,8.65,12.6,8.65,8.77,9.61,8.1,2.35,3.85,3.02
40,EBIT,84.42,35.89,18.48,47.96,-41,107.66,396.55,587.91,583.96,337.57
41,EBIT Margin,12.67%,4.36%,2.06%,7.01%,-8.80%,17.70%,27.80%,29.81%,30.48%,26.01%
42,Effective Tax Rate,-,-,2.02%,12.04%,-,-,13.36%,13.86%,10.73%,16.11%
43,Revenue as Reported,-,823.31,899.33,684.28,465.79,608.12,1427,1972,1916,1298
44,Advertising Expenses,-,-,-,-,-,-,-,-,-,2.56
