,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Market Capitalization,7733,7474,11794,7608,12538,-,-,-,-,-,-
1,Enterprise Value,4237,3978,8491,4502,11463,-,-,-,-,-,-
2,Last Close Price,48.33,46.71,72.43,46.72,77.00,-,-,-,-,-,-
3,PE Ratio,37.76,36.35,57.01,39.56,21.07,-,-,-,-,-,-
4,Forward PE,15.34,16.64,21.88,-,-,-,-,-,-,-,-
5,PS Ratio,2.53,2.43,4.11,2.86,3.94,-,-,-,-,-,-
6,PB Ratio,1.72,1.66,2.62,1.71,2.87,-,-,-,-,-,-
7,P/TBV Ratio,1.69,1.69,2.66,1.76,2.94,-,-,-,-,-,-
8,P/FCF Ratio,-,-,32.17,-268.71,-174.73,-,-,-,-,-,-
9,P/OCF Ratio,-,-,16.75,21.19,47.40,-,-,-,-,-,-
10,EV/Sales Ratio,1.38,1.29,2.96,1.69,3.60,-,-,-,-,-,-
11,EV/EBITDA Ratio,19.14,17.66,84.92,26.07,20.98,-,-,-,-,-,-
12,EV/EBIT Ratio,22.69,21.30,138.45,33.83,22.43,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,23.16,-159.02,-159.75,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.08,0.08,-
15,Debt / EBITDA Ratio,0.28,0.17,0.35,0.37,0.30,-,0.13,0.03,0.05,0.05,-
16,Debt / FCF Ratio,-,-,0.17,-2.38,-0.96,-,-,0.07,0.16,0.64,-
17,Asset Turnover,-,0.52,0.61,0.50,0.42,0.66,-,-,-,-,
18,Inventory Turnover,-,-,1.84,2.24,1.66,1.28,1.18,-,-,-,-
19,Quick Ratio,-,-,2.37,2.59,3.94,4.10,1.62,1.40,-,0.73,-
20,Current Ratio,-,-,3.08,3.34,4.98,5.45,2.86,2.33,-,1.54,-
21,Return on Equity (ROE),4.01%,5.14%,6.26%,3.12%,5.58%,7.50%,106.32%,156.90%,-,-,
22,Return on Assets (ROA),-,1.41%,0.79%,2.21%,-2.32%,7.33%,-,-,-,-,
23,Return on Capital (ROIC),4.62%,1.98%,1.03%,2.71%,-3.03%,11.49%,53.47%,105.70%,-,-,
24,Return on Capital Employed (ROCE),-,-,1.31%,2.88%,11.21%,-,67.23%,77.44%,-,63.98%,-
25,Earnings Yield,2.66%,2.75%,1.75%,2.53%,4.75%,-,-,-,-,-,-
26,FCF Yield,-,3.11%,-0.37%,-0.57%,-,-,-,-,-,-,
27,Payout Ratio,0.00%,-,-,-,-,-,-,0.03%,0.14%,0.01%,0.51%
28,Buyback Yield / Dilution,-33.81%,-33.84%,-33.08%,-33.41%,-34.92%,-0.29%,0.18%,-,-,-,-
29,Total Shareholder Return,-31.87%,-33.84%,-33.08%,-33.41%,-34.92%,-0.29%,0.18%,-,-,-,-
