,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022"
0,Cash & Equivalents,-,3559,3370,3174,3039,1134,1365,-,791.43,-
1,Cash & Short-Term Investments,3559,3559,3370,3174,3039,1134,1365,791.43,791.43,-
2,Cash Growth,17.12%,213.82%,146.84%,301.10%,283.95%,-,-,-,-,-
3,Accounts Receivable,-,608.66,687.24,416.03,357.44,434.74,597.15,-,460.47,-
4,Other Receivables,-,117.07,33.09,74.39,26.26,4.58,18.18,-,52.91,-
5,Receivables,-,725.73,720.33,490.41,383.7,439.31,615.32,-,513.38,-
6,Inventory,-,1216,1094,938.26,1033,1107,1248,-,1303,-
7,Prepaid Expenses,-,-,-,-,0.75,-,-,-,-,-
8,Other Current Assets,-,64.92,106.36,38.93,92.11,101.35,76.39,-,154.36,-
9,Total Current Assets,-,5566,5291,4642,4549,2782,3305,-,2762,-
10,"Property, Plant & Equipment",-,718.52,676.59,610.33,570.73,420.96,382.32,-,336.82,-
11,Long-Term Investments,-,0.28,0.27,0.27,0.27,0.26,0.27,-,0.25,-
12,Other Intangible Assets,-,70.01,113.79,111.13,111.22,91.71,90.97,-,62.65,-
13,Long-Term Deferred Tax Assets,-,74.82,57.97,58.93,64.09,70.71,74.36,-,57.57,-
14,Long-Term Deferred Charges,-,58.47,60.04,57.28,49.89,46.7,6.73,-,4.32,-
15,Other Long-Term Assets,-,6.11,9.97,10.04,10.39,52.64,18.47,-,6.29,-
16,Total Assets,-,6494,6209,5490,5355,3465,3878,-,3230,-
17,Accounts Payable,-,1407,1099,619.22,354.84,479.77,895.49,-,1201,-
18,Accrued Expenses,-,148.53,265.72,94.6,271.16,317.32,298.93,-,191.56,-
19,Short-Term Debt,-,-,-,-,-,-,-,-,69.1,-
20,Current Portion of Leases,-,17.39,22.13,21.5,21.61,19.23,15.62,-,12.92,-
21,Current Income Taxes Payable,-,27.45,13.52,32.72,22.02,40.02,131.45,-,147.87,-
22,Current Unearned Revenue,-,103.24,113.34,60.77,95.58,85.59,54.18,-,102.8,-
23,Other Current Liabilities,-,105.52,68.83,102.51,68.67,29.68,20.69,-,64.86,-
24,Total Current Liabilities,-,1809,1582,931.32,833.88,971.61,1416,-,1790,-
25,Long-Term Leases,-,45.49,45.17,47.31,46.65,40.04,34.92,-,25.05,-
26,Long-Term Unearned Revenue,-,13.66,14.09,15.13,8.01,7.15,7.33,-,-,-
27,Long-Term Deferred Tax Liabilities,-,0.04,0.04,0.09,0.09,0.23,0.29,-,0.08,-
28,Other Long-Term Liabilities,-,121.65,121.27,123.38,126.11,139.85,151.46,-,131.82,-
29,Total Liabilities,-,1990,1763,1117,1015,1159,1610,-,1947,-
30,Common Stock,-,160,160,160,160,120,120,-,120,-
31,Additional Paid-In Capital,-,1978,1978,1978,1978,29.9,29.9,-,29.9,-
32,Retained Earnings,-,2357,2299,2230,2196,2150,2107,-,1132,-
33,Comprehensive Income & Other,-,8.98,9.18,4.55,6.16,6.11,10.39,-,1.83,-
34,Shareholders' Equity,4504,4504,4446,4373,4340,2306,2267,1283,1283,-
35,Total Liabilities & Equity,-,6494,6209,5490,5355,3465,3878,-,3230,-
36,Total Debt,62.88,62.88,67.31,68.8,68.25,59.26,50.55,107.06,107.06,-
37,Net Cash (Debt),3496,3496,3303,3106,2970,1075,1315,684.36,684.36,-
38,Net Cash Growth,17.69%,225.27%,151.21%,353.80%,334.05%,-,-,-,-,-
39,Net Cash Per Share,21.71,21.92,20.62,19.20,24.69,8.97,10.95,5.71,5.71,-
40,Filing Date Shares Outstanding,160,160,160,160,160,120,120,119.86,120,120.08
41,Total Common Shares Outstanding,160,160,160,160,160,120,120,119.86,120,120.08
42,Working Capital,-,3756,3708,3711,3715,1810,1888,-,972.47,-
43,Book Value Per Share,28.15,28.15,27.79,27.33,27.13,19.22,18.89,10.70,10.70,-
44,Tangible Book Value,4434,4434,4333,4262,4229,2214,2176,1221,1221,-
45,Tangible Book Value Per Share,27.71,27.71,27.08,26.64,26.43,18.45,18.14,10.17,10.17,-
46,Buildings,-,-,158,-,158.76,156.79,156.48,-,109.23,-
47,Machinery,-,-,314.35,-,251.75,200.82,198.6,-,181.02,-
48,Construction In Progress,-,-,215.76,-,148.39,51,18.84,-,39.93,-
