,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,264.09,307.75,287.82,249.07,273.9,370.13,357.31,345.94,401.58,404.97,373.23,373.23
1,Other Revenue,-,-5.41,5.41,-,0.9,-0.45,0.45,-,3.21,-0.18,0.18,0.18
2,Revenue,264.09,302.34,293.23,249.07,274.8,369.68,357.76,345.94,404.79,404.79,373.41,373.41
3,Revenue Growth (YoY),-3.90%,-18.22%,-18.04%,-28.00%,-32.11%,-8.67%,-4.19%,-7.36%,-,-,-,-
4,Cost of Revenue,370.52,204.46,222.3,175.06,192.85,225.95,233.26,203.12,235.58,238.62,214.47,214.47
5,Gross Profit,-106.43,97.88,70.93,74.02,81.95,143.73,124.5,142.81,169.21,166.17,158.94,158.94
6,"Selling, General & Admin",-77.6,24.67,25.6,27.32,26.67,25.31,25.69,24.16,21.8,21.8,19.66,19.66
7,Research & Development,-72.78,26.3,22.89,23.58,26.81,28.1,31.74,29.99,30.77,30.77,31.98,31.98
8,Other Operating Expenses,3.57,-7.9,2.2,2.13,15.97,-6.41,0.58,-0.92,1.54,1.54,2.03,2.03
9,Operating Expenses,-147.35,43.25,50.77,53.32,69.86,46.86,58.13,52.67,54.25,54.14,53.8,53.8
10,Operating Income,40.92,54.63,20.16,20.69,12.09,96.86,66.36,90.15,114.97,112.02,105.14,105.14
11,Interest Expense,-16.03,-3.94,-6.6,-8,-9.72,-10.32,-10.76,-11.11,-11.46,-11.46,-11.23,-11.23
12,Interest & Investment Income,18.53,4.21,5.88,5.94,1.82,0.94,1.88,1.58,1.15,1.15,0.52,0.52
13,Currency Exchange Gain (Loss),-,-7.84,4.07,3.77,6.81,-6.42,6.42,-,3.96,3.96,0.02,0.02
