,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,11785,13016,10914,10947,11626,-,-,-,-,-,-,-,-
1,Enterprise Value,10683,11914,9653,9768,11939,-,-,-,-,-,-,-,-
2,Last Close Price,17.71,19.56,16.40,16.15,17.24,-,-,-,-,-,-,-,-
3,PE Ratio,98.39,107.77,97.63,66.57,56.50,-,-,-,-,-,-,-,-
4,PS Ratio,10.72,11.74,9.75,9.22,9.29,-,-,-,-,-,-,-,-
5,PB Ratio,2.89,3.19,2.68,2.71,2.77,-,-,-,-,-,-,-,-
6,P/TBV Ratio,3.29,3.29,2.76,2.79,2.85,-,-,-,-,-,-,-,-
7,P/FCF Ratio,-,-,90.23,44.40,-,-,-,-,-,-,-,-,-
8,P/OCF Ratio,-,-,24.71,20.51,22.73,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,9.64,10.75,8.62,8.23,9.54,-,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,28.33,31.02,27.17,24.83,27.47,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,78.32,87.35,89.74,65.21,60.91,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,-,-,79.81,39.62,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.05,0.05,0.05,0.11,0.13,0.23,-,0.28,0.31,0.31,0.31,0.45,0.45
14,Debt / EBITDA Ratio,0.57,0.53,0.47,1.29,1.68,1.97,-,1.44,1.37,1.14,1.16,1.64,1.64
15,Debt / FCF Ratio,-,-,1.78,1.83,-,3.16,-,-,2.04,1.64,2.09,3.82,7.65
16,Asset Turnover,-,0.26,0.24,-,-,-,-,-,0.43,0.43,0.39,-,
17,Inventory Turnover,-,-,2.54,2.66,-,-,-,-,-,2.72,3.00,2.96,-
18,Quick Ratio,-,-,4.82,3.18,3.63,0.97,-,1.19,-,1.27,1.27,1.12,1.12
19,Current Ratio,-,-,5.89,3.76,4.30,1.53,-,1.87,-,1.89,1.89,1.52,1.52
20,Return on Equity (ROE),4.11%,3.02%,2.90%,-,-,-,10.87%,9.19%,14.90%,15.49%,14.46%,-,
21,Return on Assets (ROA),-,2.89%,1.02%,-,-,-,-,-,7.66%,7.38%,6.85%,-,
22,Return on Capital (ROIC),2.38%,3.11%,1.09%,-,-,-,4.89%,6.66%,8.49%,8.20%,7.62%,-,
23,Return on Capital Employed (ROCE),-,-,2.55%,3.48%,4.43%,8.81%,-,12.20%,-,13.98%,10.31%,6.99%,3.49%
24,Earnings Yield,1.02%,0.93%,1.02%,1.50%,1.77%,-,-,-,-,-,-,-,-
25,FCF Yield,-,1.11%,2.25%,1.34%,-,-,-,-,-,-,-,-,
26,Payout Ratio,0.00%,-,630.02%,21.33%,43.24%,28.19%,83.42%,14.21%,17.47%,36.40%,36.40%,13.63%,13.63%
27,Buyback Yield / Dilution,-11.45%,-13.86%,-28.75%,-29.38%,-2.60%,-3.95%,1.04%,0.11%,0.20%,-,-,-,-
28,Total Shareholder Return,-9.80%,-13.86%,-28.75%,-29.38%,-2.60%,-3.95%,1.04%,0.11%,0.20%,-,-,-,-
