,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,1297,1691,1723,442.87,-,429.35,-,478.3,478.3,568.15,568.15
1,Trading Asset Securities,-,20.07,20.08,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1317,1317,1711,1723,442.87,-,429.35,478.3,478.3,478.3,568.15,568.15
3,Cash Growth,197.45%,-,298.50%,260.29%,-7.41%,-,-24.43%,-15.82%,-,-,-,-
4,Accounts Receivable,-,245.41,244.07,233.41,198.55,-,303.44,-,316.84,316.84,356.49,356.49
5,Other Receivables,-,0.1,0.14,1.68,0.08,-,-,-,0.23,0.03,0.06,0.06
6,Receivables,-,245.51,244.22,235.09,198.64,-,303.44,-,317.08,316.87,356.55,356.55
7,Inventory,-,316.34,328.24,341.17,340.73,-,375.22,-,346.16,346.16,289.85,289.85
8,Prepaid Expenses,-,-,0.5,-,0.04,-,5.04,-,6.19,6.19,4.96,4.96
9,Other Current Assets,-,30.92,24.95,24.96,26.87,-,32.29,-,31.64,31.85,33.57,33.57
10,Total Current Assets,-,1910,2309,2324,1009,-,1145,-,1179,1179,1253,1253
11,"Property, Plant & Equipment",-,2405,2450,2449,2468,-,2439,-,2397,2397,2315,2315
12,Goodwill,-,0.03,0.03,0.03,0.03,-,0.03,-,0.03,0.03,0.03,0.03
13,Other Intangible Assets,-,119.8,120.59,121.93,123.02,-,125.33,-,132.34,132.34,133.34,133.34
14,Long-Term Deferred Tax Assets,-,23.94,22.62,19.27,21.85,-,22,-,17.4,17.4,14.9,14.9
15,Long-Term Deferred Charges,-,4.08,1.41,1.25,1.27,-,1.34,-,1.58,1.58,1.91,1.91
16,Other Long-Term Assets,-,73.04,21.26,50.22,50.55,-,23.34,-,24.24,24.24,117.44,117.44
17,Total Assets,-,4536,4925,4966,3673,-,3757,-,3752,3752,3836,3836
18,Accounts Payable,-,72.39,63.54,56.38,63.02,-,112.84,-,153.32,153.32,134.48,134.48
19,Accrued Expenses,-,22.79,37.21,15.42,36.88,-,36.08,-,46.27,44.1,44.72,44.72
20,Short-Term Debt,-,-,16.9,40.59,120.23,-,116.46,-,108.91,108.91,321.35,321.35
21,Current Portion of Long-Term Debt,-,134.22,207.79,324.2,337.85,-,171.72,-,173.06,173.06,142.92,142.92
22,Current Portion of Leases,-,-,10.81,-,10.71,-,11.61,-,11.12,11.12,10.64,10.64
23,Current Income Taxes Payable,-,6.5,-,-5.2,5.53,-,8.47,-,10.52,13.33,6.49,6.49
24,Current Unearned Revenue,-,75.85,79.19,82.25,83.79,-,96.48,-,120.46,120.46,114.29,114.29
25,Other Current Liabilities,-,12.79,199.39,26.57,1.08,-,60.39,-,1.27,0.64,51.43,51.43
26,Total Current Liabilities,-,324.54,614.83,540.21,659.08,-,614.05,-,624.94,624.94,826.33,826.33
27,Long-Term Debt,-,52,183.72,145.22,145.11,-,401.3,-,460.93,460.93,538.57,538.57
28,Long-Term Leases,-,28.73,31.64,34.79,36.38,-,41.7,-,47.09,47.09,51.13,51.13
29,Long-Term Unearned Revenue,-,47.64,45.5,22.7,39.32,-,31.53,-,31.3,31.3,34.09,34.09
30,Long-Term Deferred Tax Liabilities,-,4.26,4.46,4.68,4.73,-,5.01,-,5.29,5.29,0.14,0.14
31,Other Long-Term Liabilities,-,-,-,14.57,-,-,-,-,-,-,-,-
32,Total Liabilities,-,457.17,880.14,762.16,884.62,-,1094,-,1170,1170,1450,1450
33,Common Stock,-,665.46,665.46,662.06,595.85,-,595.85,-,595.85,595.85,595.85,595.85
34,Additional Paid-In Capital,-,2631,2628,2622,1291,-,1282,-,1272,1272,1268,1268
35,Retained Earnings,-,781.74,751.07,919.75,901.48,-,785.24,-,714.21,714.21,521.76,521.76
36,Shareholders' Equity,4078,4078,4045,4204,2789,-,2663,2583,2583,2583,2385,2385
37,Total Liabilities & Equity,-,4536,4925,4966,3673,-,3757,-,3752,3752,3836,3836
38,Total Debt,214.95,214.95,450.86,544.8,650.27,-,742.79,801.11,801.11,801.11,1065,1065
39,Net Cash (Debt),1102,1102,1260,1178,-207.4,-,-313.44,-322.82,-322.82,-322.82,-496.46,-496.46
