,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,1249,901.83,760.22,383.59,342.36,931.27,895.64,470.97,601.46,814.25,Upgrade
1,Short-Term Investments,241.75,297.3,216.5,367.29,-,73.95,-,219.86,-,114.94,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,0.5,0.5,140.52,112.73,Upgrade
3,Cash & Short-Term Investments,1491,1199,976.72,750.88,342.36,1005,896.14,691.33,741.97,1042,Upgrade
4,Cash Growth,52.62%,59.70%,185.29%,-25.30%,-61.80%,45.40%,20.78%,-33.65%,31.72%,5.55%,Upgrade
5,Accounts Receivable,1964,2248,2660,2858,3190,3593,2356,2574,2152,1923,Upgrade
6,Other Receivables,-,-,-,-,8.91,-,8.72,-,-,-,Upgrade
7,Receivables,1964,2248,2660,2858,3199,3593,2364,2574,2152,1923,Upgrade
8,Inventory,229.93,52.24,110.56,126.35,118.44,218.35,225.25,85.87,147.38,126.86,Upgrade
9,Restricted Cash,730.67,785.89,719.78,587.35,561.42,659.69,676.26,824.78,1041,800.39,Upgrade
10,Other Current Assets,1974,1191,1013,583.37,740.34,486.92,778.02,490.02,666.49,395.59,Upgrade
11,Total Current Assets,6389,5477,5480,4906,4962,5963,4940,4666,4749,4288,Upgrade
12,"Property, Plant & Equipment",63.51,3540,3513,3566,3537,3599,3623,3685,3657,1017,Upgrade
13,Long-Term Investments,243.38,253.75,290.12,291.78,535,455.72,477.62,398.54,271.13,318.98,Upgrade
14,Goodwill,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,Upgrade
15,Other Intangible Assets,28.33,26.02,23.65,22.38,22.27,25.04,26.03,26.73,29.33,31.52,Upgrade
16,Long-Term Deferred Tax Assets,-,-,-,-,-,29.89,55.15,55.79,31,36.85,Upgrade
17,Other Long-Term Assets,3579,147.33,157.66,141.82,-,9.8,10.12,10.61,12.01,13.3,Upgrade
18,Total Assets,10319,9460,9480,8944,9071,10098,9148,8858,8765,5721,Upgrade
19,Accounts Payable,2119,2183,2325,2269,2505,3307,2485,2430,2068,2051,Upgrade
20,Accrued Expenses,-,36.18,-,133.78,-,56.85,-,41.2,-,107.99,Upgrade
21,Short-Term Debt,513.8,469.75,501.78,508.53,431.33,436.54,315.47,134.33,332,252,Upgrade
22,Current Portion of Long-Term Debt,59.38,59.36,59.31,679.1,706.5,736.5,765,805,76.5,52.78,Upgrade
23,Current Portion of Leases,17.15,12.14,11.66,8.41,9.66,16.6,17.16,15.67,15.77,4.69,Upgrade
24,Current Income Taxes Payable,152.73,155.2,172.45,172.85,174.09,174.76,192.05,188.87,178.43,176.45,Upgrade
25,Current Unearned Revenue,-,1959,-,664.09,-,683.69,-,808.35,-,536.52,Upgrade
26,Other Current Liabilities,3425,313.92,2074,361.87,908.99,303.12,889.6,215.43,907.13,274.97,Upgrade
27,Total Current Liabilities,6286,5188,5144,4798,4736,5715,4664,4639,3578,3456,Upgrade
28,Long-Term Debt,531,561,589.5,-,-,-,-,-,765,447.22,Upgrade
29,Long-Term Leases,8.21,15.03,19.52,23.51,0.47,3.33,9.62,19.57,25.94,8.53,Upgrade
30,Long-Term Unearned Revenue,3.76,3.86,3.89,3.99,4.02,4.12,4.15,4.25,4.28,4.38,Upgrade
31,Long-Term Deferred Tax Liabilities,398.83,398.56,392.65,398.02,391.53,392.63,397.9,403.52,395.35,0.72,Upgrade
32,Other Long-Term Liabilities,688.23,844.23,847.57,1145,468.75,336.41,308.4,-,-,-,Upgrade
33,Total Liabilities,7916,7011,6997,6368,5601,6451,5384,5067,4768,3917,Upgrade
34,Common Stock,330.58,330.58,330.58,330.58,330.58,330.58,330.58,330.58,330.58,330.58,Upgrade
35,Additional Paid-In Capital,869.2,869.2,869.2,869.2,869.2,869.2,869.2,869.2,869.2,869.2,Upgrade
36,Retained Earnings,-903.31,-869.25,-810.97,-739.59,85.3,363.87,-14.47,76.29,356.84,362.21,Upgrade
37,Comprehensive Income & Other,2127,2133,2110,2128,2187,2084,2579,2516,2440,241.69,Upgrade
38,Total Common Equity,2424,2463,2499,2588,3472,3648,3764,3792,3997,1804,Upgrade
39,Minority Interest,-21.33,-14.71,-15.71,-12.45,-0.98,-0.55,-0.4,-0.32,-0.18,-0.05,Upgrade
40,Shareholders' Equity,2402,2449,2483,2576,3471,3647,3764,3792,3997,1804,Upgrade
41,Total Liabilities & Equity,10319,9460,9480,8944,9071,10098,9148,8858,8765,5721,Upgrade
42,Total Debt,1130,1117,1182,1220,1148,1193,1107,974.57,1215,765.22,Upgrade
43,Net Cash (Debt),361.08,81.86,-205.06,-468.68,-805.6,-187.75,-211.11,-283.24,-473.24,276.7,Upgrade
44,Net Cash Growth,-,-,-,-,-,-,-,-,-,-62.67%,Upgrade
45,Net Cash Per Share,0.09,0.02,-0.05,-0.12,-0.20,-0.05,-0.05,-0.07,-0.12,0.07,Upgrade
46,Filing Date Shares Outstanding,4074,4074,4074,4074,4074,4074,4074,4074,4074,4074,Upgrade
47,Total Common Shares Outstanding,4074,4074,4074,4074,4074,4074,4074,4074,4074,4074,Upgrade
48,Working Capital,102.31,288.52,336.66,108.24,225.76,248.01,276.08,26.5,1171,831.51,Upgrade
49,Book Value Per Share,0.59,0.60,0.61,0.64,0.85,0.90,0.92,0.93,0.98,0.44,Upgrade
50,Tangible Book Value,2379,2422,2460,2550,3434,3607,3722,3750,3952,1756,Upgrade
51,Tangible Book Value Per Share,0.58,0.59,0.60,0.63,0.84,0.89,0.91,0.92,0.97,0.43,Upgrade
52,Buildings,-,1476,-,1441,-,1400,-,1339,-,1066,Upgrade
53,Machinery,-,121.02,-,123.19,-,158.77,-,123.18,-,122.2,Upgrade
54,Leasehold Improvements,-,7.94,-,7.47,-,7.38,-,7.39,-,4.56,Upgrade
