,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-20.55,20.55,-,-24.14,24.14,-
1,Revenue,630,656.11,526.62,488.08,549.36,436.87
2,Revenue Growth (YoY),14.68%,50.18%,-,-,-,-
3,Cost of Revenue,407.35,418.07,334.89,287.59,364.16,285.69
4,Gross Profit,222.66,238.04,191.73,200.49,185.19,151.18
5,"Selling, General & Admin",28.22,36.34,27.77,27.3,29.92,26.8
6,Research & Development,144.28,147.96,140.2,116.15,126.17,113.45
7,Other Operating Expenses,-27.57,-4.01,-20.67,-12.85,-43.61,-24.71
8,Operating Expenses,144.89,180.08,147.66,130.78,112.52,115.45
9,Operating Income,77.77,57.96,44.07,69.71,72.68,35.73
10,Interest Expense,-5.32,-5.78,-5.32,-3.72,-3.34,-2.11
11,Interest & Investment Income,16.08,15.35,13.07,7.19,5.89,8.04
12,Currency Exchange Gain (Loss),-4.01,4.01,-,-11.33,11.33,-
13,Other Non Operating Income (Expenses),-4.44,-0.85,0.8,5.48,2.2,-2.5
14,EBT Excluding Unusual Items,80.08,70.68,52.62,67.33,88.76,39.15
15,Gain (Loss) on Sale of Investments,5.62,2.29,-1.7,6.76,-21.67,6.49
16,Gain (Loss) on Sale of Assets,-0.02,-0.04,-,0.52,-0,-
17,Asset Writedown,-,-,-,-1.75,-,-
18,Other Unusual Items,-4.49,4.37,0.02,-,-,-
19,Pretax Income,81.2,77.3,50.93,72.86,67.09,45.65
20,Income Tax Expense,14.57,-1.38,-,1.55,-2.65,-1.07
21,Net Income,66.62,78.68,50.93,71.31,69.73,46.72
22,Net Income to Common,66.62,78.68,50.93,71.31,69.73,46.72
23,Net Income Growth,-4.46%,68.41%,-,-,-,-
24,Shares Outstanding (Basic),416,418,392,375,362,389
25,Shares Outstanding (Diluted),416,418,392,375,362,389
26,Shares Change (YoY),15.03%,7.44%,-,-,-,-
27,EPS (Basic),0.16,0.19,0.13,0.19,0.19,0.12
28,EPS (Diluted),0.16,0.19,0.13,0.19,0.19,0.12
29,EPS Growth,-16.95%,56.75%,-,-,-,-
30,Free Cash Flow,34.89,228.85,-7.65,148.59,137.21,9.42
31,Free Cash Flow Per Share,0.08,0.55,-0.02,0.40,0.38,0.02
32,Gross Margin,35.34%,36.28%,36.41%,41.08%,33.71%,34.61%
33,Operating Margin,12.34%,8.83%,8.37%,14.28%,13.23%,8.18%
34,Profit Margin,10.58%,11.99%,9.67%,14.61%,12.69%,10.69%
35,Free Cash Flow Margin,5.54%,34.88%,-1.45%,30.44%,24.98%,2.16%
36,EBITDA,101.84,87.05,68.14,91.95,94.68,57.97
37,EBITDA Margin,16.17%,13.27%,12.94%,18.84%,17.24%,13.27%
38,D&A For EBITDA,24.07,29.09,24.07,22.24,22.01,22.24
39,EBIT,77.77,57.96,44.07,69.71,72.68,35.73
40,EBIT Margin,12.34%,8.83%,8.37%,14.28%,13.23%,8.18%
41,Effective Tax Rate,17.95%,-,-,2.12%,-,-
42,Revenue as Reported,630,656.11,526.62,1474,-,436.87
