,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,30047,16577,14758,17391,-,-,-
1,Enterprise Value,29328,15695,14169,16591,-,-,-
2,Last Close Price,71.36,39.37,35.05,41.61,-,-,-
3,PE Ratio,135.26,61.96,54.53,72.86,-,-,-
4,PS Ratio,12.22,7.20,6.65,8.69,-,-,-
5,PB Ratio,10.38,5.73,5.23,6.26,-,-,-
6,P/TBV Ratio,6.12,6.12,5.65,6.76,-,-,-
7,P/FCF Ratio,161.72,40.96,29.11,-,-,-,-
8,P/OCF Ratio,43.96,31.39,20.48,33.43,-,-,-
9,EV/Sales Ratio,12.43,6.82,6.38,8.29,-,-,-
10,EV/EBITDA Ratio,113.77,44.97,41.45,53.05,-,-,-
11,EV/EBIT Ratio,200.94,62.90,57.97,74.68,-,-,-
12,EV/FCF Ratio,157.85,38.78,27.95,-,-,-,-
13,Debt / Equity Ratio,0.27,0.27,0.29,0.27,-,0.15,0.06
14,Debt / EBITDA Ratio,3.01,1.90,2.26,2.73,-,0.73,0.50
15,Debt / FCF Ratio,4.17,1.92,1.62,-,-,1.98,12.32
16,Asset Turnover,0.59,0.63,-,-,-,-,
17,Inventory Turnover,-,2.31,2.57,-,-,-,-
18,Quick Ratio,1.64,1.64,1.80,2.00,-,2.13,-
19,Current Ratio,2.74,2.74,2.55,2.95,-,3.26,-
20,Return on Equity (ROE),9.33%,11.25%,-,-,14.53%,-,
21,Return on Assets (ROA),4.51%,3.49%,-,-,-,-,
22,Return on Capital (ROIC),5.32%,4.05%,-,-,8.56%,-,
23,Return on Capital Employed (ROCE),4.41%,7.55%,7.49%,6.85%,-,5.12%,-
24,Earnings Yield,0.71%,1.61%,1.83%,1.37%,-,-,-
25,FCF Yield,0.62%,2.44%,3.44%,1.65%,-,-,-
26,Payout Ratio,28.32%,6.86%,60.23%,9.06%,5.71%,3.25%,1.21%
27,Buyback Yield / Dilution,-6.69%,-15.03%,-7.44%,-,-,-,-
28,Total Shareholder Return,-6.56%,-15.03%,-7.44%,-,-,-,-
