,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,317.22,466.37,1039,-,547.22,-
1,Short-Term Investments,-,247.32,-,-,421.53,-
2,Trading Asset Securities,1178,991.75,292.91,-,120.89,-
3,Cash & Short-Term Investments,1495,1705,1332,-,1090,853.2
4,Cash Growth,37.19%,99.89%,-,-,-,-
5,Accounts Receivable,150.62,163.21,177.28,-,213.61,-
6,Other Receivables,11.94,1.33,4.91,-,0.01,-
7,Receivables,162.55,164.54,182.19,-,213.62,-
8,Inventory,732.35,681.21,620.27,-,623.05,-
9,Other Current Assets,376.62,92.12,95.24,-,73.82,-
10,Total Current Assets,2766,2643,2230,-,2000,-
11,"Property, Plant & Equipment",293.28,292.17,311.08,-,176.36,-
12,Long-Term Investments,198.68,717.37,-,-,131.07,-
13,Other Intangible Assets,188.19,206.63,205.31,-,155.57,-
14,Long-Term Deferred Tax Assets,29.66,42.66,41.28,-,28.78,-
15,Long-Term Deferred Charges,16.88,18.55,12.01,-,15.37,-
16,Other Long-Term Assets,823.07,377.52,1198,-,222.35,-
17,Total Assets,4316,4298,3998,-,2730,-
18,Accounts Payable,269.6,297.19,134.93,-,180.46,-
19,Accrued Expenses,85.71,107.51,52.43,-,84.47,-
20,Short-Term Debt,449.76,469.97,393.59,-,222.39,-
21,Current Portion of Long-Term Debt,-,0.82,-,-,0.22,-
22,Current Portion of Leases,-,6.38,-,-,9.61,-
23,Current Income Taxes Payable,14.6,-,8.64,-,10.74,-
24,Current Unearned Revenue,26.92,21.87,23.09,-,17.97,-
25,Other Current Liabilities,163.3,132.82,143.89,-,86.94,-
26,Total Current Liabilities,1010,1037,756.56,-,612.8,-
27,Long-Term Debt,323.2,342.93,343.34,-,49.62,-
28,Long-Term Leases,2.66,2.89,5.86,-,8.06,-
29,Long-Term Unearned Revenue,6.46,5.72,7.3,-,14.6,-
30,Long-Term Deferred Tax Liabilities,7.31,5.74,5.7,-,0.07,-
31,Other Long-Term Liabilities,71.59,84.3,102.87,-,58.59,-
32,Total Liabilities,1421,1478,1222,-,743.75,-
33,Common Stock,421.06,421.06,421.06,-,378.95,-
34,Additional Paid-In Capital,1240,1232,1225,-,615.77,-
35,Retained Earnings,1233,1166,1130,-,990.32,-
36,Comprehensive Income & Other,1.02,0.99,0.84,-,0.84,-
37,Shareholders' Equity,2895,2820,2776,-,1986,1853
38,Total Liabilities & Equity,4316,4298,3998,-,2730,-
39,Total Debt,775.62,823,742.79,-,289.9,116.05
40,Net Cash (Debt),719.31,882.43,589.43,-,799.74,737.15
41,Net Cash Growth,-10.06%,19.71%,-,-,-,-
42,Net Cash Per Share,1.73,2.11,1.50,-,2.21,1.89
43,Filing Date Shares Outstanding,421.06,421.06,421.06,375.28,378.95,389.34
44,Total Common Shares Outstanding,421.06,421.06,421.06,375.28,378.95,389.34
45,Working Capital,1757,1607,1473,-,1387,-
46,Book Value Per Share,6.88,6.70,6.59,-,5.24,4.89
47,Tangible Book Value,2707,2613,2571,-,1830,1671
48,Tangible Book Value Per Share,6.43,6.21,6.11,-,4.83,4.41
49,Buildings,-,247.07,-,-,116.19,-
50,Machinery,-,118.99,-,-,100.96,-
51,Construction In Progress,-,1.48,-,-,-,-
