,Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Interest Income on Loans,5167731,4810648,4917300,4908938,4386131,3945855,3554995,3262819,2899206,2938040,3154850,2812392,2711579,2711579,2681768,2590855
1,Interest Income on Investments,14384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Total Interest Income,5182115,4810648,4917300,4908938,4386131,3945855,3554995,3262819,2899206,2938040,3154850,2812392,2711579,2711579,2681768,2590855
3,Interest Paid on Deposits,2952547,3172627,3409752,3112845,2456956,2161300,1827370,1698247,1561858,1519697,1829839,1707001,1849754,1849754,1983379,1951178
4,Net Interest Income,2229568,1638021,1507548,1796093,1929175,1784555,1727625,1564572,1337348,1418343,1325011,1105391,861825,861825,698389,639677
5,Net Interest Income Growth (YoY),15.57%,-8.21%,-12.74%,14.80%,44.25%,25.82%,30.39%,41.54%,55.18%,64.57%,89.72%,72.80%,-,-,-,-
6,Income From Trading Activities,-10333,110247,67191,134608,-40361,59769,63161,145542,16142,66460,-17509,-6631,71870,71870,-11629,34663
7,Gain (Loss) on Sale of Investments,-85441,-54432,9382,131070,49860,11714,280665,279258,150764,53780,38498,90466,15182,15182,39212,101696
8,Other Non-Interest Income,705791,674447,368276,202334,426927,396761,635296,333052,410418,410821,412990,250809,341405,341405,304318,196798
9,Total Non-Interest Income,610017,730262,444849,468012,436426,468244,979122,757852,577324,531061,433979,334644,428457,428457,331901,333157
10,Non-Interest Income Growth (YoY),39.78%,55.96%,-54.57%,-38.24%,-24.41%,-11.83%,125.62%,126.47%,34.75%,23.95%,30.76%,0.45%,-,-,-,-
11,Revenues Before Loan Losses,2839585,2368283,1952397,2264105,2365601,2252799,2706747,2322424,1914672,1949404,1758990,1440035,1290282,1290282,1030290,972834
12,Provision for Loan Losses,338512,344920,153632,363221,318809,159221,338504,358204,439846,380027,262311,155654,193585,193585,140580,149626
13,Revenue,2501073,2023363,1798765,1900884,2046792,2093578,2368243,1964220,1474826,1569377,1496679,1284381,1096697,1096697,889710,823208
14,Revenue Growth (YoY),22.19%,-3.35%,-24.05%,-3.22%,38.78%,33.40%,58.23%,52.93%,34.48%,43.10%,68.22%,56.02%,-,-,-,-
15,Salaries and Employee Benefits,492154,-,443884,446584,438198,-,504060,379965,347509,-,658215,310893,293367,293367,294842,296331
16,Occupancy Expenses,208845,-,160010,143580,166104,-,135956,117166,119715,-,203451,90016,89323,89323,90136,84928
17,Federal Deposit Insurance,31839,-,28483,26429,25823,-,24112,24653,25996,-,57845,28242,27834,27834,26749,25507
18,Amortization of Goodwill & Intangibles,17802,-,17802,17801,17802,-,17802,17801,17802,-,35603,17801,17802,17802,17802,17801
19,"Selling, General & Administrative",211595,-,156139,143138,256328,-,151972,76010,160791,-,180496,67798,97938,97938,69919,61426
20,Other Non-Interest Expense,78718,883491,45977,53456,89890,883525,34454,42226,64810,595410,-497061,71393,40517,40517,29863,28515
21,Total Non-Interest Expense,1040953,883491,852295,830988,994145,883525,868356,657821,736623,595410,638549,586143,566778,566778,529311,514508
22,EBT Excluding Unusual Items,1460120,1139872,946470,1069896,1052647,1210053,1499887,1306399,738203,973967,858130,698238,529919,529919,360399,308700
23,Pretax Income,1460120,1139872,946470,1069896,1052647,1210053,1499887,1306399,738203,973967,858130,698238,529919,529919,360399,308700
