,Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,46659323,41579901,41925762,963485,42500272,51112830,48938729,46549146,36309520,-,33339369,29657335,26653407,26653407,-,-
1,Investment Securities,14412531,13696654,15441929,62263045,8708258,5257655,5929322,9235938,16904873,-,22339338,25782252,32283216,32283216,-,-
2,Trading Asset Securities,8353236,2699313,5022914,4293033,3987085,8594522,13584480,18551877,13082630,-,9149156,6453054,2838453,2838453,-,-
3,Total Investments,22765767,16395967,20464843,66556078,12695343,13852177,19513802,27787815,29987503,-,31488494,32235306,35121669,35121669,-,-
4,Gross Loans,182642443,173281093,165144255,164692747,157561937,152511961,151222026,150042004,134945144,-,112432049,113350599,108969236,108969236,-,-
5,Allowance for Loan Losses,-2978019,-3108368,-2763448,-2676386,-2433009,-2238564,-2249150,-2059491,-1781617,-,-1411175,-1263742,-1108322,-1108322,-,-
6,Net Loans,179664424,170172725,162380807,162016361,155128928,150273397,148972876,147982513,133163527,-,111020874,112086857,107860914,107860914,-,-
7,"Property, Plant & Equipment",551265,480356,491261,410465,427189,312898,308763,301946,286268,-,276285,278220,283496,283496,-,-
8,Goodwill,338226,356027,373829,391630,409431,427233,445034,462836,480637,-,516240,534041,551843,551843,-,-
9,Other Intangible Assets,718033,702797,683140,662231,658503,634830,626493,596303,596235,-,590916,575015,578991,578991,-,-
10,Investments in Real Estate,56584,60783,61076,57757,58047,58314,58607,65137,65564,-,65530,241207,240934,240934,-,-
11,Accrued Interest Receivable,3404984,4445002,3473497,4088470,2594093,3323917,2656165,2791407,1679591,-,2680026,3285546,2598213,2598213,-,-
12,Other Receivables,6927976,7224420,7424922,6195596,5490462,3035124,2201510,1762332,1991841,-,1750946,1757355,1282827,1282827,-,-
13,Restricted Cash,2799895,4920294,5277471,1505339,9826851,3979776,3832672,621486,4799360,-,2844601,1275847,3374359,3374359,-,-
14,Other Current Assets,-,-,-,-,1505438,-,-,-,1288185,-,-,-,540036,540036,-,-
15,Other Real Estate Owned & Foreclosed,-,-,-,-,140359,-,-,-,908982,-,-,-,961936,961936,-,-
16,Other Long-Term Assets,2220556,2471820,2649418,2321676,-11860,2135306,2168574,2301109,106302,-,2361166,2394168,158663,158663,-,-
17,Total Assets,266107033,248810092,245206026,245169088,231423056,229145802,229723225,231222030,211663515,-,186934447,184320897,180207288,180207288,-,-
18,Accounts Payable,288508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Accrued Expenses,144982,145887,154224,-,66308,69064,79473,6369,30877,-,30915,13627,13627,13627,-,-
20,Interest Bearing Deposits,176092212,146037640,150620181,156019644,141828127,147979276,146735224,138141650,124576621,-,130575881,136910605,127564957,127564957,-,-
21,Non-Interest Bearing Deposits,15794593,23622727,18007686,9635584,17984909,17678732,17359375,25235008,20760748,-,16973582,12711044,11100112,11100112,-,-
22,Total Deposits,191886805,169660367,168627867,165655228,159813036,165658008,164094599,163376658,145337369,-,147549463,149621649,138665069,138665069,-,-
23,Short-Term Borrowings,107131,202514,-,348398,14963,-,-,310021,47804,-,27721,-,-,-,-,-
24,Current Portion of Long-Term Debt,16733537,13315013,10385743,11699646,9838696,2148267,6499509,21002458,3925963,-,7250479,3544687,4763022,4763022,-,-
