,Fiscal Quarter,Current,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,56331000,59647230,61342500,66373307,64167381,67125813,60615487,62596385,56256483,67419070,48128208,49739824,34026150,-,-,-,-
1,Market Cap Growth,-11.14%,-11.14%,1.20%,6.03%,14.06%,-0.43%,25.95%,25.85%,65.33%,-,-,-,-,-,-,-,-
2,Last Close Price,19800.00,21039.60,22007.95,23812.60,23021.19,24082.58,22399.00,23130.99,23337.56,26011.89,19311.47,20313.71,13896.26,-,-,-,-
3,PE Ratio,15.51,16.75,19.15,20.36,17.47,17.35,16.40,17.84,18.25,26.05,19.75,23.88,21.47,-,-,-,-
4,PS Ratio,6.71,7.25,7.89,8.47,7.63,7.92,7.67,8.49,8.65,11.57,8.84,10.00,7.79,-,-,-,-
5,PB Ratio,1.85,1.97,2.14,2.39,2.37,2.56,2.46,2.66,2.49,3.61,-,3.34,2.39,-,-,-,-
6,P/FCF Ratio,-,-,-,-,-,-,5.33,-7.46,-,-17.28,-,-2.80,-,-,-,-,-
7,P/OCF Ratio,-,-,-,-,-,-,5.24,-7.61,-,-17.80,-,-2.83,-,-,-,-,-
8,Debt / Equity Ratio,1.29,1.29,1.59,1.59,1.76,1.56,1.35,1.60,1.84,2.36,-,1.40,1.18,1.78,1.78,-,-
9,Debt / FCF Ratio,-,-,-,-,-,-,2.92,-4.50,-,-11.30,-,-1.18,-,-,-,-,-
10,Return on Equity (ROE),15.77%,12.89%,11.00%,12.81%,13.17%,16.02%,20.84%,20.34%,-,-,18.78%,15.92%,12.36%,-,-,-,
11,Return on Assets (ROA),1.80%,1.47%,1.23%,1.43%,1.45%,1.68%,2.09%,1.89%,-,-,1.47%,1.22%,0.94%,-,-,-,
12,Earnings Yield,6.32%,6.16%,5.47%,5.14%,6.01%,6.04%,6.28%,5.78%,5.51%,3.87%,5.06%,4.19%,4.72%,-,-,-,-
13,FCF Yield,-70.41%,-66.50%,-41.22%,-23.60%,2.20%,0.67%,18.77%,-13.41%,-23.25%,-5.79%,-40.84%,-35.67%,-91.57%,-,-,-,-
14,Buyback Yield / Dilution,2.65%,13.18%,-3.64%,1.32%,-12.53%,-34.44%,-5.41%,-43.32%,-15.18%,11.37%,5.50%,-10.38%,-,-,-,-,-
15,Total Shareholder Return,2.65%,13.18%,-3.64%,1.32%,-12.53%,-34.44%,-5.41%,-43.32%,-15.18%,11.37%,5.50%,-10.38%,-,-,-,-,-
