,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,"Property, Plant & Equipment",1004259,1046053,996326,1379770,1415654,1150668,1100972,1103075,1106860,1061579,1216646,1699896,1682385,1436505,1419277,1393070,1389437,1308096,1207135,1237691,Upgrade
1,Cash & Equivalents,2884680,3426879,1003225,2921399,4101549,6766117,7515430,7295225,7019648,4133898,4900731,3888543,3297060,2689495,2309153,3013452,3050907,2225517,4105252,2054379,Upgrade
2,Accounts Receivable,1210907,1304023,1325603,1182361,1238318,1121550,986310,889233,923442,825323,906446,778956,1007378,1387261,1095433,1182291,803531,955275,912232,477995,Upgrade
3,Other Receivables,664168,485287,405824,660850,188679,490638,401295,389287,371726,293797,197418,204162,127413,133444,133357,172254,526516,569109,155938,152557,Upgrade
4,Investment In Debt and Equity Securities,-,1335613,1335613,1017357,957894,11930,-,-,-,-,-,-,-,174517,674165,1108729,-,-,-,-,Upgrade
5,Goodwill,49329,66651,83971,101292,118613,135934,153255,170881,189027,207173,225319,243465,261611,279757,297903,316049,334194,352340,370486,388632,Upgrade
6,Other Intangible Assets,18759,18415,21024,23605,26028,20187,21319,14546,10643,13078,15317,13378,12299,14201,16162,18103,20027,25236,27947,27945,Upgrade
7,Loans Receivable Current,-,-,2350000,2350000,-,-,-,-,-,-,-,-,295000,-,-,-,-,-,-,-,Upgrade
8,Other Current Assets,7552669,6037559,5963388,3261493,3550008,4644360,3320387,3336133,2219834,1912219,1060797,2172529,2099729,1526511,1496250,459854,2631443,6020726,2988963,2602763,Upgrade
9,Deferred Long-Term Tax Assets,106787,113337,87014,80172,65598,82011,91443,107956,74337,51671,16032,16032,16032,16032,16032,16032,16032,9243,9243,9699,Upgrade
10,Other Long-Term Assets,41734597,39341077,38756452,36037896,35991390,30282935,30603742,30952633,30785571,31452754,30133057,28713548,29074581,30088603,30455895,32100354,31044345,28613634,28983688,29963922,Upgrade
11,Total Assets,55226155,53174894,52328440,49016195,47653731,44706330,44194153,44258969,42701088,39951492,38671763,37730509,37873488,37746326,37913627,39780188,39816432,40079176,38760884,36915583,Upgrade
12,Current Portion of Long-Term Debt,1988427,2469078,-,-,-,-,-,1048973,1045484,1041996,1038507,-,-,-,-,2547727,-,-,-,-,Upgrade
13,Current Portion of Leases,21325,20852,19887,19887,19887,19887,19887,19887,19887,19887,19887,19887,19887,19887,19887,19887,19887,19447,19887,19415,Upgrade
14,Long-Term Debt,2350771,1359615,1979569,1975140,1970711,1966282,1960878,1954859,1948840,1942820,1943161,2975500,2965992,2956484,2956506,2947168,5534768,5524648,3613163,2595048,Upgrade
15,Long-Term Leases,172332,172620,173407,173235,173069,172908,172754,172604,172460,172321,172186,172057,171932,171732,171615,171503,171394,171410,171268,171123,Upgrade
16,Accounts Payable,461938,460049,734699,487861,448115,761805,766177,764836,724826,560141,539743,480907,526183,500213,538116,606002,788362,638096,1634440,2108445,Upgrade
17,Accrued Expenses,1031667,1063919,861542,1035753,980546,995802,726224,693327,684249,641382,480666,457563,817494,484417,582738,485019,611900,513860,574153,390000,Upgrade
18,Current Income Taxes Payable,1062307,783423,545945,1494949,1256073,1046745,1019114,978268,721108,370711,186897,95949,74524,133318,277165,178911,281165,249643,350290,242611,Upgrade
19,Current Unearned Revenue,217425,250420,417939,832258,419197,512886,1539793,1491481,1314240,374202,217601,228806,414547,641221,550158,364051,644291,1756098,1687865,1154531,Upgrade
20,Other Current Liabilities,1137651,974192,1117924,966457,1349133,1048683,1182795,1298186,1309664,928112,943605,1103295,1037421,1078808,1072490,1064813,1192263,1604244,1600050,1429907,Upgrade
21,Long-Term Unearned Revenue,126557,103824,141601,109997,113453,116954,118601,120346,124011,95091,97988,97125,100106,93120,86790,91245,86181,73360,94003,111945,Upgrade
22,Long-Term Deferred Tax Liabilities,69791,70230,70669,71156,71644,72793,73281,73768,74255,74742,75229,75767,76203,76690,77177,77670,78176,78688,79200,79709,Upgrade
23,Other Long-Term Liabilities,4663323,4609362,4530805,1152323,1253137,1232242,1171990,1200378,1137374,1132614,1154731,995227,1018370,1061480,1076404,1109239,1072229,1088415,1147691,1167144,Upgrade
24,Total Liabilities,13303514,12337584,12397892,10107118,9826878,7946987,8751494,9816913,9276398,7354019,6870201,6702083,7222659,7217370,7409046,9663235,10480616,11717909,10972010,9469878,Upgrade
25,Common Stock,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,23288184,Upgrade
26,Additional Paid-In Capital,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,46983,Upgrade
