,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021"
0,Operating Revenue,137.74,111.46,82.07,72.53,94.4,70.34,41.06,53.41,92,117.09,90.46,91.89,108.78,71.5
1,Other Revenue,-,-0.07,0.07,-,14.32,-13.99,13.99,-,11.55,-9.44,9.44,-,3.48,0.14
2,Revenue,137.74,111.39,82.14,72.53,108.72,56.35,55.06,53.41,103.55,107.66,99.89,91.89,112.26,71.64
3,Revenue Growth (YoY),26.69%,97.69%,49.20%,35.81%,4.99%,-47.66%,-44.89%,-41.88%,-7.76%,50.28%,-,-,-,-
4,Cost of Revenue,-151.94,61.05,48.18,42.71,55.56,24.98,44.86,24.63,50.95,63.29,54.85,48.61,68.12,47.47
5,Gross Profit,289.68,50.34,33.97,29.82,53.17,31.37,10.19,28.77,52.6,44.37,45.05,43.29,44.14,24.17
6,"Selling, General & Admin",-85.17,26.37,30.46,28.35,33.18,25.34,23.27,20.59,20.94,15.75,14.05,10.72,13.18,5.32
7,Research & Development,-201.13,66.57,69.79,64.78,58.94,64.58,60.36,37.86,40.64,40.21,30.39,24,29.72,10.58
8,Other Operating Expenses,612.44,-10.31,-0.3,0.04,0.18,-8.39,-3.39,-0.27,6.86,-2.59,-1.01,-1.63,0.36,0.01
9,Operating Expenses,326.15,82.61,99.93,93.17,92.31,81.54,80.24,58.19,68.43,53.38,43.43,32.83,43.33,15.97
10,Operating Income,-36.47,-32.27,-65.97,-63.35,-39.14,-50.17,-70.05,-29.41,-15.83,-9.01,1.62,10.45,0.81,8.2
11,Interest Expense,-20.84,-0.15,-0.17,-0.19,-0.11,-0.23,-0.33,-0.09,-0.17,-0.12,-0.1,-0.08,-0.19,-0.23
12,Interest & Investment Income,0.51,7.73,5.87,7.24,7.03,6.62,6.66,4.82,0.9,0.69,0.87,1.03,1.17,0.34
13,Currency Exchange Gain (Loss),-,-0.1,0.1,-,-0.74,0.25,-0.25,-,1.14,-0.81,0.81,-,-0.55,0.06
14,Other Non Operating Income (Expenses),0.82,-0.34,-0.03,-0.01,0.35,-0.38,1.27,-1.33,-3.56,3.52,0.19,-0.21,-0.02,-0.03
15,EBT Excluding Unusual Items,-55.97,-25.13,-60.2,-56.31,-32.62,-43.91,-62.7,-26.01,-17.53,-5.72,3.38,11.2,1.22,8.34
16,Gain (Loss) on Sale of Investments,-4.23,-0.12,3.06,1.29,3.2,4.04,5.3,0.33,-0.31,0.43,0.33,0.34,0.04,0.13
17,Gain (Loss) on Sale of Assets,-0.23,-,0.01,0.23,0.02,-,0.12,0.2,-,-,-,0.08,-,-
18,Asset Writedown,2.77,-2.77,1.41,-1.41,17.19,-17.19,1.45,-1.45,2.41,-2.41,0.89,-0.89,-0.02,-
19,Other Unusual Items,-,-3.49,1.44,2.05,1.92,-,-,-,7.4,-,-,-,4.16,0.23
20,Pretax Income,-57.67,-31.52,-54.28,-54.15,-10.29,-57.06,-55.83,-26.93,-8.03,-7.7,4.59,10.73,5.4,8.7
21,Net Income,-57.67,-31.52,-54.28,-54.15,-10.29,-57.06,-55.83,-26.93,-8.03,-7.7,4.59,10.73,5.4,8.7
22,Net Income to Common,-57.67,-31.52,-54.28,-54.15,-10.29,-57.06,-55.83,-26.93,-8.03,-7.7,4.59,10.73,5.4,8.7
23,Shares Outstanding (Basic),79,80,80,80,80,80,79,67,60,58,58,60,146,13
24,Shares Outstanding (Diluted),79,80,80,80,80,80,79,67,60,58,58,60,146,13
